Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"SV Med Coll, Tirupati",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,100(1),154(1),-,-,-,-,-,-,25(1),25(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,37(1),64(1),-,-,-,-,-,26(1),27(1),27(1),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"SVIMS, Tirupati",RADIO DIAGNOSIS,"₹2,11,600*","₹80,904*",1*,"₹40,00,000*",1257,-,86(1),-,-,-,-,-,25(1),35(1),36(1),-
AP Govt-NS LOC (SVU),BCB-GEN,Andhra Pradesh,"SVIMS, Tirupati",RADIO DIAGNOSIS,"₹2,11,600*","₹80,904*",1*,"₹40,00,000*",1257,-,-,-,-,-,-,-,53(1),53(1),54(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,38(1),91(1),-,-,-,-,-,27(1),31(1),58(1),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"Kurnool Med Coll, Kurnool",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",1150,-,-,-,-,-,-,-,58(1),58(1),59(1),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"Kurnool Med Coll, Kurnool",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1150,49(1),100(1),-,-,-,-,-,65(1),65(1),66(1),-
AP Govt-NS APUR,BCD-GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,-,-,-,-,-,-,-,67(1),67(1),68(1),-
AP Govt-NS LOC (AU),BCD-GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,-,-,-,-,-,-,-,68(1),68(1),69(1),-
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"Guntur Med Coll, Guntur",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,68(1),130(2),-,-,-,-,-,39(1),76(1),77(1),-
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,84(2),106(2),-,-,-,-,-,56(2),87(2),88(2),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,73(2),73(2),-,-,-,-,-,43(3),77(4),91(4),-
AP Govt-NS LOC (AU),BCA-GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,-,-,-,-,-,-,-,93(1),93(1),94(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Kurnool Med Coll, Kurnool",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1150,-,-,-,-,-,-,-,49(1),40(1),97(2),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Kurnool Med Coll, Kurnool",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1150,-,-,-,-,-,-,-,41(1),61(1),99(1),-
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"Andhra Med Coll, Vizag",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,-,-,-,-,-,-,-,99(1),99(1),100(1),-
AP Govt-NS APUR,OPEN-FEM,Andhra Pradesh,"Guntur Med Coll, Guntur",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,-,-,-,-,-,-,-,34(1),55(1),102(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Govt Siddhartha, Vijaywada",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",707,-,-,-,-,-,-,-,31(1),75(1),106(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,34(1),34(1),-,-,-,-,-,42(1),110(1),114(1),-
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",532,-,-,-,-,-,-,-,57(1),57(1),118(1),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"Kurnool Med Coll, Kurnool",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1150,93(3),153(3),-,-,-,-,-,63(2),70(2),120(3),-
AP Govt-NS LOC (AU),BCB-FEM,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,-,-,-,-,-,-,-,122(1),122(1),123(1),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"SV Med Coll, Tirupati",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,80(1),238(2),-,-,-,-,-,35(1),111(2),124(3),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",500,76(1),171(1),-,-,-,-,-,75(1),125(1),126(1),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"Govt Siddhartha, Vijaywada",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",707,-,-,-,-,-,-,-,-,126(1),127(1),-
AP Govt-NS LOC (SVU),BCB-GEN,Andhra Pradesh,"Narayana Med Coll, Nellore",RADIO DIAGNOSIS,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",1430,-,-,-,-,-,-,-,442(1),128(1),129(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,77(1),147(3),-,-,-,-,-,55(3),106(4),132(4),-
AP Govt-NS LOC (AU),BCA-GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,-,-,-,-,-,-,-,133(1),133(1),134(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Govt Siddhartha, Vijaywada",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",707,-,-,-,-,-,-,-,70(1),100(1),139(1),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"SV Med Coll, Tirupati",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,153(1),157(1),-,-,-,-,-,82(1),86(2),141(2),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"SV Med Coll, Tirupati",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,-,-,-,-,-,-,-,84(1),145(1),146(1),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"Govt Med Coll, Ananthapuram",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",500,-,-,-,-,-,-,-,123(1),123(1),152(1),-
AP Govt-NS AP LOC,OPEN-GEN,Andhra Pradesh,"Govt Siddhartha, Vijaywada",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",707,-,-,-,-,-,-,-,76(1),118(1),155(2),-
AP Govt-NS LOC (AU),BCD-GEN,Andhra Pradesh,"Andhra Med Coll, Vizag",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,-,-,-,-,-,-,-,155(1),155(1),156(1),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"Kurnool Med Coll, Kurnool",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1150,-,-,-,-,-,-,-,61(1),98(1),160(1),-
AP Govt-NS LOC (AU),BCB-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,-,-,-,-,-,-,-,147(1),147(1),161(1),-
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"NRI Med Coll, Guntur",RADIO DIAGNOSIS,"₹4,96,800*","₹27,000*",1*,"₹40,00,000*",1050,-,-,-,-,-,-,-,163(1),163(1),164(1),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"Narayana Med Coll, Nellore",RADIO DIAGNOSIS,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",1430,-,-,-,-,-,-,-,166(1),166(1),167(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,-,-,-,-,-,-,-,29(1),101(1),173(2),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,-,-,-,-,-,-,-,101(1),173(1),175(1),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"Govt Med Coll, Ananthapuram",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",500,122(1),531(1),-,-,-,-,-,98(1),159(1),185(1),-
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,87(1),179(1),-,-,-,-,-,66(1),131(1),186(2),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"SV Med Coll, Tirupati",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,146(2),209(4),-,-,-,-,-,86(3),139(4),190(4),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"NRI Med Coll, Guntur",RADIO DIAGNOSIS,"₹4,96,800*","₹27,000*",1*,"₹40,00,000*",1050,-,-,-,-,-,-,-,105(1),105(1),192(1),-
AP Govt-NS LOC (SVU),OPEN-GEN-PHO,Andhra Pradesh,"SV Med Coll, Tirupati",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,-,-,-,-,-,-,-,96(1),96(1),199(1),-
AP Govt-NS LOC (AU),BCE-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,-,-,-,-,-,-,-,150(1),150(1),202(1),-
