Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",RADIO DIAGNOSIS,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,3(1),9(1),-,-,-,-,-,11(1),26(1),33(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Narayana Med Coll, Nellore",RADIO DIAGNOSIS,"₹9,93,600*","₹40,000*",1*,Info not available*,1430,16(3),68(3),-,-,-,-,-,14(3),60(3),107(3),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GVP Med Coll, Vizag",RADIO DIAGNOSIS,"₹9,93,600*","₹30,000*",1*,Info not available*,750,152(1),650(1),-,-,-,-,-,132(1),132(1),133(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"NRI Med Coll, Guntur",GENERAL MEDICINE,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,8(1),29(1),-,-,-,-,-,4(1),11(1),134(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Apollo IMS&R, Chittoor",RADIO DIAGNOSIS,"₹9,93,600*","₹30,000*",1*,Info not available*,850,29(1),182(1),-,-,-,-,-,67(1),67(1),140(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",RADIO DIAGNOSIS,"₹9,93,600*","₹27,000*",1*,Info not available*,790,44(2),200(2),-,-,-,-,-,35(2),35(2),141(2),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Apollo IMS&R, Chittoor",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,850,85(1),94(1),-,-,-,-,-,111(1),148(1),149(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"PES IMS, Kuppam",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,975,20(1),88(1),-,-,-,-,-,23(1),78(1),153(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"PES IMS, Kuppam",RADIO DIAGNOSIS,"₹9,93,600*","₹30,000*",1*,Info not available*,975,26(2),153(2),-,-,-,-,-,45(2),88(2),174(2),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Santhiram Med Coll, Nandyal",RADIO DIAGNOSIS,"₹9,93,600*","₹30,000*",1*,Info not available*,930,31(1),75(1),-,-,-,-,-,36(1),116(1),181(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Narayana Med Coll, Nellore",GENERAL MEDICINE,"₹9,93,600*","₹40,000*",1*,Info not available*,1430,10(1),70(1),-,-,-,-,-,22(1),22(1),182(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Med Coll, Guntur",GENERAL MEDICINE,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,18(3),66(3),-,-,-,-,-,32(3),53(3),187(3),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,15(1),141(1),-,-,-,-,-,8(1),29(1),188(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",GENERAL MEDICINE,"₹9,93,600*","₹27,000*",1*,Info not available*,790,23(1),152(1),-,-,-,-,-,25(1),47(1),200(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Narayana Med Coll, Nellore",GENERAL MEDICINE,"₹9,93,600*","₹40,000*",1*,Info not available*,1430,65(3),143(3),-,-,-,-,-,64(3),74(3),262(3),55(2)
