Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 3
AFMS,Priority - Undefined,Delhi,"Army R&R, Delhi",RADIO DIAGNOSIS,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,2299(1)
AFMS,Priority - Undefined,Karnataka,"Command Hospital, Bangalore",RADIO DIAGNOSIS,Info not available,"₹45,000",5*,"₹57,50,000*",716,2708(1)
AFMS,Priority - Undefined,Maharashtra,"INHS, Aswini",RADIO DIAGNOSIS,Info not available,"₹77,869",5*,"₹57,50,000*",825,5051(1)
AFMS,Priority - Undefined,West Bengal,"Command Hospital, Kolkata",RADIO DIAGNOSIS,Info not available,"₹46,383",5*,"₹57,50,000*",760,5466(1)
AFMS,Priority - Undefined,Delhi,"Army R&R, Delhi",OPHTHALMOLOGY,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,9193(1)
AFMS,Priority - Undefined,Karnataka,"Command Hospital, Bangalore",DERMATOLOGY,Info not available,"₹45,000",5*,"₹57,50,000*",716,9650(3)
AFMS,Priority - Undefined,Maharashtra,"INHS, Aswini",DERMATOLOGY,Info not available,"₹77,869",5*,"₹57,50,000*",825,11896(2)
AFMS,Priority - Undefined,Uttar Pradesh,"Command Hospital, Lucknow",DERMATOLOGY,Info not available,"₹95,000*",5*,"₹57,50,000*",780,16017(2)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",PAEDIATRICS,Info not available,"₹77,869",5*,"₹57,50,000*",1082,18058(5)
AFMS,Priority - Undefined,Uttar Pradesh,"Command Hospital, Lucknow",ORTHOPAEDICS,Info not available,"₹95,000*",5*,"₹57,50,000*",780,18527(2)
AFMS,Priority - IV,Maharashtra,"INHS, Aswini",GENERAL MEDICINE,Info not available,"₹77,869",5*,"₹57,50,000*",825,19922(1)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",ORTHOPAEDICS,Info not available,"₹77,869",5*,"₹57,50,000*",1082,20576(6)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",IHBT,Info not available,"₹77,869",5*,"₹57,50,000*",1082,20634(1)
AFMS,Priority - Undefined,Karnataka,"Command Hospital, Bangalore",OPHTHALMOLOGY,Info not available,"₹45,000",5*,"₹57,50,000*",716,21257(1)
AFMS,Priority - IV,Delhi,"Army R&R, Delhi",PAEDIATRICS,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,22363(1)
AFMS,Priority - Undefined,Delhi,"Army R&R, Delhi",PAEDIATRICS,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,22585(3)
AFMS,Priority - Undefined,Karnataka,"Command Hospital, Bangalore",PAEDIATRICS,Info not available,"₹45,000",5*,"₹57,50,000*",716,22693(1)
AFMS,Priority - Undefined,Delhi,"Army R&R, Delhi",GENERAL MEDICINE,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,23403(9)
AFMS,Priority - Undefined,Delhi,"Army R&R, Delhi",ENT,Info not available,"₹1,17,000*",5*,"₹57,50,000*",995,23890(1)
AFMS,Priority - Undefined,West Bengal,"Command Hospital, Kolkata",OPHTHALMOLOGY,Info not available,"₹46,383",5*,"₹57,50,000*",760,24165(1)
AFMS,Priority - IV,Karnataka,"Command Hospital, Bangalore",GENERAL SURGERY,Info not available,"₹45,000",5*,"₹57,50,000*",716,25447(1)
AFMS,Priority - Undefined,Uttar Pradesh,"Command Hospital, Lucknow",PAEDIATRICS,Info not available,"₹95,000*",5*,"₹57,50,000*",780,26171(1)
AFMS,Priority - Undefined,Karnataka,"Command Hospital, Bangalore",GENERAL SURGERY,Info not available,"₹45,000",5*,"₹57,50,000*",716,26582(1)
AFMS,Priority - IV,Maharashtra,"AFMC, Pune",PAEDIATRICS,Info not available,"₹77,869",5*,"₹57,50,000*",1082,26644(2)
AFMS,Priority - Undefined,Haryana,"Command Hospital, Chandimandir",GENERAL MEDICINE,Info not available,"₹95,594*",5*,"₹57,50,000*",658,26978(2)
AFMS,Priority - Undefined,Karnataka,"Command Hospital, Bangalore",GENERAL MEDICINE,Info not available,"₹45,000",5*,"₹57,50,000*",716,28285(2)
AFMS,Priority - Undefined,Uttar Pradesh,"Command Hospital, Lucknow",GENERAL MEDICINE,Info not available,"₹95,000*",5*,"₹57,50,000*",780,28568(2)
AFMS,Priority - Undefined,Maharashtra,"INHS, Aswini",ENT,Info not available,"₹77,869",5*,"₹57,50,000*",825,28583(1)
AFMS,Priority - Undefined,Maharashtra,"AFMC, Pune",TBRD,Info not available,"₹77,869",5*,"₹57,50,000*",1082,28606(3)
AFMS,Priority - Undefined,Maharashtra,"INHS, Aswini",PAEDIATRICS,Info not available,"₹77,869",5*,"₹57,50,000*",825,28862(1)
AFMS,Priority - Undefined,Karnataka,"Command Hospital, Bangalore",ENT,Info not available,"₹45,000",5*,"₹57,50,000*",716,31005(1)
AFMS,Priority - V,Maharashtra,"AFMC, Pune",GENERAL SURGERY,Info not available,"₹77,869",5*,"₹57,50,000*",1082,31113(3)
