Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,21(4),21(4),21(4),-,-,-,19(3),19(3),19(3),-,-
Assam Govt Quota,UR,Assam,"Silchar Med Coll, Silchar",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,28(1),28(1),28(1),-,-,-,-,25(1),25(1),-,-
Assam Govt Quota,EWS,Assam,"Gauhati Med Coll, Guwahati",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,60(1),60(1),60(1),-,-,-,31(1),31(1),31(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Silchar Med Coll, Silchar",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,65(1),65(1),92(1),-,-,-,38(1),38(1),38(1),-,-
Assam Govt Quota,UR,Assam,"Tezpur Med Coll, Tezpur",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,57(2),57(2),72(2),-,-,-,27(1),41(1),41(1),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",DERMATOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,80(2),81(2),81(2),-,-,-,21(1),45(2),45(2),-,-
Assam Govt Quota,UR,Assam,"Assam Med Coll, Dibrugarh",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,39(2),39(2),39(2),-,-,-,24(2),27(2),48(3),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Gauhati Med Coll, Guwahati",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,22(1),22(1),65(1),-,-,-,37(1),53(2),53(2),-,346(1)
Assam Govt Quota,UR,Assam,"Fakhruddin Ali Ahmed, Barpeta",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",470,67(1),67(1),67(1),-,-,-,25(1),54(1),54(1),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,45(6),50(6),57(6),-,-,-,12(4),51(5),55(6),-,-
Assam Govt Quota,UR,Assam,"Jorhat Med Coll, Jorhat",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,46(2),46(2),46(2),-,-,-,-,48(1),56(1),-,-
Assam Govt Quota,EWS,Assam,"Jorhat Med Coll, Jorhat",RADIO DIAGNOSIS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,76(1),86(1),86(1),-,-,-,59(1),59(1),59(1),-,-
Assam Govt Quota,UR,Assam,"Assam Med Coll, Dibrugarh",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,64(7),72(7),75(7),-,-,-,34(3),58(5),63(5),-,-
Assam Govt Quota,EWS,Assam,"Assam Med Coll, Dibrugarh",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,102(1),102(1),102(1),-,-,-,39(1),64(1),64(1),-,-
Assam Govt Quota,UR,Assam,"Assam Med Coll, Dibrugarh",DERMATOLOGY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,87(2),87(2),87(2),-,-,-,42(1),69(2),69(2),-,-
Assam Govt Quota,UR,Assam,"Jorhat Med Coll, Jorhat",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,93(3),93(3),93(3),-,-,-,48(1),60(1),76(1),-,-
