Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Bihar Govt Quota,UR-GEN,Bihar,"Patna Med Coll, Patna",RADIO DIAGNOSIS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,7(1),8(1),-,-,-,8(1),9(1),4(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Patna Med Coll, Patna",DERMATOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,39(1),-,-,-,-,35(1),35(1),5(1),60(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Nalanda Med Coll, Patna",RADIO DIAGNOSIS,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,8(1),16(1),51(1),-,-,13(1),13(1),6(1),58(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Darbhanga, Lehriasarai",RADIO DIAGNOSIS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,-,-,-,-,-,14(1),41(1),12(1),44(1),-
Bihar Govt Quota,UR-GEN,Bihar,"IGIMS, Patna",GENERAL MEDICINE,"₹1,60,000*","₹1,05,000*",0,₹0,1062,10(1),28(1),30(1),-,-,9(1),17(1),13(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Nalanda Med Coll, Patna",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,31(2),37(2),53(2),-,-,33(1),43(1),14(1),50(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"Patna Med Coll, Patna",DERMATOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,47(1),47(1),91(1),-,-,53(1),53(1),17(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Nalanda Med Coll, Patna",DERMATOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,-,-,-,-,-,37(1),54(1),18(1),-,-
Bihar Govt Quota,EBC-GEN,Bihar,"Patna Med Coll, Patna",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,-,-,-,-,-,-,55(1),19(1),84(1),-
Bihar Govt Quota,EWS-GEN,Bihar,"AN Magadh, Gaya",DERMATOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",425,76(1),76(1),209(1),-,-,57(1),57(1),20(1),250(1),-
Bihar Govt Quota,UR-FEM,Bihar,"Patna Med Coll, Patna",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,58(2),83(2),82(1),-,-,30(2),46(2),21(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Patna Med Coll, Patna",PSYCHIATRY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,252(1),-,-,-,-,227(1),-,22(1),299(1),-
Bihar Govt Quota,UR-FEM,Bihar,"Govt Med Coll, Bettiah",RADIO DIAGNOSIS,"₹9,000*","₹82,000",3*,"₹25,00,000*",470,55(1),55(1),144(1),-,-,67(1),67(1),27(1),-,-
Bihar Govt Quota,BC-GEN,Bihar,"Darbhanga, Lehriasarai",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,99(1),99(1),-,-,-,70(1),70(1),29(1),73(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Darbhanga, Lehriasarai",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,61(3),71(2),84(2),2(1),-,66(3),73(3),32(3),94(3),-
Bihar Govt Quota,UR-GEN,Bihar,"Jawaharlal Nehru, Bhagalpur",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,63(1),75(1),88(1),-,-,73(1),75(1),33(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Patna Med Coll, Patna",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,94(3),103(3),134(3),6(1),-,84(3),79(2),37(1),83(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"Nalanda Med Coll, Patna",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,77(1),77(1),74(1),-,-,55(1),80(1),38(1),145(1),-
Bihar Govt Quota,EWS-GEN,Bihar,"Jawaharlal Nehru, Bhagalpur",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,80(1),80(1),99(1),-,-,81(1),81(1),39(1),-,-
Bihar Govt Quota,BC-GEN,Bihar,"IGIMS, Patna",PAEDIATRICS,"₹1,60,000*","₹1,05,000*",0,₹0,1062,-,-,-,-,-,83(1),83(1),40(1),-,-
Bihar Govt Quota,UR-FEM,Bihar,"Patna Med Coll, Patna",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,84(1),-,-,-,-,19(1),87(1),42(1),137(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Vardhman IMS, Nalanda",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",640,91(1),91(1),164(1),-,-,90(1),90(1),43(1),99(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Nalanda Med Coll, Patna",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,96(1),112(1),143(1),8(1),-,96(1),96(1),47(1),100(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Patna Med Coll, Patna",TBRD,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,118(1),89(1),86(1),-,-,99(1),99(1),49(1),103(1),-
Bihar Govt Quota,BC-FEM,Bihar,"Patna Med Coll, Patna",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,257(1),-,-,-,-,103(1),103(1),51(1),107(1),-
Bihar Govt Quota,UR-FEM,Bihar,"Nalanda Med Coll, Patna",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,81(1),85(1),90(1),-,-,32(1),104(1),52(1),108(1),-
Bihar Govt Quota,UR-FEM,Bihar,"Patna Med Coll, Patna",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,79(2),96(1),-,-,-,59(1),59(1),53(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Patna Med Coll, Patna",ORTHOPAEDICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,57(2),104(2),123(1),-,-,48(2),113(2),56(2),178(1),-
Bihar Govt Quota,UR-FEM,Bihar,"Darbhanga, Lehriasarai",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,85(1),93(1),210(1),-,-,87(1),116(1),57(1),120(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Darbhanga, Lehriasarai",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,101(1),113(1),196(1),-,-,116(1),111(1),58(1),122(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"Darbhanga, Lehriasarai",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,117(1),-,-,-,-,80(1),120(1),60(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Nalanda Med Coll, Patna",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,125(1),125(1),119(1),-,-,126(1),130(1),63(1),-,-
Bihar Govt Quota,BC-FEM,Bihar,"Nalanda Med Coll, Patna",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,166(1),166(1),159(1),-,-,133(1),133(1),66(1),377(1),-
Bihar Govt Quota,UR-FEM,Bihar,"Jawaharlal Nehru, Bhagalpur",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,93(1),135(1),277(1),-,-,104(1),134(1),67(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Patna Med Coll, Patna",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,97(2),82(1),-,-,-,114(3),136(2),69(2),140(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"Jawaharlal Nehru, Bhagalpur",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,158(1),158(1),151(1),-,-,138(1),138(1),71(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Jawaharlal Nehru, Bhagalpur",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,103(1),126(1),218(1),-,-,118(1),118(1),72(1),143(1),-
