Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2024 1,CR 2024 2,CR 2024 5
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,"₹34,500*","₹1,07,000",0,₹0,967,11(3),11(2),-,6(2),12(1),-
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",DERMATOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,23(1),-,-,-,13(1),-
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",DERMATOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,21(2),-,-,9(1),15(1),-
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,"₹34,500*","₹1,07,000",0,₹0,967,16(3),-,-,11(3),16(1),-
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",PAEDIATRICS,"₹34,500*","₹1,07,000",0,₹0,967,25(2),25(1),13(1),16(3),23(3),-
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",OBG,"₹34,500*","₹1,07,000",0,₹0,967,53(2),13(1),62(1),24(2),30(2),25(2)
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",OPHTHALMOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,30(1),58(1),-,21(1),34(1),33(1)
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",PAEDIATRICS,"₹34,500*","₹1,07,000",0,₹0,967,27(2),-,22(1),18(2),45(2),-
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",GENERAL SURGERY,"₹34,500*","₹1,07,000",0,₹0,967,49(3),68(3),78(3),43(2),48(1),62(1)
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",ORTHOPAEDICS,"₹34,500*","₹1,07,000",0,₹0,967,35(2),-,-,38(2),53(2),38(1)
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",ORTHOPAEDICS,"₹34,500*","₹1,07,000",0,₹0,967,50(2),52(2),38(1),36(2),54(2),-
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",OPHTHALMOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,33(1),44(1),44(1),23(1),58(1),-
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",ENT,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,26(1),66(1),53(1)
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",PSYCHIATRY,"₹34,500*","₹1,07,000",0,₹0,967,62(2),74(1),75(2),34(2),67(2),67(1)
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",PSYCHIATRY,"₹34,500*","₹1,07,000",0,₹0,967,31(1),-,-,52(2),74(2),-
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",ANAESTHESIOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,68(5),75(3),61(2),59(4),75(4),70(1)
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",ANAESTHESIOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,70(5),79(4),97(3),67(4),85(5),88(4)
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",RADIATION ONCOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,74(1),80(1),102(1),73(1),96(1),97(1)
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",RADIATION ONCOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,44(1),87(1),-,79(1),100(1),100(1)
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",PATHOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,82(2),131(2),126(1),72(1),106(1),-
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",PATHOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,100(2),114(2),151(2)
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",IHBT,"₹34,500*","₹1,07,000",0,₹0,967,172(1),-,193(1),149(1),163(3),163(2)
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",SPM,"₹34,500*","₹1,07,000",0,₹0,967,145(1),145(1),161(1),147(2),166(3),154(2)
CHNDGH-Govt Quota,IP-SC,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,-,171(1),-
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",MICROBIOLOGY,"₹34,500*","₹1,07,000",0,₹0,967,-,-,199(1),159(1),172(2),213(3)
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",FORENSIC MEDICINE,"₹34,500*","₹1,07,000",0,₹0,967,184(1),-,168(1),126(1),173(2),190(2)
CHNDGH-Govt Quota,IP-GEN-PwD,Chandigarh,"GMC, Chandigarh",SPM,"₹34,500*","₹1,07,000",0,₹0,967,-,-,-,-,178(1),191(1)
CHNDGH-Govt Quota,IP-GEN,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,"₹34,500*","₹1,07,000",0,₹0,967,5(2),-,-,7(3),-,-
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,"₹34,500*","₹1,07,000",0,₹0,967,8(2),-,-,8(2),-,-
CHNDGH-Govt Quota,UT-GEN,Chandigarh,"GMC, Chandigarh",OBG,"₹34,500*","₹1,07,000",0,₹0,967,41(3),45(2),-,28(1),-,-
