Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
CG MBBS or Ins,UR,Chhattisgarh,"CIMS, Bilaspur",GENERAL MEDICINE,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,-,25(1),-,-,-,6(1),17(1),38(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Pt JNM Med Coll, Raipur",DERMATOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,-,-,-,-,-,11(1),57(1),-,-
CG MBBS or Ins,UR-Female,Chhattisgarh,"Pt JNM Med Coll, Raipur",PAEDIATRICS,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,24(1),59(1),-,-,-,21(2),35(1),61(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Govt Med Coll, Ambikapur",GENERAL MEDICINE,"₹20,000*","₹67,500",2*,"₹50,00,000*",785,23(1),30(1),-,-,-,14(1),-,62(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Pt JNM Med Coll, Raipur",OBG,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,-,-,-,-,40(1),-,63(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Pt JNM Med Coll, Raipur",PAEDIATRICS,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,29(1),52(1),-,-,-,-,47(1),80(1),-,-
CG MBBS or Ins,OBC,Chhattisgarh,"Govt Med Coll, Ambikapur",GENERAL MEDICINE,"₹20,000*","₹67,500",2*,"₹50,00,000*",785,-,-,-,-,-,26(1),33(1),99(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL SURGERY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,71(3),103(2),3(1),-,-,56(2),71(1),106(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Pt JNM Med Coll, Raipur",TBRD,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,74(1),-,-,-,50(1),69(1),110(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Pt JNM Med Coll, Raipur",ORTHOPAEDICS,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,82(2),35(1),-,-,-,37(2),90(2),141(2),-,-
CG MBBS or Ins,UR,Chhattisgarh,"SSIMS, Bhilai",GENERAL MEDICINE,"₹10,54,000*","₹67,000",1,"₹10,00,000",896,-,-,-,-,-,-,96(1),143(1),-,-
CG MBBS or Ins,OBC,Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL SURGERY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,99(1),108(1),-,-,-,130(1),130(1),155(1),-,-
CG MBBS or Ins,UR-Female,Chhattisgarh,"Govt Med Coll, Ambikapur",OBG,"₹20,000*","₹67,500",2*,"₹50,00,000*",785,-,-,-,-,-,53(1),-,167(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",GENERAL MEDICINE,"₹10,54,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,39(2),81(2),205(2),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Pt JNM Med Coll, Raipur",OPHTHALMOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,-,-,-,-,-,58(1),140(1),209(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Govt Med Coll, Ambikapur",GENERAL SURGERY,"₹20,000*","₹67,500",2*,"₹50,00,000*",785,95(1),-,-,-,-,-,-,212(1),-,-
