Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2024 1,CR 2024 2,CR 2024 3
DNB Sponsored,GEN,West Bengal,"Apollo Gleneagles, Kolkata",DNBRADIO DIAGNOSIS,-,-,-,-,750,-,-,-,19423(1),19423(1),66681(1)
DNB Sponsored,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBGENERAL MEDICINE,"₹1,25,000","₹83,000",0,₹0,675,19005(1),-,26163(1),15597(1),23912(1),68633(1)
DNB Sponsored,GEN,Delhi,"Hindu Rao Hospital, Delhi",DNBGENERAL MEDICINE,"₹1,25,000","₹1,21,389*",0,₹0,980,10022(1),-,-,12897(1),12897(1),71297(1)
DNB Sponsored,GEN,Maharashtra,"Dr AmbedkarCentRlwyHosp, MUM",DNBGENERAL MEDICINE,-,-,-,-,366,-,-,-,51223(1),14214(1),72883(1)
DNB Sponsored,GEN,Punjab,"Sacred Heart Hosp, Jalandhar",DNBGENERAL MEDICINE,-,-,-,-,200,-,-,-,53487(1),58353(1),73819(1)
DNB Sponsored,GEN,Jharkhand,"Bokaro General Hosp, Bokaro",DNBOBG,"₹1,25,000","₹56,100*",0,₹0,910,28068(1),-,-,22791(1),-,74053(1)
DNB Sponsored,GEN,Delhi,"Hindu Rao Hospital, Delhi",DNBANAESTHESIOLOGY,-,-,-,-,980,-,-,-,57492(1),71162(1),75170(1)
DNB Sponsored,GEN,Maharashtra,"Jehangir Hospital, Pune",DNBGENERAL SURGERY,-,-,-,-,335,57339(1),57339(1),103622(1),60378(1),70232(1),75414(1)
DNB Sponsored,GEN,Jharkhand,"Tata Main Hospital, Jamshedpur",DNBOBG,-,-,-,-,915,28069(1),-,-,21334(1),-,76428(1)
DNB Sponsored,GEN,Jharkhand,"Tata Main Hospital, Jamshedpur",DNBGENERAL MEDICINE,"₹1,25,000","₹52,000",0,₹0,915,26571(1),-,-,14214(1),24252(1),77295(1)
