Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",ORTHOPAEDICS,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,43(2),2(1),2(1),2(1),2(1),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",RADIO DIAGNOSIS,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,7(3),8(4),8(4),8(4),8(4),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",GENERAL MEDICINE,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,25(7),13(7),16(7),16(7),16(7),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",DERMATOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,24(2),21(2),21(3),21(3),21(3),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",GERIATRICS,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,44(1),36(1),36(1),36(1),36(1),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",IHBT,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,37(1),37(1),37(1),37(1),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",PAEDIATRICS,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,26(3),22(5),38(5),38(5),45(5),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",ENT,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,33(2),45(2),45(2),45(2),42(1),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",PSYCHIATRY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,50(1),-,50(1),50(1),50(2),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",TBRD,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,34(3),41(3),56(3),56(3),56(3),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",OPHTHALMOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,39(2),40(1),40(1),57(2),57(2),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",OBG,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,45(3),44(3),57(4),58(3),58(3),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",ANAESTHESIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,58(4),46(2),47(2),60(2),60(2),174(1)
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",GENERAL SURGERY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,37(3),35(6),55(8),61(8),64(8),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",OBG,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,38(1),-,76(1),76(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",OPHTHALMOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,99(2),99(2),99(1),99(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",PATHOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,99(2),-,124(1),110(1),179(1),124(1)
Goa Govt Quota,Category A - SC,Goa,"Goa Med Coll, Panaji",PSYCHIATRY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,121(1),121(1),121(1),121(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",ANAESTHESIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,62(1),86(2),92(3),124(3),153(3),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",PSYCHIATRY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,113(2),139(3),139(2),153(2),139(1),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",BIOCHEMISTRY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,162(2),-,163(1),163(1),163(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",SPM,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,122(2),113(3),169(4),169(3),169(3),-
Goa Govt Quota,Category A - ST,Goa,"Goa Med Coll, Panaji",SPM,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,89(1),-,177(1),177(1),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",FORENSIC MEDICINE,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,-,208(2),186(2),208(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",PHARMACOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,154(3),158(3),171(5),188(5),201(5),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",MICROBIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,153(1),188(1),190(1),190(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",FORENSIC MEDICINE,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,143(1),174(3),174(1),195(1),-,-
Goa Govt Quota,Category A - ST,Goa,"Goa Med Coll, Panaji",BIOCHEMISTRY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,200(1),200(1),200(1),200(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",PHYSIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,162(1),-,201(1),-,-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",PHYSIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,166(2),81(2),199(3),203(2),203(2),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",ANATOMY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,93(2),207(2),207(1),-,-
Goa Govt Quota,Category D - GEN,Goa,"Goa Med Coll, Panaji",FORENSIC MEDICINE,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,-,-,-,-,7(1)
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",DERMATOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,14(1),-,-,-,-
Goa Govt Quota,Category A - ST,Goa,"Goa Med Coll, Panaji",GENERAL SURGERY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,31(2),-,-,-,-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",PATHOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,39(1),-,-,-,-
Goa Govt Quota,Category A - ST,Goa,"Goa Med Coll, Panaji",ANAESTHESIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,71(1),-,-,-,-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",ENT,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,-,-,-,112(1),-
Goa Govt Quota,Category A - ST,Goa,"Goa Med Coll, Panaji",PHARMACOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,135(2),-,-,-,-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",BIOCHEMISTRY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,170(1),-,-,-,-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",SPM,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,51(1),-,-,-,-,-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",MICROBIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,59(1),-,-,-,-,-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",IHBT,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,103(1),-,-,-,-,-
Goa Govt Quota,Category A - ST,Goa,"Goa Med Coll, Panaji",PSYCHIATRY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,123(1),-,-,-,-,-
Goa Govt Quota,Category A - ST,Goa,"Goa Med Coll, Panaji",MICROBIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,135(1),-,-,-,-,-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",ORTHOPAEDICS,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,43(2),2(1),2(1),2(1),2(1),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",RADIO DIAGNOSIS,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,7(3),8(4),8(4),8(4),8(4),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",GENERAL MEDICINE,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,25(7),13(7),16(7),16(7),16(7),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",DERMATOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,24(2),21(2),21(3),21(3),21(3),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",GERIATRICS,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,44(1),36(1),36(1),36(1),36(1),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",IHBT,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,37(1),37(1),37(1),37(1),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",PAEDIATRICS,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,26(3),22(5),38(5),38(5),45(5),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",ENT,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,33(2),45(2),45(2),45(2),42(1),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",PSYCHIATRY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,50(1),-,50(1),50(1),50(2),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",TBRD,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,34(3),41(3),56(3),56(3),56(3),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",OPHTHALMOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,39(2),40(1),40(1),57(2),57(2),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",OBG,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,45(3),44(3),57(4),58(3),58(3),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",ANAESTHESIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,58(4),46(2),47(2),60(2),60(2),174(1)
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",GENERAL SURGERY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,37(3),35(6),55(8),61(8),64(8),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",OBG,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,38(1),-,76(1),76(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",OPHTHALMOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,99(2),99(2),99(1),99(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",PATHOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,99(2),-,124(1),110(1),179(1),124(1)
Goa Govt Quota,Category A - SC,Goa,"Goa Med Coll, Panaji",PSYCHIATRY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,121(1),121(1),121(1),121(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",ANAESTHESIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,62(1),86(2),92(3),124(3),153(3),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",PSYCHIATRY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,113(2),139(3),139(2),153(2),139(1),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",BIOCHEMISTRY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,162(2),-,163(1),163(1),163(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",SPM,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,122(2),113(3),169(4),169(3),169(3),-
Goa Govt Quota,Category A - ST,Goa,"Goa Med Coll, Panaji",SPM,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,89(1),-,177(1),177(1),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",FORENSIC MEDICINE,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,-,208(2),186(2),208(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",PHARMACOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,154(3),158(3),171(5),188(5),201(5),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",MICROBIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,153(1),188(1),190(1),190(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",FORENSIC MEDICINE,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,143(1),174(3),174(1),195(1),-,-
Goa Govt Quota,Category A - ST,Goa,"Goa Med Coll, Panaji",BIOCHEMISTRY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,200(1),200(1),200(1),200(1),-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",PHYSIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,162(1),-,201(1),-,-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",PHYSIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,166(2),81(2),199(3),203(2),203(2),-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",ANATOMY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,93(2),207(2),207(1),-,-
Goa Govt Quota,Category D - GEN,Goa,"Goa Med Coll, Panaji",FORENSIC MEDICINE,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,-,-,-,-,7(1)
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",DERMATOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,14(1),-,-,-,-
Goa Govt Quota,Category A - ST,Goa,"Goa Med Coll, Panaji",GENERAL SURGERY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,31(2),-,-,-,-
Goa Govt Quota,Category A - GEN,Goa,"Goa Med Coll, Panaji",PATHOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,39(1),-,-,-,-
Goa Govt Quota,Category A - ST,Goa,"Goa Med Coll, Panaji",ANAESTHESIOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,71(1),-,-,-,-
Goa Govt Quota,Category A - OBC,Goa,"Goa Med Coll, Panaji",ENT,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,-,-,-,112(1),-
Goa Govt Quota,Category A - ST,Goa,"Goa Med Coll, Panaji",PHARMACOLOGY,"₹1,22,522*","₹60,000",1*,"₹50,00,000*",1160,-,135(2),-,-,-,-
