Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,-,-,-,-,-,-,-,16(1),16(1),16(1),-,-
GUJ Govt-Inst. Pref,UQ-SE,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,91(1),91(1),91(1),-,-,-,-,21(1),21(1),21(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,30(4),39(4),39(4),-,-,-,-,23(3),30(3),30(3),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,27(4),36(4),47(4),-,-,-,-,27(5),31(5),31(5),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,25(2),35(2),35(2),-,-,-,-,17(1),32(1),32(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"Govt Med Coll, Surat",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,53(1),80(1),80(1),-,-,-,-,36(1),36(1),36(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Medical College, Baroda",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,36(1),45(1),19(1),-,-,-,-,5(1),38(1),38(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"PDU Med Coll, Rajkot",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,-,-,-,-,-,-,-,47(1),47(1),47(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Medical College, Baroda",DERMATOLOGY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,-,-,-,-,-,-,-,48(2),48(2),48(2),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"NHL Med Coll, Ahmedabad",RADIO DIAGNOSIS,"₹7,93,000*","₹84,000*",0,₹0,2220,39(1),67(1),67(1),-,-,-,-,51(1),51(1),51(1),-,-
GUJ Govt-Inst. Pref,UQ-EW,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,63(1),63(1),63(1),-,-,-,-,55(1),55(1),55(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Medical College, Baroda",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,34(3),53(3),53(3),-,-,-,-,35(3),59(4),59(4),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"Medical College, Baroda",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,-,-,-,-,-,-,-,60(1),60(1),60(1),-,-
GUJ Govt-AllGujStud.,GQ-EW,Gujarat,"Medical College, Baroda",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,46(1),46(1),118(1),-,-,-,-,72(1),72(1),72(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"MP Shah, Jamnagar",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,73(1),89(1),89(1),-,-,-,-,59(1),74(1),74(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"PDU Med Coll, Rajkot",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,62(2),117(2),117(2),-,-,-,-,80(3),80(3),80(3),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"MP Shah, Jamnagar",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,-,-,-,-,-,-,-,53(2),53(2),83(2),-,-
GUJ Govt-Inst. Pref,UQ-SE,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,56(1),187(1),187(1),-,-,-,-,86(1),86(1),86(1),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,220(3),222(3),222(3),-,-,-,-,61(2),87(2),87(2),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"BJMC, Ahmedabad",ORTHOPAEDICS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,180(2),301(2),301(2),-,-,-,-,88(1),88(1),88(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"NHL Med Coll, Ahmedabad",RADIO DIAGNOSIS,"₹7,93,000*","₹84,000*",0,₹0,2220,67(3),70(3),59(3),-,-,-,-,78(4),92(4),92(4),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"AMCET, Ahmedabad",RADIO DIAGNOSIS,"₹9,67,000*","₹1,00,800*",0,₹0,1050,123(1),123(1),123(1),-,-,-,-,92(1),95(1),95(1),-,-
GUJ Govt-AllGujStud.,GQ-EW,Gujarat,"NHL Med Coll, Ahmedabad",RADIO DIAGNOSIS,"₹7,93,000*","₹84,000*",0,₹0,2220,-,-,-,-,-,-,-,97(1),97(1),97(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"MP Shah, Jamnagar",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,35(2),88(2),88(2),-,-,-,-,46(3),89(3),104(3),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"PDU Med Coll, Rajkot",DERMATOLOGY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,-,-,-,-,-,-,-,90(1),109(1),109(1),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,179(2),192(2),192(2),-,-,-,-,114(2),114(2),114(2),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Govt Med Coll, Bhavnagar",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",720,84(2),121(2),163(2),-,-,-,-,65(1),115(1),115(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"Medical College, Baroda",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,48(2),48(2),48(2),-,-,-,-,91(2),91(2),116(2),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"AMCET, Ahmedabad",RADIO DIAGNOSIS,"₹9,67,000*","₹1,00,800*",0,₹0,1050,117(2),85(2),136(2),-,-,-,-,111(3),118(3),118(3),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Govt Med Coll, Surat",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,45(3),62(3),70(3),-,-,-,-,67(2),119(2),120(2),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Govt Med Coll, Bhavnagar",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",720,-,-,-,-,-,-,-,83(1),123(1),123(1),-,-
GUJ Govt-Inst. Pref,UQ-EW,Gujarat,"Medical College, Baroda",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,-,-,-,-,-,-,-,116(1),116(1),127(1),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"Medical College, Baroda",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,222(1),240(1),240(1),-,-,-,-,85(1),128(1),128(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Govt Med Coll, Surat",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,61(2),97(2),129(2),-,-,-,-,57(2),100(2),129(2),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"Medical College, Baroda",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,144(1),194(1),194(1),-,-,-,-,130(1),130(1),130(1),-,-
GUJ Mgmt Quota,MQ-MQ,Gujarat,"GMERS, Sola",RADIO DIAGNOSIS,"₹16,88,000*","₹84,000*",0,₹0,900,-,-,-,-,-,-,-,118(1),131(1),131(1),-,-
GUJ Govt-AllGujStud.,GQ-EW,Gujarat,"MP Shah, Jamnagar",DERMATOLOGY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,-,-,-,-,-,-,-,98(1),133(1),133(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"Govt Med Coll, Surat",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,-,-,-,-,-,-,-,138(2),138(2),138(2),-,-
GUJ Govt-AllGujStud.,GQ-EW,Gujarat,"AMCET, Ahmedabad",DERMATOLOGY,"₹9,67,000*","₹1,00,800*",0,₹0,1050,-,-,-,-,-,-,-,217(1),206(1),142(1),-,-
GUJ Mgmt Quota,MQ-MQ,Gujarat,"GMERS, Gotri, Vadodara",GENERAL MEDICINE,"₹16,88,000*","₹84,000*",0,₹0,730,-,-,-,-,-,-,-,243(1),243(1),146(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"PDU Med Coll, Rajkot",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,82(1),92(1),161(1),-,-,-,-,62(2),102(2),149(2),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"GMERS, Gotri, Vadodara",GENERAL MEDICINE,"₹11,25,000*","₹84,000*",0,₹0,730,-,-,-,-,-,-,-,177(3),153(3),153(3),-,-
GUJ Govt-Inst. Pref,UQ-SE,Gujarat,"Medical College, Baroda",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,53(1),144(1),144(1),-,-,-,-,156(1),156(1),156(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"AMCET, Ahmedabad",GENERAL MEDICINE,"₹9,67,000*","₹1,00,800*",0,₹0,1050,69(3),69(3),69(3),-,-,-,-,110(2),110(2),157(2),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"MP Shah, Jamnagar",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,111(1),196(1),205(1),-,-,-,-,159(2),159(2),159(2),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"PDU Med Coll, Rajkot",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,261(1),261(1),261(1),-,-,-,-,87(1),168(1),168(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"BJMC, Ahmedabad",GENERAL SURGERY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,87(2),260(2),260(2),-,-,-,-,66(1),169(1),169(1),-,-
