Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
HAR Govt-All,UR,Haryana,"ESIC Med Coll, Faridabad",RADIO DIAGNOSIS,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,6(1),2(1),1(1),-,-
HAR Govt-Inst. Pref,IP-UR,Haryana,"ESIC Med Coll, Faridabad",RADIO DIAGNOSIS,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,5(1),3(1),2(1),-,-
HAR Govt-All,BCB,Haryana,"ESIC Med Coll, Faridabad",RADIO DIAGNOSIS,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,8(1),23(1),5(1),-,-
HAR Govt-All,UR,Haryana,"Pt BD Sharma, Rohtak",DERMATOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,12(1),-,-,-,-,-,3(1),8(1),6(1),-,-
HAR Govt-Inst. Pref,IP-UR,Haryana,"Pt BD Sharma, Rohtak",PAEDIATRICS,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,44(1),21(1),9(1),-,-,-,35(1),17(1),7(1),-,-
HAR Govt-All,UR,Haryana,"Pt BD Sharma, Rohtak",GENERAL MEDICINE,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,3(2),-,-,1(1),-,-,9(2),6(2),8(1),-,-
HAR Govt-All,UR,Haryana,"ESIC Med Coll, Faridabad",GENERAL MEDICINE,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,4(1),2(1),2(1),-,-,13(1),15(1),9(1),-,-
HAR Govt-Inst. Pref,IP-UR,Haryana,"ESIC Med Coll, Faridabad",GENERAL SURGERY,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,89(1),63(1),10(1),-,-
HAR Govt-All,UR,Haryana,"ESIC Med Coll, Faridabad",OBG,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,55(1),-,-,-,-,116(1),79(1),12(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"Adesh Med Coll, Shahabad",RADIO DIAGNOSIS,"₹14,02,000*","₹44,000",0,₹0,775,-,-,-,-,-,-,121(1),107(1),14(1),-,-
HAR Govt-Inst. Pref,IP-UR,Haryana,"Pt BD Sharma, Rohtak",ORTHOPAEDICS,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,58(1),47(1),14(1),-,-,-,25(1),12(1),15(1),-,-
Haryana Priv IP,IP-UR,Haryana,"Maharaja Agrasen, Agroha",GENERAL SURGERY,"₹1,00,000*","₹95,594",0*,₹0*,550,-,-,-,-,-,-,136(1),113(1),17(1),-,-
HAR Govt-All,UR,Haryana,"Pt BD Sharma, Rohtak",TBRD,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,45(1),72(1),28(1),-,-,-,141(1),127(1),18(1),-,-
HAR Govt-All,UR,Haryana,"Pt BD Sharma, Rohtak",PSYCHIATRY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,67(1),-,-,-,-,-,43(1),134(1),20(1),-,-
HAR Govt-All,BCB,Haryana,"Pt BD Sharma, Rohtak",GENERAL MEDICINE,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,8(1),30(1),-,-,-,-,12(1),26(1),21(1),-,-
HAR Govt-All,UR,Haryana,"Pt BD Sharma, Rohtak",PAEDIATRICS,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,46(1),24(1),-,7(1),-,-,64(2),46(2),23(2),-,2(1)
HAR Govt-All,UR,Haryana,"Pt BD Sharma, Rohtak",OBG,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,88(2),53(2),20(1),-,-,1(1),101(2),77(2),26(1),-,-
HAR Govt-Inst. Pref,IP-UR,Haryana,"ESIC Med Coll, Faridabad",PAEDIATRICS,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,82(1),57(1),28(1),-,-
HAR Govt-All,UR,Haryana,"ESIC Med Coll, Faridabad",GENERAL SURGERY,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,51(1),16(1),-,-,-,108(1),103(1),29(1),-,-
HAR Govt-All,UR,Haryana,"Pt BD Sharma, Rohtak",OPHTHALMOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,107(2),59(1),30(1),-,-,-,72(1),80(1),30(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",RADIO DIAGNOSIS,"₹14,02,000*","₹56,100",0,₹0,-,203(2),271(2),149(2),-,-,-,312(2),224(2),32(2),-,-
HAR Govt-All,UR,Haryana,"ESIC Med Coll, Faridabad",OPHTHALMOLOGY,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,180(1),115(1),36(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"Maharaja Agrasen, Agroha",GENERAL SURGERY,"₹1,00,000*","₹95,594",0*,₹0*,550,106(1),54(1),18(1),-,-,-,161(3),141(3),38(1),-,-
HAR Govt-Inst. Pref,IP-UR,Haryana,"Pt BD Sharma, Rohtak",PSYCHIATRY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,-,-,-,-,-,-,95(1),98(1),39(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"Adesh Med Coll, Shahabad",DERMATOLOGY,"₹14,02,000*","₹44,000",0,₹0,775,-,-,-,-,-,-,597(1),266(1),43(1),-,-
HAR Govt-All,UR,Haryana,"Pt BD Sharma, Rohtak",RADIATION ONCOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,205(1),233(1),-,-,-,-,208(1),275(1),46(1),-,-
Haryana Priv IP,IP-UR,Haryana,"Maharaja Agrasen, Agroha",ORTHOPAEDICS,"₹1,00,000*","₹95,594",0*,₹0*,550,131(1),111(1),50(1),-,-,-,194(1),170(1),47(1),-,-
HAR Govt-Inst. Pref,IP-UR,Haryana,"ESIC Med Coll, Faridabad",ANAESTHESIOLOGY,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,422(1),280(1),49(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"Maharaja Agrasen, Agroha",ORTHOPAEDICS,"₹1,00,000*","₹95,594",0*,₹0*,550,149(2),125(2),61(2),33(1),-,-,185(2),168(2),53(2),9(1),-
HAR Govt-Inst. Pref,IP-UR,Haryana,"Pt BD Sharma, Rohtak",ANAESTHESIOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,228(1),138(1),70(1),-,-,-,291(2),248(2),56(2),-,-
HAR Priv-Govt Quota,BCB,Haryana,"Maharaja Agrasen, Agroha",OPHTHALMOLOGY,"₹1,00,000*","₹95,594",0*,₹0*,550,-,-,-,-,-,-,328(1),305(1),57(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",DERMATOLOGY,"₹14,02,000*","₹56,100",0,₹0,-,249(1),286(1),159(1),-,-,-,366(1),311(1),59(1),-,-
HAR Govt-All,UR Service,Haryana,"ESIC Med Coll, Faridabad",GENERAL MEDICINE,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,159(1),90(1),-,-,-,700(1),-,68(1),-,-
HAR Govt-All,UR,Haryana,"Pt BD Sharma, Rohtak",ANAESTHESIOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,275(5),177(5),117(4),35(1),-,-,326(6),254(6),71(4),15(1),-
HAR Priv-Mgmt,MNG,Haryana,"NC Med Coll, Panipat",OBG,"₹14,02,000*","₹40,000",0,₹0,680,417(1),319(1),181(1),-,-,-,670(1),355(1),73(1),-,-
HAR Govt-All,BCB,Haryana,"Pt BD Sharma, Rohtak",ANAESTHESIOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,362(1),269(1),-,-,-,-,403(2),326(2),77(1),30(1),-
HAR Priv-Govt Quota,UR,Haryana,"Maharaja Agrasen, Agroha",ANAESTHESIOLOGY,"₹1,00,000*","₹95,594",0*,₹0*,550,302(2),211(2),141(2),-,-,-,407(2),265(2),79(2),17(1),-
HAR Govt-All,BCB,Haryana,"ESIC Med Coll, Faridabad",ANAESTHESIOLOGY,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,540(1),387(1),84(1),-,-
Haryana Priv IP,IP-UR,Haryana,"Maharaja Agrasen, Agroha",ANAESTHESIOLOGY,"₹1,00,000*","₹95,594",0*,₹0*,550,-,-,-,-,-,-,473(2),304(2),87(2),-,-
HAR Govt-Inst. Pref,IP-BCA,Haryana,"ESIC Med Coll, Faridabad",ANAESTHESIOLOGY,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,614(1),346(1),88(1),-,-
HAR Priv-Govt Quota,UR Service,Haryana,"Maharaja Agrasen, Agroha",ORTHOPAEDICS,"₹1,00,000*","₹95,594",0*,₹0*,550,371(1),208(1),109(1),-,-,-,1015(1),-,94(1),-,57(1)
HAR Priv-Mgmt,MNG,Haryana,"Adesh Med Coll, Shahabad",GENERAL SURGERY,"₹14,02,000*","₹44,000",0,₹0,775,556(2),337(1),198(1),87(1),-,-,908(2),487(1),97(1),39(1),-
HAR Priv-Mgmt,MNG,Haryana,"Adesh Med Coll, Shahabad",PAEDIATRICS,"₹14,02,000*","₹44,000",0,₹0,775,360(1),248(1),132(1),-,-,-,444(2),411(2),102(1),67(1),-
HAR Govt-All,UR,Haryana,"ESIC Med Coll, Faridabad",PMR,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,555(1),300(1),-,-,-,367(1),434(1),108(1),-,-
Haryana Priv IP,IP-BCB,Haryana,"Maharaja Agrasen, Agroha",ANAESTHESIOLOGY,"₹1,00,000*","₹95,594",0*,₹0*,550,-,-,-,-,-,-,567(1),398(1),109(1),-,-
HAR Govt-All,BCB,Haryana,"Pt BD Sharma, Rohtak",ENT,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,-,-,-,-,-,-,492(1),-,110(1),36(1),-
HAR Priv-Govt Quota,UR,Haryana,"NC Med Coll, Panipat",PAEDIATRICS,"₹14,02,000*","₹40,000",0,₹0,680,585(1),327(1),-,-,-,-,801(1),438(1),111(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",GENERAL MEDICINE,"₹14,02,000*","₹56,100",0,₹0,-,384(1),231(1),125(1),-,-,-,538(2),445(1),115(1),57(1),-
HAR Priv-Govt Quota,BCA,Haryana,"Maharaja Agrasen, Agroha",ANAESTHESIOLOGY,"₹1,00,000*","₹95,594",0*,₹0*,550,-,-,-,-,-,-,718(1),390(1),117(1),28(1),-
HAR Govt-All,SCD,Haryana,"Pt BD Sharma, Rohtak",TBRD,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,-,-,-,-,-,-,1016(1),460(1),120(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",ORTHOPAEDICS,"₹14,02,000*","₹56,100",0,₹0,-,524(2),539(2),-,236(1),-,-,955(1),477(1),131(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"Adesh Med Coll, Shahabad",GENERAL SURGERY,"₹14,02,000*","₹44,000",0,₹0,775,-,-,-,-,-,-,-,-,134(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",RADIO DIAGNOSIS,"₹45,00,000*","₹56,100",Info Not Available,Info not available,720,457(4),293(3),127(1),93(3),233(3),-,358(4),503(4),137(1),-,-
HAR Govt-All,UR,Haryana,"Pt BD Sharma, Rohtak",PATHOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,364(1),281(1),156(1),128(2),-,-,599(2),425(2),139(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"NC Med Coll, Panipat",PAEDIATRICS,"₹14,02,000*","₹40,000",0,₹0,680,460(2),372(2),-,-,-,-,790(3),485(3),140(1),76(1),-
