Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",GENERAL MEDICINE,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,6(2),32(2),-,-,-,4(1),9(1),20(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"RPG, Tanda",GENERAL MEDICINE,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,8(1),45(1),-,-,-,9(1),20(1),62(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",PAEDIATRICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,21(3),49(2),65(1),133(1),-,11(2),44(2),74(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"RPG, Tanda",OBG,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,81(1),123(2),167(1),-,21(3),79(3),89(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",ORTHOPAEDICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,3(1),-,-,-,-,20(1),22(1),104(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",GENERAL SURGERY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,14(1),-,-,-,-,22(1),89(1),129(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"RPG, Tanda",PSYCHIATRY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,40(1),129(1),156(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",ENT,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,38(1),106(1),-,-,-,53(1),131(1),177(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"RPG, Tanda",GENERAL SURGERY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,29(1),66(1),-,-,-,28(1),-,179(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",GENERAL MEDICINE,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,13(3),26(3),-,-,-,234(5),-,187(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",OPHTHALMOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,-,-,192(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"RPG, Tanda",ENT,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,48(1),146(1),-,-,-,55(1),136(1),201(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",ANAESTHESIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,43(3),147(3),-,-,-,16(1),156(1),213(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"RPG, Tanda",ANAESTHESIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,42(2),201(2),248(2),316(1),-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",ORTHOPAEDICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,15(2),28(2),-,-,-,187(1),-,254(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",RADIATION ONCOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,-,-,305(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"LalBahShastri Govt Med, Mandi",MICROBIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",500,-,-,-,-,-,272(1),-,314(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",PAEDIATRICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,30(3),75(4),-,-,-,265(3),-,322(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",PAEDIATRICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,29(3),50(2),62(1),-,-,277(3),325(1),337(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"RPG, Tanda",PATHOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,305(1),651(1),-,-,-,343(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",PHARMACOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,77(1),436(1),-,-,-,748(1),900(1),380(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",RADIATION ONCOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,55(2),98(2),-,-,-,278(1),377(1),415(1),-,-
HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",GENERAL MEDICINE,"₹28,99,600*","₹40,000",1,"₹10,00,000",720,6(1),432(4),-,-,-,97(5),470(5),432(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",GENERAL SURGERY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,33(5),97(5),-,-,-,441(4),521(3),538(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",ANAESTHESIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,72(6),152(6),142(2),-,-,482(4),522(3),552(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",OBG,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,108(2),127(2),-,-,449(4),405(1),566(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",ANAESTHESIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,75(3),139(3),184(1),-,-,495(3),546(2),567(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",PATHOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,67(1),-,196(1),-,-,540(2),598(2),640(1),-,-
HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",OBG,"₹29,35,800*","₹40,000",1,"₹10,00,000",720,7(1),562(4),-,-,-,170(3),531(3),646(2),-,-
HP Priv NRI,GEN,Himachal Pradesh,"MMU, Solan",PAEDIATRICS,"₹50,10,000*","₹40,000",1,"₹10,00,000",720,9(1),-,975(1),-,-,-,-,830(1),-,-
HP Govt Quota,SC-GDO,Himachal Pradesh,"IGMC, Shimla",OBG,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,88(1),163(1),-,-,-,741(1),-,836(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"Govt Med Coll, Nahan",SPM,"₹39,000*","₹40,000*",3*,"₹40,00,000*",Info Not Available,117(1),-,-,-,-,-,-,851(1),887(1),-
HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",GENERAL SURGERY,"₹26,35,600*","₹40,000",1,"₹10,00,000",720,24(1),714(1),578(4),765(1),-,243(3),631(3),860(2),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",FORENSIC MEDICINE,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,-,-,879(1),-,-
HP Govt Quota,SC-GDO,Himachal Pradesh,"IGMC, Shimla",PATHOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,669(1),-,-,-,-,-,890(1),-,-
HP Govt Quota,SC-GDO,Himachal Pradesh,"RPG, Tanda",ANAESTHESIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,122(1),238(1),-,-,-,825(1),-,903(1),-,-
HP Private-StateQuota,GEN,Himachal Pradesh,"MMU, Solan",PSYCHIATRY,"₹23,47,800*","₹40,000",1,"₹10,00,000",720,-,-,-,-,-,-,-,934(1),-,-
HP Govt Quota,SC,Himachal Pradesh,"RPG, Tanda",GENERAL SURGERY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,98(1),324(1),947(1),-,-
HP Private-StateQuota,GEN-GDO,Himachal Pradesh,"MMU, Solan",ENT,"₹19,31,600*","₹40,000",1,"₹10,00,000",720,-,-,-,-,-,-,-,978(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",SPM,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,57(1),-,-,-,-,136(1),313(1),1019(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",MICROBIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,580(1),799(1),1041(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",MICROBIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,502(1),-,-,-,-,1056(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"RPG, Tanda",SPM,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,80(1),-,-,-,-,-,-,1073(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"LalBahShastri Govt Med, Mandi",MICROBIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",500,196(2),498(2),-,-,-,-,-,1103(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",PHYSIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,424(1),-,-,-,598(1),1129(1),1104(1),-,-
HP Priv All,SC,Himachal Pradesh,"MMU, Solan",GENERAL MEDICINE,"₹28,99,600*","₹40,000",1,"₹10,00,000",720,85(1),509(1),-,-,-,-,-,1128(1),-,-
HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",ANAESTHESIOLOGY,"₹19,31,600*","₹40,000",1,"₹10,00,000",720,45(1),-,916(5),734(1),-,525(4),1137(4),1179(2),-,-
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",MICROBIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,380(1),-,-,-,271(1),1041(1),1184(1),-,-
HP Priv NRI,GEN,Himachal Pradesh,"MMU, Solan",RADIO DIAGNOSIS,"₹66,80,000*","₹40,000",1,"₹10,00,000",720,4(2),-,767(2),-,-,1106(2),-,1206(2),-,-
HP Private-StateQuota,GEN,Himachal Pradesh,"MMU, Solan",GENERAL SURGERY,"₹26,35,600*","₹40,000",1,"₹10,00,000",720,177(1),674(2),-,-,-,-,-,1207(2),-,-
HP Priv NRI,GEN,Himachal Pradesh,"MMU, Solan",OPHTHALMOLOGY,"₹50,10,000*","₹40,000",1,"₹10,00,000",720,-,-,1003(1),1103(1),-,-,-,1210(1),-,-
HP Govt Quota,GEN-GDO-PHY,Himachal Pradesh,"IGMC, Shimla",ANAESTHESIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,-,-,1221(1),-,-
HP Govt Quota,ST,Himachal Pradesh,"IGMC, Shimla",GENERAL MEDICINE,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,125(1),210(1),1229(1),-,-
HP Priv NRI,GEN,Himachal Pradesh,"MMU, Solan",TBRD,"₹50,10,000*","₹40,000",1,"₹10,00,000",720,-,-,1098(1),-,-,-,-,1231(1),-,-
HP Priv NRI,GEN,Himachal Pradesh,"MMU, Solan",ORTHOPAEDICS,"₹50,10,000*","₹40,000",1,"₹10,00,000",720,11(1),-,992(1),1152(1),-,-,-,1245(1),-,-
HP Priv NRI,GEN,Himachal Pradesh,"MMU, Solan",OBG,"₹50,10,000*","₹40,000",1,"₹10,00,000",720,3(1),-,852(1),-,-,-,-,1252(1),1405(1),-
HP Private-StateQuota,SC,Himachal Pradesh,"MMU, Solan",PAEDIATRICS,"₹27,67,800*","₹40,000",1,"₹10,00,000",720,-,-,-,-,-,-,-,1253(1),-,-
HP Priv All,SC,Himachal Pradesh,"MMU, Solan",GENERAL SURGERY,"₹26,35,600*","₹40,000",1,"₹10,00,000",720,188(1),-,968(1),-,-,1134(2),1168(2),1261(1),-,-
HP Priv NRI,GEN,Himachal Pradesh,"MMU, Solan",DERMATOLOGY,"₹58,45,000*","₹40,000",1,"₹10,00,000",720,7(1),691(1),-,-,-,-,-,1269(1),-,-
HP Priv NRI,GEN,Himachal Pradesh,"MMU, Solan",PSYCHIATRY,"₹41,75,000*","₹40,000",1,"₹10,00,000",720,-,-,1061(1),-,-,951(1),-,1275(1),-,-
HP Govt Quota,ST,Himachal Pradesh,"IGMC, Shimla",ANAESTHESIOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,465(1),1165(1),1284(1),-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",ANATOMY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,1018(1),-,-,-,1292(1),-,-
HP Priv All,SC,Himachal Pradesh,"MMU, Solan",PAEDIATRICS,"₹27,67,800*","₹40,000",1,"₹10,00,000",720,58(1),-,-,-,-,-,-,1299(1),-,-
HP Priv All,SC,Himachal Pradesh,"MMU, Solan",ANAESTHESIOLOGY,"₹19,31,600*","₹40,000",1,"₹10,00,000",720,274(1),-,979(1),-,-,865(1),1174(1),1308(1),-,-
HP Private-StateQuota,GEN,Himachal Pradesh,"MMU, Solan",PATHOLOGY,"₹15,95,000*","₹40,000",1,"₹10,00,000",720,-,-,-,-,-,-,-,1319(1),-,-
HP Priv NRI,GEN,Himachal Pradesh,"MMU, Solan",GENERAL MEDICINE,"₹58,45,000*","₹40,000",1,"₹10,00,000",720,8(1),-,1076(2),-,-,1109(2),970(1),1345(1),-,-
HP Priv All,SC,Himachal Pradesh,"MMU, Solan",OPHTHALMOLOGY,"₹27,67,800*","₹40,000",1,"₹10,00,000",720,-,-,-,-,-,1022(1),1098(1),1362(1),-,-
HP Priv NRI,GEN,Himachal Pradesh,"MMU, Solan",ENT,"₹37,58,000*","₹40,000",1,"₹10,00,000",720,-,-,1009(1),-,-,1057(1),-,1371(1),1441(1),-
HP Govt Quota,SC-GDO,Himachal Pradesh,"RPG, Tanda",BIOCHEMISTRY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,-,-,1380(1),-,-
HP Priv NRI,GEN,Himachal Pradesh,"MMU, Solan",GENERAL SURGERY,"₹50,10,000*","₹40,000",1,"₹10,00,000",720,-,-,995(1),1054(1),-,-,-,1385(1),-,-
HP Private-StateQuota,GEN-GDO,Himachal Pradesh,"MMU, Solan",ORTHOPAEDICS,"₹27,67,800*","₹40,000",1,"₹10,00,000",720,-,-,-,-,-,1102(2),-,1411(2),-,-
HP Priv NRI,GEN,Himachal Pradesh,"MMU, Solan",ANAESTHESIOLOGY,"₹33,40,000*","₹40,000",1,"₹10,00,000",720,-,-,1063(1),-,-,-,-,1425(1),-,-
HP Private-StateQuota,GEN-GDO,Himachal Pradesh,"MMU, Solan",GENERAL SURGERY,"₹26,35,600*","₹40,000",1,"₹10,00,000",720,-,-,1181(1),-,-,-,-,1433(1),-,-
HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",PATHOLOGY,"₹15,95,000*","₹40,000",1,"₹10,00,000",720,143(1),-,1144(3),-,-,852(3),-,1443(4),-,-
HP Private-StateQuota,GEN-GDO,Himachal Pradesh,"MMU, Solan",GENERAL MEDICINE,"₹28,99,600*","₹40,000",1,"₹10,00,000",720,-,273(1),-,-,-,782(1),-,1455(1),-,-
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",RADIO DIAGNOSIS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,2(1),4(1),-,-,-,3(2),6(2),-,-,-
HP Govt Quota,EWS,Himachal Pradesh,"IGMC, Shimla",RADIO DIAGNOSIS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,18(1),-,-,-,-
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",DERMATOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,5(1),21(1),-,-,-
HP Govt Quota,GEN,Himachal Pradesh,"RPG, Tanda",PAEDIATRICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,22(1),47(1),84(2),-,-,7(1),67(1),-,-,-
HP Govt Quota,GEN,Himachal Pradesh,"IGMC, Shimla",OBG,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,23(4),104(3),-,149(1),-,6(1),75(1),-,-,-
HP Govt Quota,EWS,Himachal Pradesh,"RPG, Tanda",PAEDIATRICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,70(1),100(1),-,-,-
HP Govt Quota,GEN,Himachal Pradesh,"RPG, Tanda",OPHTHALMOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,39(1),101(1),-,-,-
HP Govt Quota,EWS,Himachal Pradesh,"IGMC, Shimla",OBG,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,106(1),-,-,-,-
HP Govt Quota,SC-GDO,Himachal Pradesh,"IGMC, Shimla",DERMATOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,111(1),-,-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",RADIO DIAGNOSIS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,11(4),23(4),-,-,-,117(3),-,-,-,-
HP Govt Quota,EWS,Himachal Pradesh,"RPG, Tanda",ORTHOPAEDICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,100(1),138(1),-,-,-
