Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6
JK Govt Quota,OM,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",GENERAL MEDICINE,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,84(12),59(3),-,-,168(9),34(2),40(2),20(1),-,-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",GENERAL MEDICINE,"₹35,750*","₹59,500",0*,₹0*,2150,147(14),81(4),-,-,186(6),53(4),67(2),-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",OBG,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,182(3),-,-,-,67(1),-,79(1),98(1),-,-
JK Govt Quota,OM,Jammu and Kashmir,"Gove Med Coll, Jammu",GENERAL MEDICINE,"₹25,000*","₹59,500",0*,₹0*,1700,131(7),89(3),-,-,54(3),60(1),83(3),100(1),139(1),-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",OBG,"₹35,750*","₹59,500",0*,₹0*,2150,199(12),114(2),123(2),-,80(5),95(1),97(1),146(1),-,-
JK Govt Quota,SP,Jammu and Kashmir,"Govt Med Coll, Srinagar",OBG,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,-,88(1),101(1),-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Gove Med Coll, Jammu",OBG,"₹25,000*","₹59,500",0*,₹0*,1700,187(8),122(3),-,-,177(5),103(2),108(2),-,-,-
JK Govt Quota,JKPM,Jammu and Kashmir,"Gove Med Coll, Jammu",OBG,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,-,-,111(1),-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",PAEDIATRICS,"₹35,750*","₹59,500",0*,₹0*,2150,190(8),116(4),118(1),-,60(2),109(3),118(1),129(1),-,-
JK Govt Quota,OM,Jammu and Kashmir,"Gove Med Coll, Jammu",PAEDIATRICS,"₹25,000*","₹59,500",0*,₹0*,1700,143(5),80(1),-,-,130(4),111(2),122(1),124(1),-,-
JK Priv-Hindu Min.,HM,Jammu and Kashmir,"ASCOMS, Jammu",GENERAL MEDICINE,"₹12,15,000*","₹45,560",0,₹0,507,-,265(1),-,-,-,234(1),127(1),-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",GENERAL SURGERY,"₹35,750*","₹59,500",0*,₹0*,2150,192(6),161(3),-,-,95(4),121(3),135(1),141(1),-,-
JK Govt Quota,OM,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",PSYCHIATRY,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,103(1),212(1),169(1),-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",ORTHOPAEDICS,"₹35,750*","₹59,500",0*,₹0*,2150,158(4),177(3),179(2),-,121(3),181(3),185(1),191(1),-,-
JK Govt Quota,OM,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",OPHTHALMOLOGY,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,116(1),149(1),-,-,92(1),203(1),212(1),-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Gove Med Coll, Jammu",GENERAL SURGERY,"₹25,000*","₹59,500",0*,₹0*,1700,139(6),-,153(1),-,115(4),148(5),229(3),204(2),248(2),305(1)
JK Govt Quota,OM,Jammu and Kashmir,"Gove Med Coll, Jammu",ORTHOPAEDICS,"₹25,000*","₹59,500",0*,₹0*,1700,174(5),176(1),183(2),-,126(3),176(2),244(1),249(1),-,-
JK Govt Quota,OM,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",ANAESTHESIOLOGY,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,184(2),183(1),266(4),-,161(4),-,272(4),-,392(1),-
JK Govt Quota,OM,Jammu and Kashmir,"Gove Med Coll, Jammu",OPHTHALMOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,201(2),225(1),268(1),-,178(2),-,294(2),336(2),-,-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",ENT,"₹35,750*","₹59,500",0*,₹0*,2150,193(2),198(2),-,-,-,-,331(1),-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Govt Med Coll, Srinagar",ANAESTHESIOLOGY,"₹35,750*","₹59,500",0*,₹0*,2150,164(1),213(1),288(5),303(2),196(5),232(3),340(3),398(2),441(1),-
JK Govt Quota,OM,Jammu and Kashmir,"Gove Med Coll, Jammu",ENT,"₹25,000*","₹59,500",0*,₹0*,1700,163(2),214(1),240(1),-,176(3),230(2),345(3),-,-,-
JK Govt Quota,OM,Jammu and Kashmir,"Gove Med Coll, Jammu",ANAESTHESIOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,156(2),-,277(2),-,189(3),-,348(1),242(1),447(1),-
JK Govt Quota,ST-II,Jammu and Kashmir,"Gove Med Coll, Jammu",DERMATOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,243(2),199(1),349(1),-,-,-
JK Priv-Govt Quota,OM,Jammu and Kashmir,"ASCOMS, Jammu",OPHTHALMOLOGY,"₹12,15,000*","₹45,560",0,₹0,507,370(2),385(1),458(1),-,432(1),-,416(1),-,-,-
JK Priv-Hindu Min.,HM,Jammu and Kashmir,"ASCOMS, Jammu",OBG,"₹12,15,000*","₹45,560",0,₹0,507,-,276(1),-,-,-,198(1),432(1),-,-,-
JK Govt Quota,ST-II,Jammu and Kashmir,"Gove Med Coll, Jammu",PAEDIATRICS,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,349(1),-,484(1),-,-,-
JK Priv-Govt Quota,OM,Jammu and Kashmir,"ASCOMS, Jammu",PSYCHIATRY,"₹12,15,000*","₹45,560",0,₹0,507,427(1),362(1),-,-,341(1),366(1),500(1),-,-,-
JK Priv-Govt Quota,OM,Jammu and Kashmir,"ASCOMS, Jammu",ANAESTHESIOLOGY,"₹12,15,000*","₹45,560",0,₹0,507,347(2),505(2),-,-,457(2),544(2),507(1),-,-,-
JK Govt Quota,SC,Jammu and Kashmir,"Gove Med Coll, Jammu",GENERAL SURGERY,"₹25,000*","₹59,500",0*,₹0*,1700,547(3),836(2),906(1),-,397(1),478(1),532(1),638(1),-,-
JK Govt Quota,ST-II,Jammu and Kashmir,"Govt Med Coll, Srinagar",PAEDIATRICS,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,364(2),409(2),570(2),-,-,-
JK Priv-Govt Quota,OM,Jammu and Kashmir,"ASCOMS, Jammu",ENT,"₹12,15,000*","₹45,560",0,₹0,507,450(1),543(1),-,-,458(1),-,576(1),577(1),-,-
JK Priv-Hindu Min.,HM,Jammu and Kashmir,"ASCOMS, Jammu",OPHTHALMOLOGY,"₹12,15,000*","₹45,560",0,₹0,507,-,456(1),663(1),-,-,440(1),591(1),486(1),-,-
JK Govt Quota,ST-II,Jammu and Kashmir,"Govt Med Coll, Srinagar",PATHOLOGY,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,1018(1),-,624(1),-,-,-
JK Govt Quota,ALC/IB,Jammu and Kashmir,"Gove Med Coll, Jammu",PHYSIOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,-,-,732(1),-,-,-
JK Priv-NRI,NRI,Jammu and Kashmir,"ASCOMS, Jammu",PAEDIATRICS,"₹21,97,500*","₹45,560",0,₹0,507,-,664(1),917(1),-,-,698(1),749(1),-,-,-
JK Priv-Govt Quota,OM,Jammu and Kashmir,"ASCOMS, Jammu",PATHOLOGY,"₹12,15,000*","₹45,560",0,₹0,507,649(2),861(1),1011(1),-,656(2),968(2),767(1),-,-,-
JK Govt Quota,STK,Jammu and Kashmir,"Govt Med Coll, Srinagar",GENERAL SURGERY,"₹35,750*","₹59,500",0*,₹0*,2150,210(1),749(1),-,-,477(1),694(1),798(1),-,-,-
JK Govt Quota,ST-II,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",ANAESTHESIOLOGY,"₹11,000*","₹82,000",0*,₹0*,Info Not Available,-,-,-,-,752(2),-,860(1),-,-,-
JK Govt Quota,ST-I,Jammu and Kashmir,"Gove Med Coll, Jammu",ORTHOPAEDICS,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,502(1),-,920(1),-,-,-
JK Govt Quota,ST-II,Jammu and Kashmir,"Gove Med Coll, Jammu",OPHTHALMOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,623(2),-,927(1),-,-,-
JK Govt Quota,ST-II,Jammu and Kashmir,"Gove Med Coll, Jammu",GENERAL SURGERY,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,452(3),419(1),944(2),-,-,-
JK Govt Quota,ST-II,Jammu and Kashmir,"Gove Med Coll, Jammu",ANAESTHESIOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,-,-,-,-,444(1),-,963(1),-,-,-
JK Govt Quota,ALC/IB,Jammu and Kashmir,"Gove Med Coll, Jammu",ANAESTHESIOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,719(3),892(1),-,-,759(3),-,982(1),-,-,-
JK Govt Quota,SC,Jammu and Kashmir,"Gove Med Coll, Jammu",OPHTHALMOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,579(1),-,-,-,363(1),-,985(1),-,-,-
JK Priv-NRI,NRI,Jammu and Kashmir,"ASCOMS, Jammu",OBG,"₹21,97,500*","₹45,560",0,₹0,507,-,680(1),-,-,-,745(1),993(1),-,-,-
JK Govt Quota,ALC/IB,Jammu and Kashmir,"Gove Med Coll, Jammu",OPHTHALMOLOGY,"₹25,000*","₹59,500",0*,₹0*,1700,372(1),688(1),-,-,558(1),975(1),1014(1),-,-,-
JK Govt Quota,STL,Jammu and Kashmir,"Govt Med Coll, Srinagar",GENERAL SURGERY,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,455(1),-,1054(1),-,-,-
JK Govt Quota,ST-II,Jammu and Kashmir,"Govt Med Coll, Srinagar",ANAESTHESIOLOGY,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,955(3),-,1071(1),-,-,-
JK Govt Quota,ST-I,Jammu and Kashmir,"Govt Med Coll, Srinagar",ANAESTHESIOLOGY,"₹35,750*","₹59,500",0*,₹0*,2150,-,-,-,-,962(2),996(1),1079(2),-,-,-
