Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",PAEDIATRICS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,13(1),-,53(2),-,32(2),46(1),48(1),-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",GENERAL SURGERY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,63(3),-,68(1),-,62(8),65(2),93(2),-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",GENERAL SURGERY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,81(2),87(1),-,-,-,-,94(1),-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",OPHTHALMOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,89(1),-,-,-,57(1),93(1),102(1),-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,98(4),100(1),-,-,94(1),83(1),115(1),-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",DGO,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,277(1),-,103(1),-,128(1),-,-
JHKND Govt Quota,BC-II,Jharkhand,"MGM Med Coll, Jamshedpur",OPHTHALMOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,-,-,145(1),-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",ANAESTHESIOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,163(1),-,-,158(1),-,-
JHKND Govt Quota,EWS,Jharkhand,"MGM Med Coll, Jamshedpur",ENT,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,-,-,207(1),-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",OBG,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,182(4),-,-,-,-,-,241(1),-,-
JHKND Govt Quota,SC,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL SURGERY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,-,-,246(1),-,-
JHKND Govt Quota,UR,Jharkhand,"MGM Med Coll, Jamshedpur",PATHOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,237(1),-,-,-,264(1),-,248(1),377(1),105(1)
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",ORTHOPAEDICS,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,226(1),-,-,-,-,313(1),-,-
JHKND Govt Quota,SC,Jharkhand,"MGM Med Coll, Jamshedpur",ENT,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,206(1),-,-,-,-,-,326(1),-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",OPHTHALMOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,228(2),-,-,-,266(2),-,328(1),-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",PATHOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,252(2),252(2),292(1),-,343(5),-,335(1),-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",MICROBIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,326(2),-,-,-,379(2),-,190(1)
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",PHARMACOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,-,-,385(1),-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",MICROBIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,-,-,388(1),-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",PHYSIOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,347(1),-,-,-,391(1),-,193(1)
JHKND Govt Quota,SC,Jharkhand,"Rajendra IMS, Ranchi",PHARMACOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,-,-,392(1),-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",PHARMACOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,210(1),-,348(3),-,349(1),-,395(2),-,180(1)
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",FORENSIC MEDICINE,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,308(1),261(1),175(1),-,396(1),-,192(2)
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",BIOCHEMISTRY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,320(1),-,-,-,397(2),-,187(1)
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",RADIO DIAGNOSIS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,2(2),-,-,-,3(2),6(1),-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"Rajendra IMS, Ranchi",GENERAL MEDICINE,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,9(1),-,-,-,18(1),-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",GENERAL MEDICINE,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,12(5),13(3),32(2),-,15(2),20(1),-,-,-
JHKND Govt Quota,EWS,Jharkhand,"Rajendra IMS, Ranchi",GENERAL MEDICINE,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,26(1),-,-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",DERMATOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,27(1),-,-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",GENERAL MEDICINE,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,-,28(1),-,-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",DERMATOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,5(1),29(1),-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"Rajendra IMS, Ranchi",OBG,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,86(1),-,33(1),-,-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"Rajendra IMS, Ranchi",ORTHOPAEDICS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,53(1),-,-,-,35(1),-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",RADIO DIAGNOSIS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,83(1),-,-,-,39(1),-,-,-,-
