Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
KAR Govt Quota-Open,GM,Karnataka,"Shimoga IMS, Shimoga",RADIO DIAGNOSIS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",950,-,-,-,-,-,-,-,-,-,-,2864(1),8949(1),-
KAR Govt Quota-Open,GM,Karnataka,"ESIC Med Coll,Gulbarga",GENERAL MEDICINE,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",480,-,-,-,-,-,-,-,1519(1),1459(1),2912(1),3116(1),11337(1),-
KAR Govt Quota-Open,GM,Karnataka,Karwar Inst of Med Sciences,GENERAL MEDICINE,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",650,-,-,-,-,-,-,-,1546(1),1546(1),2933(1),5180(1),11828(1),-
KAR Govt Quota-Open,GMH,Karnataka,"Raichur IMS, Raichur",GENERAL MEDICINE,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",500,-,-,-,-,-,-,-,1606(1),1606(1),3891(1),5216(1),-,-
KAR Priv Seats-Open,OPN,Karnataka,"St John's, Bangalore",GENERAL MEDICINE,"₹12,40,025*","₹45,000",1*,"₹5,00,000*",1720,898(2),1804(2),2336(2),-,-,-,-,59(1),59(1),1187(1),6317(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"SSIMS & RC, Davangere",RADIO DIAGNOSIS,"₹7,83,858*","₹30,000",1*,"₹50,00,000*",1190,2170(2),2099(2),3395(2),-,-,-,-,1300(1),1300(1),2660(1),7708(1),9584(1),-
KAR Govt Quota-Open,GM,Karnataka,"Gulbarga IMS, Gulbarga",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",873,-,-,-,-,-,-,-,-,-,6368(1),8949(1),11756(1),-
KAR Priv Seats-Open,OPN,Karnataka,"Navodaya Med Coll, Raichur",RADIO DIAGNOSIS,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1110,-,-,-,-,-,-,-,4816(1),4816(1),11258(1),9460(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"Shimoga IMS, Shimoga",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",950,-,-,7157(1),-,-,-,-,1954(2),1981(2),5826(2),9584(1),18870(1),-
KAR Govt Quota-Open,GM,Karnataka,"Mysore Med Coll, Mysore",GENERAL SURGERY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1050,3353(3),3736(3),5352(3),-,-,-,-,3178(4),3178(4),7043(4),10272(1),9974(1),-
KAR Priv Seats-Open,OPN,Karnataka,"VIMS (Vydehi), Bangalore",GENERAL MEDICINE,"₹13,88,744*","₹29,000*",1*,"₹50,00,000*",1600,5810(2),4593(2),9231(2),-,-,-,-,6108(1),2758(1),7210(1),10274(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"Bangalore Med Coll, Bangalore",TBRD,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1993,3570(1),3538(1),8983(1),-,-,-,-,2045(1),1939(1),13420(1),11337(1),23935(1),-
KAR Govt Quota-Open,2AG,Karnataka,"Mysore Med Coll, Mysore",PAEDIATRICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1050,3750(1),3750(1),5113(1),-,-,-,-,3589(1),3607(1),5774(1),11398(1),11398(1),-
