Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kottayam",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",Info Not Available,39(2),39(2),39(2),-,-,34(3),40(3),34(1),-,-,-,-
KER Govt Quota,SM,Kerala,"TD Med Coll, Allepey",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,-,-,-,-,-,11(1),34(1),43(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Medical College, Trivandrum",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,53(6),59(6),59(6),-,-,32(5),32(5),59(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,33(5),34(5),34(5),-,-,39(4),39(4),79(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kozhikode",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,35(1),35(1),35(1),-,-,54(2),54(2),106(1),-,-,-,-
KER Govt Quota,SM,Kerala,"TD Med Coll, Allepey",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,80(6),99(6),99(6),-,-,59(4),66(4),107(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Thrissur",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,66(4),108(4),108(4),-,-,72(3),111(3),214(2),-,-,-,-
KER Govt Quota,SM,Kerala,"Medical College, Trivandrum",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,145(7),214(7),275(7),-,-,194(6),215(6),246(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Thrissur",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,165(2),192(2),192(2),-,-,234(3),257(3),321(2),-,-,-,-
KER Govt Quota,EZ,Kerala,"Govt Med Coll, Kozhikode",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,-,-,-,-,-,-,-,324(1),-,-,-,-
KER Govt Quota,BH,Kerala,"Medical College, Trivandrum",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,100(1),100(1),189(2),-,-,79(1),79(1),371(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kozhikode",TBRD,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,168(1),339(1),339(1),-,-,172(2),313(2),394(2),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kottayam",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",Info Not Available,188(3),287(3),364(3),557(1),-,233(2),234(2),401(1),-,-,-,-
KER Govt Quota,EZ,Kerala,"Govt Med Coll, Thrissur",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,-,-,-,-,-,324(1),324(1),406(1),-,-,-,-
KER Govt Quota,EW,Kerala,"Govt Med Coll, Kottayam",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",Info Not Available,-,-,-,-,-,-,-,415(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"Amala IMS, Thrissur",DERMATOLOGY,"₹18,49,748*","₹53,000",0,₹0,640,139(1),139(1),544(1),-,-,348(1),348(1),434(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"KMCT Med Coll, Kozhikode",DERMATOLOGY,"₹18,49,748*","₹53,000",0,₹0,790,624(1),634(1),634(1),-,-,434(1),867(2),468(1),-,-,-,-
KER Govt Quota,EW,Kerala,"Govt Med Coll, Kozhikode",PSYCHIATRY,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,1400(1),1400(1),1400(1),-,-,716(1),1987(1),492(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"Amala IMS, Thrissur",GENERAL MEDICINE,"₹18,49,748*","₹53,000",0,₹0,640,635(3),672(3),672(3),-,-,383(1),383(1),523(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Medical College, Trivandrum",GENERAL SURGERY,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,396(6),478(6),830(6),1046(1),-,391(6),391(6),537(1),-,-,-,-
KER Govt Quota,SM,Kerala,"TD Med Coll, Allepey",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,227(5),360(5),400(5),-,-,253(2),266(2),541(2),-,-,-,-
KER Govt Quota,BH,Kerala,"Govt Med Coll, Kozhikode",TBRD,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,-,-,-,-,-,468(1),468(1),542(1),-,-,-,-
KER Govt Quota,EW,Kerala,"Govt Med Coll, Thrissur",TBRD,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,-,-,-,-,-,492(1),492(1),578(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kottayam",TBRD,"₹69,470*","₹57,876",1*,"₹50,00,000*",Info Not Available,-,-,-,-,-,291(1),394(1),588(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt of Med Sci, Pariyaram",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,-,-,-,-,-,257(1),341(1),630(1),997(1),-,-,-
KER Self Fin. Seats,EZ,Kerala,"Amala IMS, Thrissur",GENERAL MEDICINE,"₹18,49,748*","₹53,000",0,₹0,640,-,-,-,-,-,868(1),868(1),657(1),-,-,-,-
KER Govt Quota,MU,Kerala,"Govt Med Coll, Kottayam",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",Info Not Available,-,-,-,-,-,250(1),273(1),662(1),-,-,-,-
KER Govt Quota,MU,Kerala,"TD Med Coll, Allepey",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,-,-,-,-,-,270(1),330(1),668(1),-,-,-,-
KER Govt Quota,MU,Kerala,"Medical College, Trivandrum",GENERAL SURGERY,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,481(1),481(1),481(1),-,-,430(1),535(1),702(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"KMCT Med Coll, Kozhikode",GENERAL MEDICINE,"₹18,49,748*","₹53,000",0,₹0,790,-,-,-,-,-,538(1),1154(3),723(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Ernakulam",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",700,233(1),366(1),463(1),-,-,256(1),277(1),727(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Thrissur",GENERAL SURGERY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,429(5),510(5),962(5),-,-,406(4),573(4),760(3),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"Pushpagiri IMS, Tiruvalla",GENERAL MEDICINE,"₹18,49,748*","₹43,000",0,₹0,955,743(3),772(3),772(3),-,-,433(1),542(1),788(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Medical College, Trivandrum",TBRD,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,189(2),321(2),439(2),-,-,277(2),401(2),805(2),-,-,-,-
KER Govt Quota,SM,Kerala,"Medical College, Trivandrum",OBG,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,334(7),334(7),334(7),-,-,662(7),683(7),808(2),-,-,-,-
KER Govt Quota,EZ,Kerala,"Govt Med Coll, Thrissur",GENERAL SURGERY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,-,-,-,-,-,506(1),641(1),826(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"Pushpagiri IMS, Tiruvalla",DERMATOLOGY,"₹18,49,748*","₹43,000",0,₹0,955,195(1),195(1),195(1),-,-,676(2),676(2),869(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kottayam",PMR,"₹69,470*","₹57,876",1*,"₹50,00,000*",Info Not Available,-,-,-,-,-,687(1),1139(1),893(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kozhikode",OBG,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,324(7),407(7),535(8),-,-,380(5),531(5),900(3),-,-,-,-
KER Govt Quota,SM,Kerala,"Medical College, Trivandrum",ORTHOPAEDICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,183(3),246(3),246(3),-,-,436(4),602(4),921(2),-,-,-,-
KER Govt Quota,MU,Kerala,"Medical College, Trivandrum",ORTHOPAEDICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,-,-,-,-,-,628(1),628(1),931(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"Amala IMS, Thrissur",TBRD,"₹18,49,748*","₹53,000",0,₹0,640,1127(1),1127(1),1127(1),-,-,830(1),830(1),934(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt of Med Sci, Pariyaram",GENERAL SURGERY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,-,-,-,-,-,431(1),629(1),985(1),-,-,-,-
KER Govt Quota,EW,Kerala,"Govt Med Coll, Kottayam",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",Info Not Available,-,-,-,-,-,323(1),415(1),989(1),-,-,-,-
KER Govt Quota,MU,Kerala,"Medical College, Trivandrum",OBG,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,-,-,-,-,-,683(1),796(1),1012(1),-,-,-,-
KER Govt Quota,BH,Kerala,"Govt Med Coll, Kottayam",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",Info Not Available,-,-,-,1304(1),-,420(1),420(1),1018(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"Sree Gokulam, Trivandrum",GENERAL MEDICINE,"₹17,49,006*","₹53,000",0,₹0,760,1116(5),1116(5),1116(5),-,-,773(4),1013(4),1020(2),-,-,-,-
KER Govt Quota,SM,Kerala,"Medical College, Trivandrum",OPHTHALMOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,786(5),907(5),1002(5),-,-,705(3),928(3),1034(1),-,-,-,-
KER Govt Quota,EW,Kerala,"Govt Med Coll, Thrissur",PAEDIATRICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,230(1),298(1),298(1),-,-,415(1),567(1),1055(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kozhikode",ANAESTHESIOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,708(7),1023(7),1146(7),1442(1),-,834(7),1018(7),1060(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kozhikode",FAMILY MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,285(1),417(1),417(1),-,-,392(1),528(1),1077(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Medical College, Trivandrum",PSYCHIATRY,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,716(4),890(4),890(4),-,-,262(3),354(3),1080(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"PK Das IMS, Palakkad",DERMATOLOGY,"₹17,61,665*","₹53,000",1*,"₹10,00,000*",750,-,-,-,-,-,-,-,1091(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Kozhikode",OPHTHALMOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,680(2),748(2),748(2),-,-,689(2),1033(2),1101(1),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Thrissur",OBG,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,330(1),457(1),630(1),-,-,675(2),741(2),1105(2),-,-,-,-
