Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2024 1,CR 2024 2,CR 2024 3
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",RADIO DIAGNOSIS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,21(2),-,-,25(1),13(1),29(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,20(5),32(2),-,13(5),30(5),32(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",RADIO DIAGNOSIS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,34(1),34(1),34(1),37(2),37(2),37(2)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"SSMC, Rewa",RADIO DIAGNOSIS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,53(1),49(1),68(1),40(1),45(1),45(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",RADIO DIAGNOSIS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,65(1),90(1),94(1),35(1),60(1),60(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,32(3),40(2),-,27(3),41(2),67(2)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gandhi Med Coll, Bhopal",DERMATOLOGY,"₹1,01,500*","₹75,444",1,"₹10,00,000",1135,-,-,-,5(1),66(1),69(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,40(2),76(3),76(2),62(3),72(2),72(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"SSMC, Rewa",RADIO DIAGNOSIS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,-,-,-,57(1),104(1),104(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1100,48(3),56(2),56(2),32(3),91(3),111(2)
MP Govt Quota,UR/X/OP Service,Madhya Pradesh,"SSMC, Rewa",RADIO DIAGNOSIS,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,-,-,-,115(1),115(1),115(1)
MP Govt Quota,UR/X/OP Service,Madhya Pradesh,"MGM Med Coll, Indore",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,179(2),179(1),-,116(1),116(1),116(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"SSMC, Rewa",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,52(3),80(2),80(2),72(2),84(2),124(2)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",750,54(1),54(1),54(1),84(1),106(1),128(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Govt Med Coll, Ratlam",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",300,71(2),92(2),111(2),88(1),124(1),129(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,33(2),65(2),-,60(2),103(2),135(1)
MP Govt Quota,EWS/X/OP,Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1150,61(1),77(1),-,71(1),143(1),143(1)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1100,72(1),110(1),-,117(1),117(1),145(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"Govt Med Coll, Ratlam",DERMATOLOGY,"₹1,01,500*","₹75,444",1,"₹10,00,000",300,-,-,-,49(1),49(1),156(1)
MP Govt Quota,UR/X/OP,Madhya Pradesh,"MGM Med Coll, Indore",OBG,"₹1,01,500*","₹75,444",1,"₹10,00,000",1300,51(3),151(2),-,136(3),152(3),157(2)
MP Govt Quota,OBC/X/OP,Madhya Pradesh,"SSMC, Rewa",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1,"₹10,00,000",1140,80(1),94(1),112(1),135(1),135(1),158(1)
MP Priv-Open,UR/X/OP,Madhya Pradesh,"Aurobindo Med Coll, Indore",DERMATOLOGY,"₹23,10,000*","₹69,115*",1,"₹10,00,000",1230,383(1),-,-,405(2),167(1),167(1)
