Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2023 8,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6
MAHA-Govt Quota,OPEN,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,4(2),4(2),4(2),4(2),4(2),-,-,-,8(2),8(2),8(2),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,19(1),19(1),19(1),19(1),19(1),-,-,-,10(1),16(1),16(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,13(4),13(4),13(4),13(4),13(4),-,-,-,4(2),9(2),18(2),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",2844,25(3),25(3),25(3),25(3),25(3),-,-,-,16(1),21(1),21(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,-,-,-,-,-,-,-,-,20(1),25(1),25(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,22(1),80(1),80(1),80(1),80(1),-,-,-,29(1),29(1),29(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,8(3),8(3),8(3),8(3),8(3),-,-,-,15(3),30(3),30(3),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,33(2),36(2),36(2),36(2),36(2),-,-,-,26(1),35(1),35(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Topiwala, Mumbai",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1300,37(2),37(2),37(2),37(2),37(2),-,-,-,21(1),37(1),37(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",2844,80(2),93(2),93(2),93(2),93(2),-,-,-,25(1),38(1),38(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"BJMC, Pune",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1296,38(2),55(2),55(2),55(2),55(2),-,-,-,22(1),39(1),39(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1300,17(2),29(2),29(2),29(2),29(2),-,-,-,36(3),53(3),53(3),-,-,-
MAHA-Govt Quota,NT2,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,-,-,-,-,-,-,-,-,62(1),62(1),62(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,95(1),95(1),95(1),95(1),95(1),-,-,-,65(2),65(2),65(2),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"HBT & RN Cooper, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",940,62(2),85(2),85(2),85(2),85(2),-,-,-,57(1),67(1),67(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Grant Med Coll, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",2844,32(3),57(3),57(3),57(3),57(3),-,-,-,44(2),63(2),73(2),-,-,-
