Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3
JNIMS-Spons (Common),OBC M,Manipur,"JNIMS, Imphal",TBRD,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,-,-,-,1(1)
JNIMS-Product,OBC M,Manipur,"JNIMS, Imphal",GENERAL SURGERY,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,-,-,-,-,2(1),-,1(1)
JNIMS-Open,OBC M,Manipur,"JNIMS, Imphal",SPM,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,91(1),-,-,-,-,-,2(1)
JNIMS-Open,ST,Manipur,"JNIMS, Imphal",GENERAL SURGERY,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,-,-,-,-,12(1),-,3(1)
JNIMS-Spons (Common),OBC M,Manipur,"JNIMS, Imphal",ANAESTHESIOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,-,-,-,4(1)
JNIMS-Spons (JNIMS),UR,Manipur,"JNIMS, Imphal",RADIO DIAGNOSIS,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,-,-,-,4(1)
JNIMS-Spons (JNIMS),OBC M,Manipur,"JNIMS, Imphal",OBG,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,-,-,-,5(1)
JNIMS-Spons (Common),OBC MP,Manipur,"JNIMS, Imphal",PATHOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,-,-,15(1),5(1)
JNIMS-Spons (Common),ST,Manipur,"JNIMS, Imphal",GENERAL MEDICINE,"₹1,00,000","₹50,000",0*,₹0*,643,9(1),-,-,-,-,-,6(1)
JNIMS-Spons (Common),UR,Manipur,"JNIMS, Imphal",FORENSIC MEDICINE,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,-,-,-,7(1)
JNIMS-Spons (Common),ST,Manipur,"JNIMS, Imphal",ORTHOPAEDICS,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,-,-,-,8(1)
JNIMS-Spons (Common),ST,Manipur,"JNIMS, Imphal",PSYCHIATRY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,-,-,-,9(1)
JNIMS-Spons (Common),ST,Manipur,"JNIMS, Imphal",BIOCHEMISTRY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,-,-,-,10(1)
JNIMS-Product,OBC M,Manipur,"JNIMS, Imphal",ANATOMY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,-,1(1),1(1),-
JNIMS-Open,OBC M,Manipur,"JNIMS, Imphal",GENERAL MEDICINE,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,2(1),-,-,-,1(1),2(1),-
