Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1
RIMS Grad-Sikkim,UR,Manipur,"RIMS, Imphal",OPHTHALMOLOGY,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,1(1)
RIMS Spons-Megha.,ST,Manipur,"RIMS, Imphal",GENERAL MEDICINE,"₹5,000*","₹1,06,380",0*,₹0*,1074,1(1)
RIMS Spons-Sikkim,SC,Manipur,"RIMS, Imphal",OBG,"₹5,000*","₹1,06,380",0*,₹0*,1074,1(1)
RIMS Grad-Nagal.,ST,Manipur,"RIMS, Imphal",OBG,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,1(1)
RIMS Spons-Tripura,UR,Manipur,"RIMS, Imphal",OPHTHALMOLOGY,"₹5,000*","₹1,06,380",0*,₹0*,1074,1(1)
RIMS Grad-Megha.,ST,Manipur,"RIMS, Imphal",GENERAL MEDICINE,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,1(1)
RIMS Spons-Mizor.,ST,Manipur,"RIMS, Imphal",RADIO DIAGNOSIS,"₹5,000*","₹1,06,380",0*,₹0*,1074,1(1)
RIMS Grad-Manip.,OBC,Manipur,"RIMS, Imphal",PAEDIATRICS,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,1(1)
RIMS Grad-AIQGrad,UR,Manipur,"RIMS, Imphal",DERMATOLOGY,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,1(1)
RIMS Spons-Nagal.,ST,Manipur,"RIMS, Imphal",GENERAL MEDICINE,"₹5,000*","₹1,06,380",0*,₹0*,1074,1(1)
RIMS Grad-Aru.Pra,ST,Manipur,"RIMS, Imphal",GENERAL MEDICINE,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,1(1)
RIMS Grad-Aru.Pra,ST,Manipur,"RIMS, Imphal",ENT,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,2(1)
RIMS Grad-Sikkim,OBC,Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,2(1)
RIMS Spons-Tripura,ST,Manipur,"RIMS, Imphal",PAEDIATRICS,"₹5,000*","₹1,06,380",0*,₹0*,1074,2(1)
RIMS Grad-Manip.,OBC,Manipur,"RIMS, Imphal",GENERAL MEDICINE,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,2(1)
RIMS Grad-Nagal.,ST,Manipur,"RIMS, Imphal",GENERAL SURGERY,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,2(1)
RIMS Spons-Sikkim,OBC,Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,"₹5,000*","₹1,06,380",0*,₹0*,1074,2(1)
RIMS Grad-Tripura,UR,Manipur,"RIMS, Imphal",ORTHOPAEDICS,"₹5,000*","₹1,06,380",1*,"₹20,00,000*",1074,2(1)
RIMS Spons-Nagal.,ST,Manipur,"RIMS, Imphal",OBG,"₹5,000*","₹1,06,380",0*,₹0*,1074,2(1)
