Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2024 1,CR 2024 2,CR 2024 2.5,CR 2024 3
NEIGRIHMS Pass out,NEIGRIHMS Pass out Quota,Meghalaya,"NEIGRIHMS, Shillong",DERMATOLOGY,"₹16,300*","₹96,000*",0,₹0,594,-,-,-,4(1),5(1),-,10(1)
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",OBG,"₹16,300*","₹96,000*",0,₹0,594,-,-,-,26(1),28(1),-,37(1)
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",ENT,"₹16,300*","₹96,000*",0,₹0,594,-,-,-,-,87(1),-,96(1)
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",ANATOMY,"₹16,300*","₹96,000*",0,₹0,594,-,-,-,-,-,-,245(1)
NEIGRIHMS Pass out,NEIGRIHMS Pass out Quota,Meghalaya,"NEIGRIHMS, Shillong",RADIO DIAGNOSIS,"₹16,300*","₹96,000*",0,₹0,594,-,-,-,1(1),-,-,-
NEIGRIHMS Pass out,NEIGRIHMS Pass out Quota,Meghalaya,"NEIGRIHMS, Shillong",ORTHOPAEDICS,"₹16,300*","₹96,000*",0,₹0,594,-,-,-,3(1),-,-,-
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",GENERAL MEDICINE,"₹16,300*","₹96,000*",0,₹0,594,-,-,-,2(1),3(1),-,-
NEIGRIHMS Pass out,NEIGRIHMS Pass out Quota,Meghalaya,"NEIGRIHMS, Shillong",OPHTHALMOLOGY,"₹16,300*","₹96,000*",0,₹0,594,-,-,-,16(1),18(1),-,-
NEIGRIHMS Pass out,NEIGRIHMS Pass out Quota,Meghalaya,"NEIGRIHMS, Shillong",PATHOLOGY,"₹16,300*","₹96,000*",0,₹0,594,9(1),12(1),11(1),24(1),35(1),-,-
NEIGRIHMS Pass out,NEIGRIHMS Pass out Quota,Meghalaya,"NEIGRIHMS, Shillong",PHARMACOLOGY,"₹16,300*","₹96,000*",0,₹0,594,-,-,-,42(1),-,-,-
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",MICROBIOLOGY,"₹16,300*","₹96,000*",0,₹0,594,32(1),53(1),87(1),-,-,190(1),-
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",FORENSIC MEDICINE,"₹16,300*","₹96,000*",0,₹0,594,48(1),68(1),103(1),-,-,196(1),-
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",BIOCHEMISTRY,"₹16,300*","₹96,000*",0,₹0,594,-,-,-,-,-,240(1),-
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",PHARMACOLOGY,"₹16,300*","₹96,000*",0,₹0,594,47(1),72(1),101(1),-,-,263(1),-
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",RADIO DIAGNOSIS,"₹16,300*","₹96,000*",0,₹0,594,2(1),3(1),-,-,-,-,-
NEIGRIHMS Pass out,NEIGRIHMS Pass out Quota,Meghalaya,"NEIGRIHMS, Shillong",GENERAL MEDICINE,"₹16,300*","₹96,000*",0,₹0,594,2(1),4(1),5(1),-,-,-,-
NEIGRIHMS Pass out,NEIGRIHMS Pass out Quota,Meghalaya,"NEIGRIHMS, Shillong",OBG,"₹16,300*","₹96,000*",0,₹0,594,4(1),7(1),-,-,-,-,-
NEIGRIHMS Pass out,NEIGRIHMS Pass out Quota,Meghalaya,"NEIGRIHMS, Shillong",ENT,"₹16,300*","₹96,000*",0,₹0,594,6(1),8(1),9(1),-,-,-,-
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",DERMATOLOGY,"₹16,300*","₹96,000*",0,₹0,594,10(1),10(1),10(1),-,-,-,-
NEIGRIHMS Pass out,NEIGRIHMS Pass out Quota,Meghalaya,"NEIGRIHMS, Shillong",MICROBIOLOGY,"₹16,300*","₹96,000*",0,₹0,594,11(1),15(1),-,-,-,-,-
NEIGRIHMS Pass out,NEIGRIHMS Pass out Quota,Meghalaya,"NEIGRIHMS, Shillong",FORENSIC MEDICINE,"₹16,300*","₹96,000*",0,₹0,594,-,-,16(1),-,-,-,-
NEIGRIHMS Pass out,NEIGRIHMS Pass out Quota,Meghalaya,"NEIGRIHMS, Shillong",BIOCHEMISTRY,"₹16,300*","₹96,000*",0,₹0,594,15(1),-,17(1),-,-,-,-
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",ORTHOPAEDICS,"₹16,300*","₹96,000*",0,₹0,594,16(1),30(1),35(1),-,-,-,-
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",PATHOLOGY,"₹16,300*","₹96,000*",0,₹0,594,29(1),49(1),32(1),-,-,-,-
NEIGRIHMS-NEOpen,North East Open Quota,Meghalaya,"NEIGRIHMS, Shillong",OPHTHALMOLOGY,"₹16,300*","₹96,000*",0,₹0,594,12(1),40(1),52(1),-,-,-,-
