Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 1.5,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 1.5,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",RADIO DIAGNOSIS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,1(1),-,-,1(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",DERMATOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,6(1),-,-,6(1),-,2(1),-,-,2(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",RADIO DIAGNOSIS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,-,-,3(1),-,-,3(1),-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"SCB, Cuttack",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,5(1),-,-,5(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,-,-,7(1),-,-,7(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",RADIO DIAGNOSIS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,10(1),-,-,10(1),-,4(1),8(1),-,8(1),-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"SCB, Cuttack",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,8(1),-,-,8(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",DERMATOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,20(1),-,-,20(1),-,9(1),-,-,9(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,12(5),-,-,12(5),-,14(6),-,15(1),15(6),-,-
Odisha-Govt Quota-InS,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,24(1),-,30(1),30(1),-,19(1),-,-,19(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,12(5),15(2),-,15(5),-,14(5),16(1),10(1),20(5),-,-
Odisha-Govt Quota-InS,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,38(1),-,-,38(1),-,21(1),-,-,21(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,13(2),-,-,13(2),-,22(2),-,-,22(2),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,7(2),-,-,7(2),-,23(2),-,-,23(2),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,20(3),20(1),24(1),24(3),-,20(3),-,-,24(3),-,-
Odisha-Govt Quota-InS,SC,Odisha,"SCB, Cuttack",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,86(1),-,-,86(1),-,25(1),-,-,26(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,34(4),-,-,34(4),-,27(4),-,-,28(4),-,-
Odisha-Govt Quota-InS,ST,Odisha,"Hi-Tech, Bhubaneswar",RADIO DIAGNOSIS,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,28(1),-,-,29(1),-,-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",RADIO DIAGNOSIS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,8(1),-,31(1),31(1),-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"SCB, Cuttack",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,31(1),-,-,32(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,14(1),-,-,14(1),-,32(2),-,-,33(2),-,-
Odisha-Govt Quota,UR-GC,Odisha,"VIMSAR, Burla",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,-,-,37(1),-,-,37(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",DERMATOLOGY,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,-,-,36(1),-,-,37(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,32(4),-,-,32(4),-,38(3),-,-,39(3),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,35(2),-,-,35(2),-,39(2),-,-,40(2),-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",RADIO DIAGNOSIS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,17(1),17(1),25(1),54(1),-,-,-,41(1),41(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,37(1),-,-,37(1),-,41(2),-,-,42(2),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",TBRD,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,45(1),-,-,48(2),-,43(1),-,-,44(1),-,-
Odisha-Govt Quota-InS,UR-PH,Odisha,"MKCG, Berhampur",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,-,-,-,47(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,42(2),-,-,47(2),-,46(1),-,-,48(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",TBRD,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,48(1),-,-,51(1),-,47(1),-,-,49(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",IHBT,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,101(1),101(1),48(1),50(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",TBRD,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,44(1),-,-,52(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,-,-,-,-,-,51(1),-,-,53(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,52(4),-,-,62(5),-,52(4),-,-,54(4),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,41(2),-,-,42(3),-,54(2),-,-,56(2),-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",ORTHOPAEDICS,"₹7,15,000*","₹30,000*",0,₹0,767,100(2),-,-,100(2),-,55(1),-,-,57(1),-,-
