Counselling,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,Fee Session,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5,CR 2024 6
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",RADIO DIAGNOSIS,"₹30,00,000*","₹40,000",1,"₹2,50,00,000",1200,2024,-,85(3),89(3),4(1),-,-,-,-,-,48(3),90(2),5(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"SVS Med Coll, Mehboobnagar",DERMATOLOGY,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,54(1),55(1),55(1),55(1),55(1),55(1),-,-,142(1),129(1),10(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"Adesh Med Coll, Shahabad",RADIO DIAGNOSIS,"₹14,02,000*","₹44,000",0,₹0,775,2024,-,-,-,-,-,-,-,-,-,121(1),107(1),14(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,2024,-,2(1),11(1),12(1),12(1),12(1),12(1),-,-,10(1),12(1),23(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",RADIO DIAGNOSIS,"₹14,02,000*","₹56,100",0,₹0,-,2024,-,203(2),271(2),149(2),-,-,-,-,-,312(2),224(2),32(2),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",RADIO DIAGNOSIS,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,2024,-,3(1),9(1),-,-,-,-,-,-,11(1),26(1),33(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",650,2024,-,17(2),45(2),56(2),56(2),56(2),56(2),-,-,24(2),24(2),50(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,2024,-,35(2),41(2),57(2),57(2),57(2),57(2),-,-,26(2),58(2),58(2),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",DERMATOLOGY,"₹14,02,000*","₹56,100",0,₹0,-,2024,-,249(1),286(1),159(1),-,-,-,-,-,366(1),311(1),59(1),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",RADIO DIAGNOSIS,"₹23,90,000*",₹0*,0,₹0,900,2024,-,11(4),160(4),160(4),-,-,-,-,-,10(4),61(4),61(4),-,-,-,-
PNDCHRY PG,PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",DERMATOLOGY,"₹23,90,000*",₹0*,0,₹0,900,2024,-,15(2),194(2),194(2),-,-,-,-,-,19(2),68(2),68(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata AcadofMedSci,Bachupally",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,-,-,-,-,-,-,-,71(2),71(2),73(2),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"NC Med Coll, Panipat",OBG,"₹14,02,000*","₹40,000",0,₹0,680,2024,-,417(1),319(1),181(1),-,-,-,-,-,670(1),355(1),73(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"SVS Med Coll, Mehboobnagar",RADIO DIAGNOSIS,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",760,2024,-,24(2),24(2),24(2),24(2),24(2),24(2),-,-,27(1),41(1),78(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata AcadofMedSci,Bachupally",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,-,-,-,-,-,-,-,-,89(4),89(4),93(4),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"RVM IMSRC, Siddipet",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1110,2024,-,136(1),146(1),146(1),146(1),146(1),146(1),-,-,121(1),147(1),94(1),-,-,-,-
