Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
PY-Govt Quota,UGE,Pondicherry,"IGMC & RI, Pondicherry",DERMATOLOGY,"₹1,10,000*","₹43,000",0,₹0,750,-,-,-,-,-,-,-,5(1),5(1),5(1),-,-
PY-Govt Quota,UGE,Pondicherry,"IGMC & RI, Pondicherry",GENERAL MEDICINE,"₹1,10,000*","₹43,000",0,₹0,750,2(1),8(1),8(1),-,-,-,-,7(1),13(1),13(1),-,-
PY-Govt Quota,UEB,Pondicherry,"IGMC & RI, Pondicherry",DERMATOLOGY,"₹1,10,000*","₹43,000",0,₹0,750,-,-,-,-,-,-,-,25(1),25(1),25(1),-,-
PY-Govt Quota,UOB,Pondicherry,"IGMC & RI, Pondicherry",GENERAL MEDICINE,"₹1,10,000*","₹43,000",0,₹0,750,-,-,-,-,-,-,-,9(1),30(1),30(1),-,-
PY-Govt Quota,UGE,Pondicherry,"IGMC & RI, Pondicherry",OBG,"₹1,10,000*","₹43,000",0,₹0,750,1(1),20(1),20(1),-,-,-,-,4(1),31(1),31(1),-,-
PY-Govt Quota,UGE,Pondicherry,"PIMS, Pondicherry",GENERAL MEDICINE,"₹7,95,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,29(1),33(1),33(1),-,-
PY-Govt Quota,UGE,Pondicherry,"PIMS, Pondicherry",RADIO DIAGNOSIS,"₹7,95,000","₹43,000",0,₹0,740,3(1),13(1),13(1),-,-,-,-,2(1),38(1),38(1),-,-
PY-Govt Quota,UGE,Pondicherry,"PIMS, Pondicherry",DERMATOLOGY,"₹7,95,000","₹43,000",0,₹0,740,12(1),81(1),83(1),-,-,-,-,19(1),43(1),43(1),-,-
PY-Govt Quota,UGE,Pondicherry,"IGMC & RI, Pondicherry",GENERAL SURGERY,"₹1,10,000*","₹43,000",0,₹0,750,6(1),52(1),124(1),-,-,-,-,3(1),45(1),45(1),-,-
PY-Govt Quota,UGE,Pondicherry,"PIMS, Pondicherry",PAEDIATRICS,"₹7,95,000","₹43,000",0,₹0,740,9(1),75(1),75(1),-,-,-,-,20(1),40(1),49(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SriVenkateswaraa, Pondicherry",RADIO DIAGNOSIS,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,48(3),91(3),91(3),-,-,-,-,52(2),52(1),52(1),-,-
PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",RADIO DIAGNOSIS,"₹23,90,000*",₹0*,0,₹0,900,11(4),160(4),160(4),-,-,-,-,10(4),61(4),61(4),-,-
