Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Amritsar",RADIO DIAGNOSIS,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,20(2),9(2),8(1),-,-,10(2),6(2),4(1),-,-
PB Priv-DMC Govt,GEN,Punjab,"DMC, Ludhiana",DERMATOLOGY,"₹6,50,000*","₹50,000",0,₹0,1326,40(1),29(1),-,-,-,24(1),18(1),15(1),-,-
PB Priv-CMC Open,GEN,Punjab,"CMC, Ludhiana",RADIO DIAGNOSIS,"₹6,50,000*","₹46,000",0,₹0,775,30(2),33(2),27(1),-,-,22(2),13(2),21(1),-,-
PB Priv-DMC Govt,GEN,Punjab,"DMC, Ludhiana",GENERAL MEDICINE,"₹6,50,000*","₹50,000",0,₹0,1326,56(5),26(1),-,-,-,63(5),42(3),32(2),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Amritsar",GENERAL MEDICINE,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,59(5),34(3),-,-,-,43(5),54(5),33(2),-,-
PB Priv-CMC Open,GEN,Punjab,"CMC, Ludhiana",DERMATOLOGY,"₹6,50,000*","₹46,000",0,₹0,775,-,-,-,-,-,41(1),25(1),36(1),-,-
PB - Govt Quota,GEN,Punjab,"Guru Govind Singh, Faridkot",GENERAL MEDICINE,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,64(3),36(2),-,-,-,54(4),49(4),37(1),-,-
PB - Govt Quota,GEN,Punjab,"Guru Govind Singh, Faridkot",OBG,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,94(2),93(1),-,-,-,150(1),-,52(1),-,-
PB Priv-CMC Open,GEN,Punjab,"CMC, Ludhiana",GENERAL MEDICINE,"₹6,50,000*","₹46,000",0,₹0,775,73(3),41(3),31(2),-,-,79(3),61(3),62(2),-,-
PB - Govt Quota,GEN,Punjab,"Guru Govind Singh, Faridkot",PAEDIATRICS,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,76(1),50(1),-,-,-,82(2),93(2),63(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Amritsar",PAEDIATRICS,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,44(1),38(1),-,-,-,-,-,65(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Patiala",OBG,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,100(2),-,-,-,-,149(5),100(4),70(2),-,-
PB - Govt Quota,SC,Punjab,"Guru Govind Singh, Faridkot",DERMATOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,-,-,-,-,-,199(1),233(1),74(1),-,-
PB Priv-DMC Govt,GEN,Punjab,"DMC, Ludhiana",PAEDIATRICS,"₹6,50,000*","₹50,000",0,₹0,1326,85(1),48(1),68(2),-,-,121(3),79(1),85(1),-,-
PB - Govt Quota,BC,Punjab,"Govt Med Coll, Amritsar",GENERAL MEDICINE,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,97(1),80(1),-,-,-,48(1),81(1),87(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Patiala",PAEDIATRICS,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,84(3),63(3),63(2),-,-,55(2),94(2),90(3),-,-
PB - Govt Quota,EWS,Punjab,"Govt Med Coll, Amritsar",RADIO DIAGNOSIS,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,72(1),-,-,-,-,119(1),60(1),91(1),-,-
PB Priv-CMC Open,GEN,Punjab,"CMC, Ludhiana",PAEDIATRICS,"₹6,50,000*","₹46,000",0,₹0,775,92(3),102(3),85(3),-,-,147(3),108(3),107(3),-,-
PB Priv-DMC Mgmt,GEN,Punjab,"DMC, Ludhiana",OBG,"₹6,50,000*","₹50,000",0,₹0,1326,110(1),-,-,-,-,173(2),122(1),111(2),-,-
PB - Govt Quota,GEN,Punjab,"Guru Govind Singh, Faridkot",PSYCHIATRY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1000,124(2),158(2),-,-,-,156(1),116(1),116(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Patiala",TBRD,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,81(1),106(1),-,-,-,157(1),154(1),119(1),16(1),-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Amritsar",TBRD,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",951,87(1),133(1),145(1),-,-,202(1),171(1),125(1),-,-
PB Priv-DMC Mgmt,SC,Punjab,"DMC, Ludhiana",RADIO DIAGNOSIS,"₹6,50,000*","₹50,000",0,₹0,1326,309(1),-,-,-,-,132(1),106(1),127(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Patiala",OPHTHALMOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,176(2),201(2),171(1),-,-,188(2),160(2),133(1),-,-
