Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
RAJ Govt - Govt Quota,GEN,Rajasthan,"SNMC, Jodhpur",RADIO DIAGNOSIS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,-,-,-,-,-,-,1(1),1(1),1(1),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,7(1),7(1),7(1),-,-,-,11(2),6(1),6(1),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SMS, Jaipur",DERMATOLOGY,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,-,-,-,-,-,-,9(1),9(1),9(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SNMC, Jodhpur",RADIO DIAGNOSIS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,14(1),14(1),14(1),-,-,-,10(1),10(1),10(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,12(8),12(8),12(8),-,-,-,12(4),12(4),12(4),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"RNT, Udaipur",RADIO DIAGNOSIS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,-,-,-,-,-,-,16(2),16(2),16(2),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"Govt Med Coll, Kota",RADIO DIAGNOSIS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,30(3),30(3),30(3),-,-,-,18(1),18(1),18(1),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"Govt Med Coll, Kota",DERMATOLOGY,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,50(1),50(1),50(1),-,-,-,36(2),19(1),19(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"Govt Med Coll, Kota",RADIO DIAGNOSIS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,-,-,-,-,-,-,21(1),21(1),21(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"JLNMC, Ajmer",RADIO DIAGNOSIS,"₹10,982*","₹82,800*",2*,"₹25,00,000*",1428,-,-,-,-,-,-,27(2),27(2),27(2),-,-
