Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5
TN Govt Quota,MBC Open,Tamil Nadu,"Madurai Med Coll, Madurai",DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,270(1),272(1),272(1),-,-,2(1),2(1),2(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,11(2),11(2),11(2),-,-,5(2),5(2),5(2),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,27(1),27(1),27(1),-,-,6(1),6(1),6(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,Coimbatore Med Coll,RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1182,64(1),64(1),64(1),-,-,17(1),17(1),17(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,14(1),14(1),14(1),-,-,18(1),18(1),18(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"CMC, Vellore",RADIO DIAGNOSIS,"₹65,470*","₹51,000",2,"₹40,00,000",2879,52(1),56(1),56(1),-,-,29(1),29(1),29(1),-,-,-
TN Govt Quota,OC Serv,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,31(1),31(1),31(1),-,-,34(1),34(1),34(1),-,-,-
TN Govt Quota,BC Serv,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,34(1),34(1),34(1),-,-,38(1),38(1),38(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,41(1),52(1),52(1),-,-,11(1),23(1),39(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"KAPV Med Coll, Trichy",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2500,32(1),32(1),32(1),-,-,83(1),85(1),40(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"CMC, Vellore",GENERAL MEDICINE,"₹65,470*","₹51,000",2,"₹40,00,000",2879,44(1),190(1),190(1),-,-,43(1),43(1),43(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,78(3),78(3),80(3),-,-,49(3),52(3),52(3),-,-,-
