Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5
TN CMC-General Merit,CMC-General Merit,Tamil Nadu,"CMC, Vellore",GENERAL MEDICINE,"₹65,470*","₹51,000",1,"₹40,00,000",2879,1(1),3(1),3(1),-,-,1(1),1(1),1(1),-,-,-
TN CMC-General Merit,CMC-General Merit,Tamil Nadu,"CMC, Vellore",RADIO DIAGNOSIS,"₹65,470*","₹51,000",1,"₹40,00,000",2879,-,17(1),17(1),-,-,7(1),7(1),7(1),-,-,-
TN CMC-General Merit,CMC-General Merit,Tamil Nadu,"CMC, Vellore",OBG,"₹65,470*","₹51,000",1,"₹40,00,000",2879,85(1),91(1),91(1),-,-,56(1),56(1),56(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",GENERAL MEDICINE,"₹65,470*","₹51,000",2,"₹40,00,000",2879,2(1),44(1),44(1),-,-,31(1),60(1),60(1),-,-,-
TN CMC-General Merit,CMC-General Merit,Tamil Nadu,"CMC, Vellore",PAEDIATRICS,"₹65,470*","₹51,000",1,"₹40,00,000",2879,9(1),28(1),28(1),-,-,30(1),69(1),69(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",PAEDIATRICS,"₹65,470*","₹51,000",2,"₹40,00,000",2879,28(1),133(1),133(1),-,-,91(1),91(1),91(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",OBG,"₹65,470*","₹51,000",2,"₹40,00,000",2879,538(1),790(1),790(1),-,-,140(1),217(1),217(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",RADIO DIAGNOSIS,"₹65,470*","₹51,000",2,"₹40,00,000",2879,270(2),270(2),270(2),-,-,216(2),262(2),262(2),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",GENERAL SURGERY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,26(1),26(1),26(1),-,-,268(1),268(1),268(1),-,-,-
TN CMC-General Merit,CMC-General Merit,Tamil Nadu,"CMC, Vellore",ANAESTHESIOLOGY,"₹65,470*","₹51,000",1,"₹40,00,000",2879,23(1),64(1),64(1),-,-,129(1),271(1),271(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",OBG,"₹15,50,000*","₹25,000*",0,₹0,1130,128(1),184(1),184(1),-,-,220(1),179(1),285(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",DERMATOLOGY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,-,-,-,-,-,122(1),316(1),316(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"PSG IMS, Coimbatore",RADIO DIAGNOSIS,"₹26,00,000*","₹25,000*",0,₹0,1130,466(2),466(2),466(2),-,-,320(2),320(2),320(2),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",ORTHOPAEDICS,"₹65,470*","₹51,000",2,"₹40,00,000",2879,261(1),261(1),261(1),-,-,321(1),321(1),321(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",NEUROSURGERY 6 YRS,"₹42,416*","₹51,000*",6,"₹40,00,000",2879,523(1),523(1),523(1),-,-,326(2),326(2),326(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",GENERAL MEDICINE,"₹15,50,000*","₹25,000*",0,₹0,1130,29(1),84(1),84(1),-,-,78(1),101(1),423(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Sankara Netralaya, Chennai",OPHTHALMOLOGY,"₹15,50,000*","₹48,000*",0,₹0,244,246(2),246(2),246(2),-,-,367(2),427(2),427(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",RADIO DIAGNOSIS,"₹15,50,000*","₹35,000*",0,₹0,800,-,-,-,-,-,-,-,441(1),-,-,-
TN CMC-Inst Preference,CMC-Institutional Preference,Tamil Nadu,"CMC, Vellore",RADIO DIAGNOSIS,"₹65,470*","₹51,000",3,"₹40,00,000",2879,990(1),990(1),990(1),-,-,463(1),463(1),463(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"PSG IMS, Coimbatore",GENERAL MEDICINE,"₹26,00,000*","₹25,000*",0,₹0,1130,568(2),582(2),582(2),-,-,471(2),471(2),471(2),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Velammal Med Col, Madurai",RADIO DIAGNOSIS,"₹26,00,000*","₹37,000*",0,₹0,1024,735(2),758(2),758(2),-,-,352(1),486(1),486(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",RADIO DIAGNOSIS,"₹15,50,000*","₹10,000*",0,₹0,550,-,-,-,-,-,101(1),496(1),496(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,Melmaruvathur Adiparasakthi,RADIO DIAGNOSIS,"₹26,00,000*","₹35,000*",0,₹0,700,794(1),794(1),794(1),-,-,584(1),584(1),584(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",PAEDIATRICS,"₹15,50,000*","₹25,000*",0,₹0,1130,79(1),122(1),237(1),459(1),-,194(1),194(1),597(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",GENERAL MEDICINE,"₹65,470*","₹51,000",3,"₹40,00,000",2879,287(5),365(5),365(5),-,-,263(5),298(5),599(5),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",GENERAL SURGERY,"₹15,50,000*","₹25,000*",0,₹0,1130,171(1),310(1),310(1),-,-,385(1),342(1),600(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Tagore Med Coll, Chennai",RADIO DIAGNOSIS,"₹26,00,000*","₹35,000*",0,₹0,818,1114(1),1114(1),1114(1),-,-,675(1),675(1),675(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",PSYCHIATRY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,1095(1),1095(1),1095(1),-,-,379(1),685(1),685(1),-,-,-
TN NRI Quota,NRI,Tamil Nadu,"Velammal Med Col, Madurai",GENERAL MEDICINE,"₹26,00,000*","₹37,000*",0,₹0,1024,582(1),1309(1),1309(1),-,-,526(1),602(1),706(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",OPHTHALMOLOGY,"₹15,50,000*","₹25,000*",0,₹0,1130,347(1),593(1),593(1),-,-,686(1),725(1),725(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Madha Medical College, Chennai",DERMATOLOGY,"₹15,50,000*",Info not available,0,₹0,-,-,-,-,-,-,337(1),637(1),758(1),-,-,-
