Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7
Tel Govt-NS LOC,OPEN-FEM,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,5(1),5(1),5(1),5(1),5(1),5(1),4(1),4(1),4(1),4(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",4800,45(1),45(1),45(1),45(1),45(1),45(1),5(1),5(1),5(1),5(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,11(1),11(1),11(1),11(1),11(1),11(1),6(1),6(1),6(1),6(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,26(1),26(1),26(1),26(1),26(1),26(1),8(1),8(1),8(1),8(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,30(2),34(2),34(2),34(2),34(2),34(2),11(2),11(2),11(2),11(2),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1200,38(1),38(1),38(1),38(1),38(1),38(1),13(1),13(1),13(1),13(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,14(1),14(1),14(1),14(1),14(1),14(1),25(1),25(1),25(1),25(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",4800,52(2),52(2),76(2),76(2),76(2),76(2),29(3),29(3),29(3),29(3),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Gandhi Med Coll, Secunderabad",RADIO DIAGNOSIS,"₹25,000*","₹58,289",1,"₹20,00,000",1200,44(1),44(1),44(1),44(1),44(1),44(1),32(1),33(1),33(1),33(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,-,-,-,-,-,-,34(1),34(1),34(1),34(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1200,41(2),41(2),41(2),41(2),41(2),41(2),35(3),35(3),35(3),35(3),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Kakatiya Med Coll, Warangal",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1150,64(1),181(1),181(1),181(1),181(1),181(1),37(1),37(1),37(1),37(1),-,-,-
Tel Govt-NS LOC,BCD-FEM,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,-,-,-,-,41(1),41(1),41(1),41(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,42(1),42(1),42(1),42(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,"₹25,000*","₹58,289",1,"₹20,00,000",4800,29(1),29(1),29(1),29(1),29(1),29(1),27(2),44(2),44(2),44(2),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL SURGERY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,108(1),108(1),108(1),108(1),108(1),108(1),47(1),47(1),47(1),47(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,"₹25,000*","₹58,289",1,"₹20,00,000",4800,35(1),35(1),35(1),35(1),35(1),35(1),7(1),7(1),49(1),49(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"ESIC Med Coll,Sanath Nagar",RADIO DIAGNOSIS,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,-,-,-,-,-,-,33(1),49(1),51(1),51(1),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,-,-,-,-,-,-,18(1),18(1),52(1),52(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"ESIC Med Coll,Sanath Nagar",GENERAL MEDICINE,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,-,-,-,-,-,-,43(1),53(1),53(1),53(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Osmania Med Coll, Hyderabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,-,-,-,-,57(1),57(1),57(1),57(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Kakatiya Med Coll, Warangal",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1150,76(1),175(2),177(2),177(2),177(2),177(2),52(1),58(1),58(1),58(1),-,-,-
Tel Govt-NS LOC,BCE-GEN,Telangana,"ESIC Med Coll,Sanath Nagar",GENERAL MEDICINE,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,-,-,-,-,-,-,59(1),59(1),59(1),59(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Kakatiya Med Coll, Warangal",RADIO DIAGNOSIS,"₹25,000*","₹58,289",1,"₹20,00,000",1150,117(1),199(1),199(1),199(1),199(1),199(1),-,63(2),63(2),63(2),-,-,-
Tel Govt-NS LOC,BCD-FEM,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,63(1),74(1),74(1),74(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Osmania Med Coll, Hyderabad",DERMATOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,196(1),196(1),465(1),465(1),465(1),465(1),19(1),19(1),82(1),82(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Osmania Med Coll, Hyderabad",DERMATOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,86(1),86(1),86(1),86(1),86(1),86(1),49(2),46(2),93(2),93(2),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Gandhi Med Coll, Secunderabad",DERMATOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,123(1),123(1),123(1),123(1),123(1),123(1),51(1),51(1),94(1),94(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Kakatiya Med Coll, Warangal",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1150,121(1),121(1),121(1),121(1),121(1),121(1),74(1),98(2),98(2),98(2),-,-,-
