Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"SVS Med Coll, Mehboobnagar",DERMATOLOGY,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",760,54(1),55(1),55(1),55(1),55(1),55(1),142(1),129(1),10(1),-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,2(1),11(1),12(1),12(1),12(1),12(1),10(1),12(1),23(1),-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",650,17(2),45(2),56(2),56(2),56(2),56(2),24(2),24(2),50(2),-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,35(2),41(2),57(2),57(2),57(2),57(2),26(2),58(2),58(2),-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata AcadofMedSci,Bachupally",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,71(2),71(2),73(2),-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"SVS Med Coll, Mehboobnagar",RADIO DIAGNOSIS,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",760,24(2),24(2),24(2),24(2),24(2),24(2),27(1),41(1),78(1),-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata AcadofMedSci,Bachupally",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,89(4),89(4),93(4),-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"RVM IMSRC, Siddipet",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1110,136(1),146(1),146(1),146(1),146(1),146(1),121(1),147(1),94(1),-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",DERMATOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,-,29(1),10(1),104(1),-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Prathima IMS, Karimnagar",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,37(2),62(2),72(2),72(2),72(2),72(2),60(2),119(2),131(2),-,-,-
