Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Tripura Govt Quota,UR,Tripura,"Agartala Med Coll, Agartala",FORENSIC MEDICINE,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,-,-,-,41(1),-,-,74(1),-,-
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",ORTHOPAEDICS,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,52(1),-,-,-,58(1),60(1),75(1),-,-
Tripura Govt Quota,UR,Tripura,"Tripura Med Coll, Agartala",PATHOLOGY,"₹15,00,000*","₹55,200",3*,"₹50,00,000*",490,-,-,-,-,115(1),-,76(1),-,-
Tripura Govt Quota,UR,Tripura,"Agartala Med Coll, Agartala",BIOCHEMISTRY,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,50(1),43(1),-,49(1),99(1),-,79(1),55(1),-
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",ANAESTHESIOLOGY,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,56(1),33(1),42(1),-,98(1),84(1),81(1),-,-
Tripura DNB Serv,UR,Tripura,"IGM Hospital, Agartala",DGO(NBEMS),"₹1,25,000","₹42,000*",Info Not Available,Info not available,Info Not Available,46(1),-,38(2),-,76(1),-,82(1),-,-
Tripura Govt Quota,UR,Tripura,"Agartala Med Coll, Agartala",SPM,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,23(1),32(1),-,40(1),63(1),-,83(2),54(2),4(1)
Tripura DNB Serv,UR,Tripura,"IGM Hospital, Agartala",DFAM(NBEMS),"₹1,25,000","₹42,000*",Info Not Available,Info not available,Info Not Available,-,-,48(2),-,-,-,84(1),-,-
Tripura DNB Serv,UR,Tripura,"IGM Hospital, Agartala",DO(NBEMS),"₹1,25,000","₹42,000*",Info Not Available,Info not available,Info Not Available,-,-,39(1),-,-,-,85(1),-,-
Tripura DNB Serv,ST,Tripura,"IGM Hospital, Agartala",DO(NBEMS),"₹1,25,000","₹42,000*",Info Not Available,Info not available,Info Not Available,-,-,-,-,-,-,95(1),-,-
