Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
UP-Govt Quota,UR,Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,"₹61,600*","₹1,11,780",2*,"₹40,00,000*",1609,1(1),1(1),-,1(1),-,2(1),8(1),1(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"TejBahadurSapru Hosp,Allahabad",DNBGENERAL MEDICINE,"₹1,25,000","₹70,000*",0*,₹0*,171,-,-,-,-,-,-,-,3(1),57(1),-
UP-DNB InS,UR Service,Uttar Pradesh,"ShyamaPrasad (Civil), Lucknow",DNBGENERAL MEDICINE,"₹1,25,000","₹70,000*",0*,₹0*,401,-,-,-,-,-,-,-,9(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Divisional Dist Hosp, Azamgarh",DNBGENERAL SURGERY,"₹1,25,000","₹70,000",0*,₹0*,312,-,-,-,-,-,11(1),11(1),11(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"District Comb Hosp,Sec 39,Noida",DNBGENERAL MEDICINE,"₹1,25,000","₹70,000*",0*,₹0*,240,-,-,-,-,-,2(1),14(1),14(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Govt IMS, Greater Noida",DNBOBG,"₹1,25,000","₹80,000*",0*,₹0*,300,24(1),25(1),-,-,-,-,-,15(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"ShyamaPrasad (Civil), Lucknow",DNBPAEDIATRICS,"₹1,25,000","₹70,000",0*,₹0*,401,-,-,-,-,-,15(1),15(1),16(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"LokBandhuRajNarayanHosp,Lucknow",DNBGENERAL MEDICINE,"₹1,25,000","₹70,000",0*,₹0*,318,-,-,-,-,-,1(1),2(1),17(1),42(1),-
UP-Govt Quota,UR,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIO DIAGNOSIS,"₹37,500*","₹1,08,672",2*,"₹40,00,000*",Info Not Available,13(2),13(2),-,-,-,1(1),1(1),19(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Rana Beni MS DistHosp,Raebareli",DNBGENERAL MEDICINE,"₹1,25,000","₹70,000*",0*,₹0*,-,-,-,-,-,-,8(1),16(1),19(1),46(1),-
UP-DNB InS,UR Service,Uttar Pradesh,"UP Rural Inst of Med Sci,Etawah",DNBGENERAL MEDICINE,"₹1,25,000","₹80,000*",0*,₹0*,1078,-,-,-,-,-,-,-,20(1),49(1),-
UP-DNB InS,UR Service,Uttar Pradesh,"Divisional Dist Hosp, Azamgarh",DNBGENERAL MEDICINE,"₹1,25,000","₹70,000",0*,₹0*,312,-,-,-,-,-,9(1),9(1),21(1),94(1),-
UP-Govt Quota,UR,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,"₹54,700*","₹1,09,955",2*,"₹40,00,000*",4500,8(2),8(2),-,-,-,9(2),16(2),23(2),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"NSC Bose Dist Hosp, Gorakhpur",DNBTBRD,"₹1,25,000","₹70,000",0*,₹0*,305,-,-,-,-,-,20(1),23(1),24(1),-,-
UP-Govt Quota,BC,Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,"₹61,600*","₹1,11,780",2*,"₹40,00,000*",1609,-,-,-,-,-,3(1),24(1),24(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"TejBahadurSapru Hosp,Allahabad",DNBORTHOPAEDICS,"₹1,25,000","₹70,000*",0*,₹0*,171,-,-,-,-,-,-,-,27(1),111(1),-
UP-DNB InS,UR Service,Uttar Pradesh,"VeeranganaAwantiBaiWom,Lucknow",DNBOBG,"₹1,25,000","₹70,000",0*,₹0*,326,-,-,-,-,-,27(1),27(1),29(1),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"NSC Bose Dist Hosp, Gorakhpur",DNBGENERAL MEDICINE,"₹1,25,000","₹70,000",0*,₹0*,305,-,-,-,-,-,10(1),20(1),30(1),-,-
UP-Govt Quota,UR,Uttar Pradesh,"MLN Med Coll, Allahabad",RADIO DIAGNOSIS,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",Info Not Available,22(1),21(1),6(1),-,-,10(1),23(1),31(1),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"UP Rural Inst of Med Sci,Etawah",DNBGENERAL MEDICINE,"₹1,25,000","₹80,000*",0*,₹0*,1078,-,-,-,-,-,30(1),30(1),32(1),-,-
UP-Govt Quota,UR,Uttar Pradesh,"S N Med Coll, Agra",RADIO DIAGNOSIS,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",976,-,-,-,-,-,12(1),31(1),33(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"AutonomousStateMC,Rampur",DMRD(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,Info Not Available,-,-,-,-,-,-,-,33(1),101(1),-
UP-DNB InS,BC Service,Uttar Pradesh,"Dist Male Hosp,SaiKaTakia,Agra",DNBGENERAL MEDICINE,"₹1,25,000","₹70,000",0*,₹0*,150,-,-,-,-,-,16(1),18(1),34(1),-,-
