Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
UK-Govt Quota,UR-WOMEN,Uttarakhand,"Doon Med Coll, Dehradun",GENERAL MEDICINE,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,8(1),-,-,-,-,1(1),-,1(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",RADIO DIAGNOSIS,"₹30,00,000*","₹40,000",1,"₹2,50,00,000",1200,85(3),89(3),4(1),-,-,48(3),90(2),5(1),-,-
UK-Govt Quota,UR-WOMEN,Uttarakhand,"Doon Med Coll, Dehradun",OPHTHALMOLOGY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,-,-,-,-,-,13(1),-,14(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",GENERAL MEDICINE,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,-,-,-,-,-,-,-,33(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Govt Med Coll, Haldwani",GENERAL MEDICINE,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,2(2),-,-,-,-,7(2),6(1),55(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",PAEDIATRICS,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,-,-,-,-,-,24(1),24(1),60(2),223(1),-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",GENERAL SURGERY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,21(1),20(1),6(1),-,-,65(1),67(1),69(1),-,-
UK-Govt Quota,OBC-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",PAEDIATRICS,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,-,-,-,-,-,91(1),91(1),93(1),-,-
UK-Govt Quota,OBC-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",OBG,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,-,-,-,-,-,113(1),-,117(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",DERMATOLOGY,"₹28,50,000*","₹59,065",1,"₹10,00,000",750,119(2),83(1),-,-,-,162(2),209(1),134(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Govt Med Coll, Haldwani",GENERAL SURGERY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,-,13(1),16(2),2(1),-,53(2),65(2),139(2),-,-
UK-Govt Quota,OBC-WOMEN,Uttarakhand,"Govt Med Coll, Haldwani",GENERAL MEDICINE,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,-,-,-,-,-,12(1),148(1),153(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Govt Med Coll, Haldwani",TBRD,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,13(1),6(1),-,-,-,36(1),-,173(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Govt Med Coll, Haldwani",OPHTHALMOLOGY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,-,-,-,-,-,93(1),177(1),183(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",OPHTHALMOLOGY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,-,-,-,-,-,74(1),93(1),193(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",ANAESTHESIOLOGY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,-,-,55(1),-,-,140(1),187(1),194(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",RADIO DIAGNOSIS,"₹32,00,000*","₹59,065",1,"₹10,00,000",750,124(3),98(2),22(2),-,-,107(6),200(4),207(4),-,-
UK-Govt Quota,SC-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",PAEDIATRICS,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,-,-,-,-,-,224(1),224(1),231(1),-,-
UK-Govt Quota,UR-WOMEN,Uttarakhand,"Govt Med Coll, Haldwani",PAEDIATRICS,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,-,-,-,-,-,14(1),14(1),251(1),121(1),-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"HIMS, Dehradun",DERMATOLOGY,"₹26,00,000*","₹40,000",1,"₹2,50,00,000",1200,-,-,13(1),-,-,246(1),246(1),254(1),-,-
UK Priv-Govt Quota,UR-WOMEN,Uttarakhand,"HIMS, Dehradun",PAEDIATRICS,"₹26,00,000*","₹40,000",1,"₹2,50,00,000",1200,210(1),191(1),110(1),-,-,247(1),-,255(1),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",OBG,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,23(2),25(1),-,-,-,58(2),58(1),263(2),-,-
UK-Govt Quota,OBC-OPEN,Uttarakhand,"Govt Med Coll, Haldwani",OBG,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,22(1),-,-,-,-,104(1),104(1),275(1),-,-
