Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
WB Govt Quota,UR Open,West Bengal,"IPGMER, Kolkata",RADIO DIAGNOSIS,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,5(1),12(1),12(1),12(1),-,-,4(2),4(2),4(2),-,-
WB Govt Quota,UR Open,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,3(2),3(2),7(2),7(2),-,-,11(2),11(2),11(2),-,-
WB Govt Quota,UR Open,West Bengal,"Medical College, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,13(3),12(3),23(3),23(3),-,-,18(3),23(3),19(3),-,-
WB Govt Quota,UR Open,West Bengal,"Nilratan Sircar, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",1920,15(1),13(1),27(1),27(1),-,-,23(1),32(1),25(1),-,-
WB Govt Quota,OBC A Open,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,-,-,-,-,-,-,42(1),42(1),31(1),-,-
WB Govt Quota,UR Open,West Bengal,"ESI, Joka, Kolkata",GENERAL MEDICINE,"₹2,50,000*","₹1,00,980*",2*,"₹10,00,000*",470,17(1),40(1),36(1),36(1),-,-,37(1),48(1),48(1),-,-
WB Govt Quota,UR Open,West Bengal,"IPGMER, Kolkata",PSYCHIATRY,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,223(2),273(2),285(2),246(2),-,-,68(1),68(1),51(1),-,-
WB Govt Quota,UR Open,West Bengal,Calcutta National Med Coll,GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,41(3),34(3),52(3),52(3),-,-,27(1),43(1),52(1),-,-
WB Govt Quota,UR Open,West Bengal,"VIMS, Kolkata",GENERAL MEDICINE,"₹18,000*","₹49,884*",0,₹0,Info Not Available,47(1),42(1),63(1),63(1),-,-,52(1),67(1),55(1),-,-
WB Govt Quota,UR Open,West Bengal,"Medical College, Kolkata",DERMATOLOGY,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,-,-,-,-,-,-,21(1),70(1),57(1),-,-
WB Govt Quota,UR Open,West Bengal,"RG Kar Med Coll, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,22(2),18(2),37(2),37(2),-,-,29(1),25(1),59(2),-,-
WB Govt Quota,UR Open,West Bengal,"Command Hospital, Kolkata",GENERAL MEDICINE,"₹12,000*","₹50,000",3*,"₹30,00,000*",760,64(1),71(1),82(1),3(1),-,-,71(1),75(1),61(1),-,-
WB Govt Quota,EWS Open,West Bengal,"Medical College, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,-,-,-,-,-,-,94(1),88(1),73(1),-,-
WB Govt Quota,UR Open,West Bengal,Calcutta National Med Coll,DERMATOLOGY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,36(1),63(1),146(1),146(1),-,-,48(1),97(1),80(1),-,-
WB Govt Quota,UR Open,West Bengal,Burdwan Medical College,GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,19(1),37(1),56(1),56(1),-,-,53(2),63(2),84(2),-,-
WB Govt Quota,UR Open,West Bengal,"Nilratan Sircar, Kolkata",RADIO DIAGNOSIS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1920,31(1),24(1),17(1),17(1),-,-,13(2),29(2),90(2),-,-
WB Govt Quota,OBC A Open,West Bengal,"Medical College, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,18(1),14(1),10(1),10(1),-,-,129(1),129(1),97(1),-,-
WB Govt Quota,UR Open,West Bengal,"IPGMER, Kolkata",DERMATOLOGY,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,29(1),16(1),22(1),22(1),-,-,28(1),24(1),99(1),-,-
WB Govt Quota,OBC B Open,West Bengal,"IPGMER, Kolkata",RADIO DIAGNOSIS,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,9(1),9(1),9(1),9(1),-,-,20(1),17(1),109(1),-,-
WB Govt Quota,UR Open,West Bengal,"RG Kar Med Coll, Kolkata",DERMATOLOGY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,65(1),57(1),119(1),119(1),-,-,47(1),84(1),111(1),-,-
WB Govt Quota,UR Open,West Bengal,"NBMC, Darjeeling",RADIO DIAGNOSIS,"₹12,000*","₹49,884",3*,"₹30,00,000*",843,16(1),45(1),59(1),59(1),-,-,30(1),49(1),117(1),-,-
