Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
1,AIQ,GEN,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,350(3),564(3),564(3),-,-,19(1),19(1),19(1),-,-
1,AIQ,GEN,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,5,"₹41,000*","₹1,20,965*",0*,₹0*,1550,13(4),13(4),13(4),-,-,25(5),25(5),25(5),-,-
1,AIQ,GEN,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,3,"₹57,600*","₹1,26,927*",0*,₹0*,2800,41(4),41(4),41(4),-,-,31(3),31(3),31(3),-,-
2,AIQ,GEN,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,0+2(VV),"₹57,600*","₹1,26,927*",0*,₹0*,2800,41(4),41(4),41(4),-,-,31(3),31(3),31(3),-,-
3,AIQ,GEN,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,0+2(VV),"₹57,600*","₹1,26,927*",0*,₹0*,2800,41(4),41(4),41(4),-,-,31(3),31(3),31(3),-,-
1,AIQ,GEN,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,2,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,35(2),35(2),35(2),-,-,34(2),34(2),34(2),-,-
1,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,2,"₹41,000*","₹1,20,965*",0*,₹0*,1626,67(4),75(4),75(4),-,-,46(2),46(2),46(2),-,-
2,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,0+2(VV),"₹41,000*","₹1,20,965*",0*,₹0*,1626,67(4),75(4),75(4),-,-,46(2),46(2),46(2),-,-
3,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,0+2(VV),"₹41,000*","₹1,20,965*",0*,₹0*,1626,67(4),75(4),75(4),-,-,46(2),46(2),46(2),-,-
1,AIQ,OBC,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,2,"₹41,000*","₹1,20,965*",0*,₹0*,1550,116(3),116(3),116(3),-,-,48(2),48(2),48(2),-,-
1,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,9,"₹41,000*","₹1,20,965*",0*,₹0*,1626,56(8),56(8),56(8),-,-,38(9),49(9),49(9),-,-
2,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,3+2(VV),"₹41,000*","₹1,20,965*",0*,₹0*,1626,56(8),56(8),56(8),-,-,38(9),49(9),49(9),-,-
3,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,0+4(VV),"₹41,000*","₹1,20,965*",0*,₹0*,1626,56(8),56(8),56(8),-,-,38(9),49(9),49(9),-,-
1,AIQ,GEN,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,1,"₹57,600*","₹1,26,927*",0*,₹0*,877,75(1),84(1),84(1),-,-,53(1),53(1),53(1),-,-
