Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
1,1,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,2,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,3,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,4,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,5,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,6,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,7,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,8,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,9,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,10,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,11,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,12,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,13,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,14,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,15,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,16,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,17,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,18,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,19,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,20,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,21,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,22,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,23,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,24,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,25,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,26,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,27,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,28,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,29,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,30,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,31,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,32,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,33,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,34,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,35,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,36,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,37,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,38,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,39,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,40,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,41,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,42,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,43,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,44,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,45,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,46,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,47,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,48,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,Open,1350,3194,0,0,30700
1,49,Delhi,"VMMC, Delhi",MBBS,AI,Open,41000,1550,1,1500000,26300
1,50,Pondicherry,"JIPMER, Puducherry",MBBS,JPMR SO,Open,1200,2059,0,0,26300
1,51,Delhi,"VMMC, Delhi",MBBS,AI,Open,41000,1550,1,1500000,26300
1,52,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,OBC,1350,3194,0,0,30700
1,53,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,SC,1350,3194,0,0,30700
1,54,Delhi,"MAMC, Delhi",MBBS,AI,Open,2095,2800,1,1500000,23000
1,55,Rajasthan,"AIIMS, Jodhpur",MBBS,AIIMS SO,Open,1350,960,0,0,30700
1,56,Pondicherry,"JIPMER, Puducherry",MBBS,JPMR SO,Open,1200,2059,0,0,26300
1,57,Delhi,"MAMC, Delhi",MBBS,AI,Open,2095,2800,1,1500000,23000
1,58,Delhi,"VMMC, Delhi",MBBS,AI,Open,41000,1550,1,1500000,26300
1,59,Pondicherry,"JIPMER, Puducherry",MBBS,JPMR SO,Open,1200,2059,0,0,26300
1,60,Odisha,"AIIMS, Bhubaneswar",MBBS,AIIMS SO,Open,1350,1165,0,0,30700
1,61,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,OBC,1350,3194,0,0,30700
1,62,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,OBC,1350,3194,0,0,30700
1,63,Pondicherry,"JIPMER, Puducherry",MBBS,JPMR SO,Open,1200,2059,0,0,26300
1,64,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,OBC,1350,3194,0,0,30700
1,65,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,OBC,1350,3194,0,0,30700
1,66,Delhi,"VMMC, Delhi",MBBS,AI,Open,41000,1550,1,1500000,26300
1,67,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,EWS,1350,3194,0,0,30700
1,68,Delhi,"MAMC, Delhi",MBBS,AI,Open,2095,2800,1,1500000,23000
1,69,Delhi,"MAMC, Delhi",MBBS,AI,Open,2095,2800,1,1500000,23000
1,70,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,OBC,1350,3194,0,0,30700
1,71,Gujarat,"Govt Med Coll, Surat",MBBS,AI,Open,25000,1150,1,2000000,21840
1,72,Pondicherry,"JIPMER, Puducherry",MBBS,JPMR SO,Open,1200,2059,0,0,26300
1,73,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,OBC,1350,3194,0,0,30700
1,74,Delhi,"MAMC, Delhi",MBBS,AI,Open,2095,2800,1,1500000,23000
1,75,Delhi,"MAMC, Delhi",MBBS,AI,Open,2095,2800,1,1500000,23000
1,76,Delhi,"MAMC, Delhi",MBBS,DU,Open,2095,2800,1,1500000,23000
1,77,Delhi,"MAMC, Delhi",MBBS,AI,Open,2095,2800,1,1500000,23000
1,78,Pondicherry,"JIPMER, Puducherry",MBBS,JPMR SO,Open,1200,2059,0,0,26300
1,79,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,EWS,1350,3194,0,0,30700
1,80,Pondicherry,"JIPMER, Puducherry",MBBS,JPMR SO,Open,1200,2059,0,0,26300
1,81,Delhi,"VMMC, Delhi",MBBS,AI,Open,41000,1550,1,1500000,26300
1,82,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,OBC,1350,3194,0,0,30700
1,83,Delhi,"MAMC, Delhi",MBBS,AI,Open,2095,2800,1,1500000,23000
1,84,Pondicherry,"JIPMER, Puducherry",MBBS,JPMR SO,Open,1200,2059,0,0,26300
1,85,Delhi,"VMMC, Delhi",MBBS,AI,Open,41000,1550,1,1500000,26300
1,86,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,OBC,1350,3194,0,0,30700
1,87,Rajasthan,"AIIMS, Jodhpur",MBBS,AIIMS SO,Open,1350,960,0,0,30700
1,88,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,OBC,1350,3194,0,0,30700
1,89,Delhi,"MAMC, Delhi",MBBS,AI,Open,2095,2800,1,1500000,23000
1,90,Delhi,"MAMC, Delhi",MBBS,AI,Open,2095,2800,1,1500000,23000
1,91,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,OBC,1350,3194,0,0,30700
1,92,Delhi,"AIIMS, Delhi",MBBS,AIIMS SO,OBC,1350,3194,0,0,30700
