Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
1,1,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
1,2,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"11,647","82,800",2,"25,00,000",5702
1,3,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,4,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
1,5,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
1,6,Delhi,"VMMC, Delhi",OBG,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,7,Tamil Nadu,"Madras Med Coll, Chennai",GENERAL MEDICINE,AIQ,GEN,"50,000","52,451",2,"40,00,000",7285
1,8,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"57,600","1,26,927",0,0,2800
1,9,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
1,10,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,11,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
1,12,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,13,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
1,14,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
1,15,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"30,000",100800,1,"40,00,000",1557
1,16,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
1,17,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,143300,92522,1,5000000,2250
1,18,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,19,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,AIQ,GEN,"69,470",57876,1,"50,00,000",3025
1,20,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
1,21,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,GEN,"50,000","52,451",2,"40,00,000",7285
1,22,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,AIQ,GEN,"72,000",111780,1,2000000,1498
1,23,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626
1,24,Delhi,"MAMC, Delhi",OBG,AIQ,GEN,"57,600","1,26,927",0,0,2800
1,25,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,26,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,AIQ,GEN,"34,500","1,07,000",0,0,967
1,27,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"57,600","1,26,927",0,0,2800
1,28,Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,2800
1,29,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",GENERAL MEDICINE,AIQ,GEN,"11,000",82000,0,0,Info Not Available
1,31,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"57,600","1,26,927",0,0,2800
1,32,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,GEN,124150,56250,3,"50,00,000",1993
1,33,Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,2800
