Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
3,2,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,GEN,"11,647","82,800",2,"25,00,000",5702,
3,3,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550,
3,4,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"30,000",100800,1,"40,00,000",1557,
3,6,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626,
3,8,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"57,600","1,26,927",0,0,2800,
3,9,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626,
3,10,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550,
3,11,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626,
3,12,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550,
3,13,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"30,000",100800,1,"40,00,000",1557,
3,14,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626,
3,15,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,GEN,"30,000",100800,1,"40,00,000",1557,
3,16,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626,
3,17,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,"1,43,300",92522,1,5000000,2250,
3,18,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550,
3,19,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,AIQ,GEN,"69,470",57876,1,"50,00,000",3025,
3,21,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,GEN,"50,000","52,451",2,"40,00,000",7285,
3,22,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,AIQ,GEN,"72,000",111780,1,2000000,1498,
3,23,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1626,
3,25,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"41,000","1,20,965",0,0,1550,
