State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",ANAESTHESIOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",PAEDIATRICS,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",ORTHOPAEDICS,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",IHBT,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",OBG,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",DERMATOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",FORENSIC MEDICINE,AIQ,"30,000","1,00,800",0,0,1557,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,"Datta Meghe Med Coll, Nagpur",OBG,MNG,"43,75,000","66,629",1,"5,00,000",925,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,"Datta Meghe Med Coll, Nagpur",GENERAL MEDICINE,NRI,"66,22,000","66,629",1,"5,00,000",925,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,"Datta Meghe Med Coll, Nagpur",DERMATOLOGY,NRI,"75,15,000","66,629",1,"5,00,000",925,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,"Datta Meghe Med Coll, Nagpur",RADIO DIAGNOSIS,NRI,"75,15,000","66,629",1,"5,00,000",925,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,"Datta Meghe Med Coll, Nagpur",OBG,NRI,"55,36,000","66,629",1,"5,00,000",925,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",TBRD,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",MICROBIOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",ENT,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",PHYSIOLOGY,AIQ,"30,000","1,00,800",0,0,1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",GENERAL SURGERY,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",SPM,AIQ,"30,000","1,00,800",0,0,1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",RADIATION ONCOLOGY,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,"BJMC, Ahmedabad",PSYCHIATRY,AIQ,"30,000","1,00,800",1,"40,00,000",1557,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,"SVIMS, Tirupati",PATHOLOGY,AIQ,"2,11,600","80,904",1,"40,00,000",1257,,,,,,,,,,,,,,,,,,,,,,,,,
