State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DCP,AP Govt-NS UNR,"?1,55,250*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DCP,AP Govt-Serv UNR,"?1,55,250*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DCP,AP Govt-Serv LOC (AU),"?1,55,250*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DCP,AP Govt-NS LOC (AU),"?1,55,250*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DCP,AP Govt-NS APUR,"?1,55,250*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DCP,AP Govt-Serv APUR,"?1,55,250*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"SV Med Coll, Tirupati",DDVL,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"SV Med Coll, Tirupati",DDVL,AP Govt-Serv UNR,"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"SV Med Coll, Tirupati",DDVL,AP Govt-NS LOC (SVU),"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"SV Med Coll, Tirupati",DDVL,AP Govt-Serv LOC (SVU),"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"SV Med Coll, Tirupati",DDVL,AP Govt-NS APUR,"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"SV Med Coll, Tirupati",DDVL,AP Govt-Serv APUR,"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"SV Med Coll, Tirupati",DLO,AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"SV Med Coll, Tirupati",DLO,AP Govt-Serv UNR,"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"SV Med Coll, Tirupati",DLO,AP Govt-NS LOC (SVU),"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"SV Med Coll, Tirupati",DLO,AP Govt-Serv LOC (SVU),"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"SV Med Coll, Tirupati",DLO,AP Govt-NS APUR,"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"SV Med Coll, Tirupati",DLO,AP Govt-Serv APUR,"?48,600*","?60,823",1*,"?40,00,000*",940
Andhra Pradesh,"Guntur Med Coll, Guntur",DPM (Psychiatry),AP Govt-NS UNR,"?48,600*","?60,823",1*,"?40,00,000*",1170
Andhra Pradesh,"Guntur Med Coll, Guntur",DPM (Psychiatry),AP Govt-Serv UNR,"?48,600*","?60,823",1*,"?40,00,000*",1170
Andhra Pradesh,"Guntur Med Coll, Guntur",DPM (Psychiatry),AP Govt-Serv LOC (AU),"?48,600*","?60,823",1*,"?40,00,000*",1170
Andhra Pradesh,"Guntur Med Coll, Guntur",DPM (Psychiatry),AP Govt-NS LOC (AU),"?48,600*","?60,823",1*,"?40,00,000*",1170
Andhra Pradesh,"Guntur Med Coll, Guntur",DPM (Psychiatry),AP Govt-NS APUR,"?48,600*","?60,823",1*,"?40,00,000*",1170
Andhra Pradesh,"Guntur Med Coll, Guntur",DPM (Psychiatry),AP Govt-Serv APUR,"?48,600*","?60,823",1*,"?40,00,000*",1170
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DPH,AP Govt-NS UNR,"?1,55,250*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DPH,AP Govt-Serv UNR,"?1,55,250*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DPH,AP Govt-Serv LOC (AU),"?1,55,250*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DPH,AP Govt-NS LOC (AU),"?1,55,250*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DPH,AP Govt-NS APUR,"?1,55,250*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DPH,AP Govt-Serv APUR,"?1,55,250*","?28,000*",1*,"?40,00,000*",790
Andhra Pradesh,"GVP Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",750
Andhra Pradesh,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",1430
Andhra Pradesh,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,AP Govt-NS UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",1200
Andhra Pradesh,"Apollo IMS&R, Chittoor",ANAESTHESIOLOGY,AP Govt-NS UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",850
Andhra Pradesh,"Nimra Inst of Med Sci, Krishna",ANAESTHESIOLOGY,AP Govt-NS UNR,"?4,96,800*",Info not available*,1*,"?40,00,000*",Info Not Available
Andhra Pradesh,"VMC, Kurnool",ANAESTHESIOLOGY,AP Govt-NS UNR,"?4,96,800*","?30,000*",1*,"?40,00,000*",650
