State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DCP,APMgmt-S1-All-CatB,"?3,10,500*","?27,000*",1*,Info not available*,790,,,
Andhra Pradesh,"Alluri Sitaram Raju, Eluru",DCP,APMgmt-S1-All-CatB,"?3,10,500*","?30,000*",1*,Info not available*,1200,,,
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DCP,APMgmt-S1B-LOC-CatB,"?3,10,500*","?27,000*",1*,Info not available*,790,,,
Andhra Pradesh,"Alluri Sitaram Raju, Eluru",DCP,APMgmt-S1B-LOC-CatB,"?3,10,500*","?30,000*",1*,Info not available*,1200,,,
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DPH,APMgmt-S1-All-CatB,"?3,10,500*","?27,000*",1*,Info not available*,790,,,
Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DPH,APMgmt-S1B-LOC-CatB,"?3,10,500*","?27,000*",1*,Info not available*,790,,,
Andhra Pradesh,"GSL Med Coll, Rajahmundry",DTBCD,APMgmt-S1-All-CatB,"?9,93,600*","?30,000*",1*,Info not available*,1140,,,
Andhra Pradesh,"GSL Med Coll, Rajahmundry",DTBCD,APMgmt-S1B-LOC-CatB,"?9,93,600*","?30,000*",1*,Info not available*,1140,,,
Andhra Pradesh,"GVP Med Coll, Vizag",ANAESTHESIOLOGY,APMgmt-S1-All-CatB,"?9,93,600*","?30,000*",1*,Info not available*,750,,,
Andhra Pradesh,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,APMgmt-S1-All-CatB,"?9,93,600*","?40,000*",1*,Info not available*,1430,,,
Andhra Pradesh,"Alluri Sitaram Raju, Eluru",ANAESTHESIOLOGY,APMgmt-S1-All-CatB,"?9,93,600*","?30,000*",1*,Info not available*,1200,,,
Andhra Pradesh,"Apollo IMS&R, Chittoor",ANAESTHESIOLOGY,APMgmt-S1-All-CatB,"?9,93,600*","?30,000*",1*,Info not available*,850,,,
Andhra Pradesh,"Nimra Inst of Med Sci, Krishna",ANAESTHESIOLOGY,APMgmt-S1-All-CatB,"?9,93,600*",Info not available*,1*,Info not available*,Info Not Available,,,
Andhra Pradesh,"VMC, Kurnool",ANAESTHESIOLOGY,APMgmt-S1-All-CatB,"?9,93,600*","?30,000*",1*,Info not available*,650,,,
