State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Assam,"Gauhati Med Coll, Guwahati",DA,Assam Govt Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Gauhati Med Coll, Guwahati",DA,Assam NEC Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Gauhati Med Coll, Guwahati",DA,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Assam Med Coll, Dibrugarh",DCH,Assam Govt Quota,"?17,900*","?55,200*",2*,"?15,00,000*",1365,,,
Assam,"Gauhati Med Coll, Guwahati",DCH,Assam Govt Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Assam Med Coll, Dibrugarh",DCH,Assam NEC Quota,"?17,900*","?55,200*",2*,"?15,00,000*",1365,,,
Assam,"Gauhati Med Coll, Guwahati",DCH,Assam NEC Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Assam Med Coll, Dibrugarh",DCH,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?15,00,000*",1365,,,
Assam,"Gauhati Med Coll, Guwahati",DCH,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Gauhati Med Coll, Guwahati",DCP,Assam Govt Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Gauhati Med Coll, Guwahati",DCP,Assam NEC Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Gauhati Med Coll, Guwahati",DCP,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Gauhati Med Coll, Guwahati",DFM,Assam Govt Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Gauhati Med Coll, Guwahati",DFM,Assam NEC Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Gauhati Med Coll, Guwahati",DFM,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Gauhati Med Coll, Guwahati",DLO,Assam Govt Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Gauhati Med Coll, Guwahati",DLO,Assam NEC Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Gauhati Med Coll, Guwahati",DLO,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?15,00,000*",2185,,,
Assam,"Gauhati Med Coll, Guwahati",ANAESTHESIOLOGY,Assam Govt Quota,"?17,900*","?55,200*",2*,"?20,00,000*",2185,,,
Assam,"Assam Med Coll, Dibrugarh",ANAESTHESIOLOGY,Assam Govt Quota,"?17,900*","?55,200*",2*,"?20,00,000*",1365,,,
Assam,"Tezpur Med Coll, Tezpur",ANAESTHESIOLOGY,Assam Govt Quota,"?17,900*","?55,200*",2*,"?20,00,000*",500,,,
Assam,"Fakhruddin Ali Ahmed, Barpeta",ANAESTHESIOLOGY,Assam Govt Quota,"?17,900*","?55,200*",2*,"?20,00,000*",470,,,
Assam,"Jorhat Med Coll, Jorhat",ANAESTHESIOLOGY,Assam Govt Quota,"?17,900*","?55,200*",2*,"?20,00,000*",814,,,
Assam,"Silchar Med Coll, Silchar",ANAESTHESIOLOGY,Assam Govt Quota,"?17,900*","?55,200*",2*,"?20,00,000*",1256,,,
Assam,"Gauhati Med Coll, Guwahati",ANAESTHESIOLOGY,Assam NEC Quota,"?17,900*","?55,200*",2*,"?20,00,000*",2185,,,
Assam,"Assam Med Coll, Dibrugarh",ANAESTHESIOLOGY,Assam NEC Quota,"?17,900*","?55,200*",2*,"?20,00,000*",1365,,,
Assam,"Tezpur Med Coll, Tezpur",ANAESTHESIOLOGY,Assam NEC Quota,"?17,900*","?55,200*",2*,"?20,00,000*",500,,,
Assam,"Fakhruddin Ali Ahmed, Barpeta",ANAESTHESIOLOGY,Assam NEC Quota,"?17,900*","?55,200*",2*,"?20,00,000*",470,,,
Assam,"Jorhat Med Coll, Jorhat",ANAESTHESIOLOGY,Assam NEC Quota,"?17,900*","?55,200*",2*,"?20,00,000*",814,,,
Assam,"Silchar Med Coll, Silchar",ANAESTHESIOLOGY,Assam NEC Quota,"?17,900*","?55,200*",2*,"?20,00,000*",1256,,,
Assam,"Gauhati Med Coll, Guwahati",ANAESTHESIOLOGY,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?20,00,000*",2185,,,
Assam,"Assam Med Coll, Dibrugarh",ANAESTHESIOLOGY,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?20,00,000*",1365,,,
Assam,"Tezpur Med Coll, Tezpur",ANAESTHESIOLOGY,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?20,00,000*",500,,,
Assam,"Fakhruddin Ali Ahmed, Barpeta",ANAESTHESIOLOGY,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?20,00,000*",470,,,
Assam,"Jorhat Med Coll, Jorhat",ANAESTHESIOLOGY,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?20,00,000*",814,,,
Assam,"Silchar Med Coll, Silchar",ANAESTHESIOLOGY,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?20,00,000*",1256,,,
Assam,"Assam Med Coll, Dibrugarh",ANATOMY,Assam Govt Quota,"?17,900*","?55,200*",2*,"?20,00,000*",1365,,,
Assam,"Gauhati Med Coll, Guwahati",ANATOMY,Assam Govt Quota,"?17,900*","?55,200*",2*,"?20,00,000*",2185,,,
Assam,"Jorhat Med Coll, Jorhat",ANATOMY,Assam Govt Quota,"?17,900*","?55,200*",2*,"?20,00,000*",814,,,
Assam,"Silchar Med Coll, Silchar",ANATOMY,Assam Govt Quota,"?17,900*","?55,200*",2*,"?20,00,000*",1256,,,
Assam,"Assam Med Coll, Dibrugarh",ANATOMY,Assam NEC Quota,"?17,900*","?55,200*",2*,"?20,00,000*",1365,,,
Assam,"Gauhati Med Coll, Guwahati",ANATOMY,Assam NEC Quota,"?17,900*","?55,200*",2*,"?20,00,000*",2185,,,
Assam,"Jorhat Med Coll, Jorhat",ANATOMY,Assam NEC Quota,"?17,900*","?55,200*",2*,"?20,00,000*",814,,,
Assam,"Silchar Med Coll, Silchar",ANATOMY,Assam NEC Quota,"?17,900*","?55,200*",2*,"?20,00,000*",1256,,,
Assam,"Assam Med Coll, Dibrugarh",ANATOMY,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?20,00,000*",1365,,,
Assam,"Gauhati Med Coll, Guwahati",ANATOMY,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?20,00,000*",2185,,,
Assam,"Jorhat Med Coll, Jorhat",ANATOMY,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?20,00,000*",814,,,
Assam,"Silchar Med Coll, Silchar",ANATOMY,Assam SHQ Quota,"?17,900*","?55,200*",2*,"?20,00,000*",1256,,,
Assam,"Tezpur Med Coll, Tezpur",BIOCHEMISTRY,Assam Govt Quota,"?17,900*","?55,200*",2*,"?20,00,000*",500,,,
