State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Bihar,"Darbhanga, Lehriasarai",DA,Bihar Govt Quota,"?9,000*","?82,000",3*,"?25,00,000*",1030,,,
Bihar,"Patna Med Coll, Patna",DMICRO,Bihar Govt Quota,"?9,000*","?82,000",3*,"?25,00,000*",1748,,,
Bihar,"Patna Med Coll, Patna",DPMR,Bihar Govt Quota,"?9,000*","?82,000",3*,"?25,00,000*",1748,,,
Bihar,"Patna Med Coll, Patna",DMRD,Bihar Govt Quota,"?9,000*","?82,000",3*,"?25,00,000*",1748,,,
Bihar,"Patna Med Coll, Patna",DTBCD,Bihar Govt Quota,"?9,000*","?82,000",3*,"?25,00,000*",1748,,,
Bihar,"Katihar Med Coll, Katihar",ANAESTHESIOLOGY,Bihar Priv-NRI,"?19,29,000*","?68,545*",0,?0,794,,,
Bihar,"MGM Med Coll, Kishanganj",ANAESTHESIOLOGY,Bihar Priv-NRI,"?21,29,000*","?68,545",0,?0,610,,,
Bihar,"Netaji Subhas Med Coll, Bihta",ANAESTHESIOLOGY,Bihar Priv-NRI,"?45,93,000*","?60,000*",0,?0,Info Not Available,,,
Bihar,"Narayan Med Coll, Sasaram",ANAESTHESIOLOGY,Bihar Priv-NRI,"?21,29,000*","?50,000*",0,?0,650,,,
Bihar,"Madhubani Med Coll, Madhubani",ANAESTHESIOLOGY,Bihar Priv-NRI,"?20,88,000*","?55,000",0,?0,Info Not Available,,,
Bihar,"Katihar Med Coll, Katihar",ANAESTHESIOLOGY,Bihar Priv-Minority,"?14,60,000*","?68,545*",0,?0,794,,,
Bihar,"MGM Med Coll, Kishanganj",ANAESTHESIOLOGY,Bihar Priv-Minority,"?13,40,000*","?68,545",0,?0,610,,,
Bihar,"Lord Buddha Koshi Med, Saharsa",ANAESTHESIOLOGY,Bihar Priv-Minority,"?11,00,000*","?60,000",0,?0,Info Not Available,,,
Bihar,"Madhubani Med Coll, Madhubani",ANAESTHESIOLOGY,Bihar Priv-Minority,"?15,00,000*","?55,000",0,?0,Info Not Available,,,
Bihar,"Katihar Med Coll, Katihar",ANAESTHESIOLOGY,Bihar Priv-Open,"?14,60,000*","?68,545*",0,?0,794,,,
Bihar,"MGM Med Coll, Kishanganj",ANAESTHESIOLOGY,Bihar Priv-Open,"?13,40,000*","?68,545",0,?0,610,,,
Bihar,"Netaji Subhas Med Coll, Bihta",ANAESTHESIOLOGY,Bihar Priv-Open,"?19,25,000*","?60,000*",0,?0,Info Not Available,,,
Bihar,"Narayan Med Coll, Sasaram",ANAESTHESIOLOGY,Bihar Priv-Open,"?14,00,000*","?50,000*",0,?0,650,,,
Bihar,"Lord Buddha Koshi Med, Saharsa",ANAESTHESIOLOGY,Bihar Priv-Open,"?11,00,000*","?60,000",0,?0,Info Not Available,,,
Bihar,"Madhubani Med Coll, Madhubani",ANAESTHESIOLOGY,Bihar Priv-Open,"?15,00,000*","?55,000",0,?0,Info Not Available,,,
Bihar,"AN Magadh, Gaya",ANAESTHESIOLOGY,Bihar Govt Quota,"?9,000*","?82,000",3*,"?25,00,000*",425,,,
Bihar,"Darbhanga, Lehriasarai",ANAESTHESIOLOGY,Bihar Govt Quota,"?9,000*","?82,000",3*,"?25,00,000*",1030,,,
Bihar,"IGIMS, Patna",ANAESTHESIOLOGY,Bihar Govt Quota,"?1,60,000*","?1,05,000*",0,?0,1062,,,
Bihar,"Nalanda Med Coll, Patna",ANAESTHESIOLOGY,Bihar Govt Quota,"?9,000*","?82,000",3*,"?25,00,000*",750,,,
Bihar,"Patna Med Coll, Patna",ANAESTHESIOLOGY,Bihar Govt Quota,"?9,000*","?82,000",3*,"?25,00,000*",1748,,,
Bihar,"Katihar Med Coll, Katihar",ANATOMY,Bihar Priv-Minority,"?2,50,000*","?68,545*",0,?0,794,,,
Bihar,"MGM Med Coll, Kishanganj",ANATOMY,Bihar Priv-Minority,"?2,00,000*","?68,545*",0,?0,610,,,
Bihar,"Katihar Med Coll, Katihar",ANATOMY,Bihar Priv-Open,"?2,50,000*","?68,545*",0,?0,794,,,
Bihar,"MGM Med Coll, Kishanganj",ANATOMY,Bihar Priv-Open,"?2,00,000*","?68,545*",0,?0,610,,,
Bihar,"Netaji Subhas Med Coll, Bihta",ANATOMY,Bihar Priv-Open,"?2,00,000*","?60,000*",0,?0,Info Not Available,,,
Bihar,"Narayan Med Coll, Sasaram",ANATOMY,Bihar Priv-Open,"?50,000*","?50,000*",0,?0,650,,,
