State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Chandigarh,"GMC, Chandigarh",ANAESTHESIOLOGY,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",ANATOMY,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",BIOCHEMISTRY,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",DERMATOLOGY,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",FORENSIC MEDICINE,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",IHBT,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",MICROBIOLOGY,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",PAEDIATRICS,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",PATHOLOGY,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",PHARMACOLOGY,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",PHYSIOLOGY,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",PSYCHIATRY,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",RADIATION ONCOLOGY,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",SPM,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",ENT,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",GENERAL SURGERY,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",OBG,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",OPHTHALMOLOGY,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
Chandigarh,"GMC, Chandigarh",ORTHOPAEDICS,CHNDGH-Govt Quota,"?34,500*","?1,07,000",0,?0,967,,,
