State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,,
Chhattisgarh,"Raipur IMS, Raipur",ANAESTHESIOLOGY,CG MBBS or Ins,"?9,84,500*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",ANAESTHESIOLOGY,CG MBBS or Ins,"?10,54,000*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",ANAESTHESIOLOGY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"CIMS, Bilaspur",ANAESTHESIOLOGY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",ANAESTHESIOLOGY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",ANAESTHESIOLOGY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"Govt Med Coll, Rajnandgaon",ANAESTHESIOLOGY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",ANAESTHESIOLOGY,CG MBBS or Ins,"?10,54,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",ANAESTHESIOLOGY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"CIMS, Bilaspur",ANAESTHESIOLOGY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",ANAESTHESIOLOGY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",ANAESTHESIOLOGY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"Govt Med Coll, Rajnandgaon",ANAESTHESIOLOGY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"Raipur IMS, Raipur",ANAESTHESIOLOGY,CG Domicile,"?9,84,500*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",ANAESTHESIOLOGY,CG Domicile,"?10,54,000*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",ANAESTHESIOLOGY,CG Domicile,"?10,54,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",ANAESTHESIOLOGY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"CIMS, Bilaspur",ANAESTHESIOLOGY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",ANAESTHESIOLOGY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",ANAESTHESIOLOGY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"Govt Med Coll, Rajnandgaon",ANAESTHESIOLOGY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"Raipur IMS, Raipur",ANAESTHESIOLOGY,Other State,"?9,84,500*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",ANAESTHESIOLOGY,Other State,"?10,54,000*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",ANAESTHESIOLOGY,Other State,"?10,54,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Raipur IMS, Raipur",ANAESTHESIOLOGY,CG MBBS or Ins-NRI,"?79,33,000*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",ANAESTHESIOLOGY,CG MBBS or Ins-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Raipur IMS, Raipur",ANAESTHESIOLOGY,CG Domicile-NRI,"?79,33,000*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",ANAESTHESIOLOGY,CG Domicile-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Raipur IMS, Raipur",ANAESTHESIOLOGY,CG Other State-NRI,"?79,33,000*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",ANAESTHESIOLOGY,CG Other State-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"SSIMS, Bhilai",ANATOMY,CG MBBS or Ins,"?8,48,200*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",ANATOMY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",ANATOMY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",ANATOMY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",ANATOMY,CG MBBS or Ins,"?8,48,200*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",ANATOMY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",ANATOMY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",ANATOMY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"SSIMS, Bhilai",ANATOMY,CG Domicile,"?8,48,200*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",ANATOMY,CG Domicile,"?8,48,200*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"CIMS, Bilaspur",ANATOMY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",ANATOMY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",ANATOMY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",ANATOMY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"SSIMS, Bhilai",ANATOMY,Other State,"?8,48,200*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",ANATOMY,Other State,"?8,48,200*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"SSIMS, Bhilai",ANATOMY,CG MBBS or Ins-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"SSIMS, Bhilai",ANATOMY,CG Domicile-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"SSIMS, Bhilai",ANATOMY,CG Other State-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Raipur IMS, Raipur",BIOCHEMISTRY,CG MBBS or Ins,"?7,92,600*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",BIOCHEMISTRY,CG MBBS or Ins,"?8,48,200*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",BIOCHEMISTRY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",BIOCHEMISTRY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"CIMS, Bilaspur",BIOCHEMISTRY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",BIOCHEMISTRY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",BIOCHEMISTRY,CG MBBS or Ins,"?8,48,200*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",BIOCHEMISTRY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",BIOCHEMISTRY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"CIMS, Bilaspur",BIOCHEMISTRY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",BIOCHEMISTRY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Raipur IMS, Raipur",BIOCHEMISTRY,CG Domicile,"?7,92,600*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",BIOCHEMISTRY,CG Domicile,"?8,48,200*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",BIOCHEMISTRY,CG Domicile,"?8,48,200*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Govt Med Coll, Ambikapur",BIOCHEMISTRY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",785,,,,
Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",BIOCHEMISTRY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",650,,,,
Chhattisgarh,"CIMS, Bilaspur",BIOCHEMISTRY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",BIOCHEMISTRY,Other State,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Raipur IMS, Raipur",BIOCHEMISTRY,Other State,"?7,92,600*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",BIOCHEMISTRY,Other State,"?8,48,200*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",BIOCHEMISTRY,Other State,"?8,48,200*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"Raipur IMS, Raipur",BIOCHEMISTRY,CG MBBS or Ins-NRI,"?79,33,000*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",BIOCHEMISTRY,CG MBBS or Ins-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Raipur IMS, Raipur",BIOCHEMISTRY,CG Domicile-NRI,"?79,33,000*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",BIOCHEMISTRY,CG Domicile-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"Raipur IMS, Raipur",BIOCHEMISTRY,CG Other State-NRI,"?79,33,000*","?67,000",1,"?25,00,000",650,,,,
Chhattisgarh,"SSIMS, Bhilai",BIOCHEMISTRY,CG Other State-NRI,Info not available*,"?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"SSIMS, Bhilai",DERMATOLOGY,CG MBBS or Ins,"?10,54,000*","?67,000",1,"?10,00,000",896,,,,
Chhattisgarh,"CIMS, Bilaspur",DERMATOLOGY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
Chhattisgarh,"Pt JNM Med Coll, Raipur",DERMATOLOGY,CG MBBS or Ins,"?20,000*","?67,500",2*,"?50,00,000*",1246,,,,
Chhattisgarh,"Shri Balaji Inst of MS, Raipur",DERMATOLOGY,CG MBBS or Ins,"?10,54,000*",Info not available,1,"?25,00,000",Info Not Available,,,,
Chhattisgarh,"CIMS, Bilaspur",DERMATOLOGY,CG Domicile,"?20,000*","?67,500",2*,"?50,00,000*",550,,,,
