State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Kerala,"Baby Memorial, Kozhikode",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,600,,,
Delhi,"Batra Hospital, Delhi",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,495,,,
Delhi,"Dr Baba Saheb Ambedkar, Delhi",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,500,,,
Punjab,"Fortis Hospital, Mohali",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,360,,,
Delhi,"Hindu Rao Hospital, Delhi",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,980,,,
Delhi,"Indraprastha Apollo Hosp,Delhi",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,718,,,
Maharashtra,"Jehangir Hospital, Pune",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,335,,,
Tamil Nadu,"Kauvery Hospital, Chennai",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,200,,,
Tamil Nadu,"Kovai MedicalCentre,Coimbatore",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,950,,,
Telangana,"Krishna IMS, Secunderabad",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,675,,,
Tamil Nadu,"MIOT Hospital, Chennai",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,920,,,
Karnataka,"Manipal Hosp, Rustum Bagh, BLR",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,600,,,
Delhi,"MaxSmart SS(SaketCityH),Delhi",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,250,,,
Delhi,"Max SS Hosp, Patparganj,Delhi",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,402,,,
Haryana,"Medanta The Medicity, Gurgaon",DNBANAESTHESIOLOGY,DNB Sponsored,"?1,25,000",-,0,?0,1200,,,
