State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Goa,"Goa Med Coll, Panaji",DFM,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",ANAESTHESIOLOGY,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",ANATOMY,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",BIOCHEMISTRY,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",DERMATOLOGY,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",FORENSIC MEDICINE,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",GENERAL MEDICINE,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",GERIATRICS,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",IHBT,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",MICROBIOLOGY,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",PAEDIATRICS,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",PATHOLOGY,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",PHARMACOLOGY,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",PHYSIOLOGY,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",PSYCHIATRY,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",RADIO DIAGNOSIS,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",SPM,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",TBRD,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",ENT,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",GENERAL SURGERY,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",OBG,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",OPHTHALMOLOGY,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
Goa,"Goa Med Coll, Panaji",ORTHOPAEDICS,Goa Govt Quota,"?1,22,522*","?60,000",1*,"?50,00,000*",1160,,,
