State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Gujarat,"MP Shah, Jamnagar",DA,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"PDU Med Coll, Rajkot",DA,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"Govt Med Coll, Surat",DA,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",0*,?0*,1150,,,
Gujarat,"MP Shah, Jamnagar",DA,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"PDU Med Coll, Rajkot",DA,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"Govt Med Coll, Surat",DA,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",0*,?0*,1150,,,
Gujarat,"MP Shah, Jamnagar",DA,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"PDU Med Coll, Rajkot",DA,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"Govt Med Coll, Surat",DA,GUJ Govt-Inservice,"?20,000*","?75,600*",0*,?0*,1150,,,
Gujarat,"MP Shah, Jamnagar",DCH,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"Govt Med Coll, Bhavnagar",DCH,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",720,,,
Gujarat,"PDU Med Coll, Rajkot",DCH,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"Govt Med Coll, Bhavnagar",DCH,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",720,,,
Gujarat,"MP Shah, Jamnagar",DCH,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"PDU Med Coll, Rajkot",DCH,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"Govt Med Coll, Bhavnagar",DCH,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",720,,,
Gujarat,"MP Shah, Jamnagar",DCH,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"PDU Med Coll, Rajkot",DCH,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"Govt Med Coll, Surat",DCP,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",1150,,,
Gujarat,"Govt Med Coll, Surat",DCP,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",1150,,,
Gujarat,"Govt Med Coll, Surat",DCP,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",1150,,,
Gujarat,"Govt Med Coll, Surat",DCM,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",0*,?0*,1150,,,
Gujarat,"Govt Med Coll, Surat",DCM,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",0*,?0*,1150,,,
Gujarat,"Govt Med Coll, Surat",DCM,GUJ Govt-Inservice,"?20,000*","?75,600*",0*,?0*,1150,,,
Gujarat,"PDU Med Coll, Rajkot",DDVL,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"Govt Med Coll, Bhavnagar",DDVL,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",720,,,
Gujarat,"PDU Med Coll, Rajkot",DDVL,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"Govt Med Coll, Bhavnagar",DDVL,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",720,,,
Gujarat,"PDU Med Coll, Rajkot",DDVL,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"Govt Med Coll, Bhavnagar",DDVL,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",720,,,
Gujarat,"MP Shah, Jamnagar",DGO,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"PDU Med Coll, Rajkot",DGO,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"MP Shah, Jamnagar",DGO,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"PDU Med Coll, Rajkot",DGO,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"MP Shah, Jamnagar",DGO,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"PDU Med Coll, Rajkot",DGO,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"MP Shah, Jamnagar",DO,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"PDU Med Coll, Rajkot",DO,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"MP Shah, Jamnagar",DO,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"PDU Med Coll, Rajkot",DO,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"MP Shah, Jamnagar",DO,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"PDU Med Coll, Rajkot",DO,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"PDU Med Coll, Rajkot",DORTHO,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"PDU Med Coll, Rajkot",DORTHO,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"PDU Med Coll, Rajkot",DORTHO,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",750,,,
Gujarat,"Govt Med Coll, Bhavnagar",DPM (Psychiatry),GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",720,,,
Gujarat,"Govt Med Coll, Bhavnagar",DPM (Psychiatry),GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",720,,,
Gujarat,"Govt Med Coll, Bhavnagar",DPM (Psychiatry),GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",720,,,
Gujarat,"Surat Municipal, Surat",DPH,GUJ Govt-Inst. Pref,"?9,50,000*","?84,000*",0,?0,750,,,
Gujarat,"Surat Municipal, Surat",DPH,GUJ Govt-AllGujStud.,"?9,50,000*","?84,000*",0,?0,750,,,
Gujarat,"MP Shah, Jamnagar",DMRD,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"MP Shah, Jamnagar",DMRD,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"MP Shah, Jamnagar",DMRD,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"MP Shah, Jamnagar",DTBCD,GUJ Govt-Inst. Pref,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"MP Shah, Jamnagar",DTBCD,GUJ Govt-AllGujStud.,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"MP Shah, Jamnagar",DTBCD,GUJ Govt-Inservice,"?20,000*","?75,600*",1*,"?40,00,000*",1250,,,
Gujarat,"CU Shah, Surendra Nagar",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?14,00,000*","?84,000*",0,?0,590,,,
Gujarat,"Adani Institute, Bhuj",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?12,00,000*","?84,000*",0,?0,750,,,
Gujarat,"Parul IMS&R, Vadodara",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?10,00,000*","?1,00,800*",0,?0,750,,,
Gujarat,"GCS Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?11,00,000*","?84,000*",0,?0,750,,,
Gujarat,"GMERS, Gandhinagar",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?11,25,000*","?84,000*",0,?0,980,,,
Gujarat,"GMERS, Gotri, Vadodara",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?11,25,000*","?84,000*",0,?0,730,,,
Gujarat,"AMCET, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?9,67,000*","?1,00,800*",0,?0,1050,,,
Gujarat,"GMERS, Sola",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?11,25,000*","?84,000*",0,?0,900,,,
Gujarat,"Surat Municipal, Surat",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?18,64,000*","?84,000*",0,?0,750,,,
Gujarat,"NHL Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?7,93,000*","?84,000*",0,?0,2220,,,
Gujarat,"Pramukhswami Med Coll, Karmsad",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?12,00,000*","?84,000*",0,?0,1000,,,
Gujarat,"Dr MK Shah Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?16,50,000*","?84,000*",0,?0,350,,,
Gujarat,"Zydus Med Coll & Hosp, Dahod",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?27,00,000*","?84,000*",0,?0,Info Not Available,,,
Gujarat,"Shantabaa Medical Coll, Amreli",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?12,00,000","?84,000*",0,?0,Info Not Available,,,
Gujarat,"Dr ND Desai FMS & Res, Nadiad",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?18,00,000*","?84,000*",0,?0,Info Not Available,,,
Gujarat,"PDU Med Coll, Rajkot",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?30,000*","?1,00,800",1*,"?40,00,000*",750,,,
Gujarat,"Nootan Med Coll & RC, Mehsana",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?11,00,000*","?84,000*",0,?0,Info Not Available,,,
Gujarat,"MP Shah, Jamnagar",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?30,000*","?1,00,800",1*,"?40,00,000*",1250,,,
Gujarat,"Govt Med Coll, Bhavnagar",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?30,000*","?1,00,800",1*,"?40,00,000*",720,,,
Gujarat,"Govt Med Coll, Surat",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?30,000*","?1,00,800",1*,"?40,00,000*",1150,,,
Gujarat,"BJMC, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?30,000*","?1,00,800",1*,"?40,00,000*",1557,,,
Gujarat,"Medical College, Baroda",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?30,000*","?1,00,800",1*,"?40,00,000*",1250,,,
Gujarat,"GR Doshi & KM Mehta, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-Inst. Pref,"?30,000*","?1,00,800",1*,"?40,00,000*",400,,,
Gujarat,"AMCET, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?9,67,000*","?1,00,800*",0,?0,1050,,,
Gujarat,"GCS Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?11,00,000*","?84,000*",0,?0,750,,,
Gujarat,"Surat Municipal, Surat",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?18,64,000*","?84,000*",0,?0,750,,,
Gujarat,"GMERS, Sola",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?11,25,000*","?84,000*",0,?0,900,,,
Gujarat,"GMERS, Gandhinagar",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?11,25,000*","?84,000*",0,?0,980,,,
Gujarat,"GMERS, Gotri, Vadodara",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?11,25,000*","?84,000*",0,?0,730,,,
Gujarat,"BJMC, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?30,000*","?1,00,800",1*,"?40,00,000*",1557,,,
Gujarat,"PDU Med Coll, Rajkot",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?30,000*","?1,00,800",1*,"?40,00,000*",750,,,
Gujarat,"Pramukhswami Med Coll, Karmsad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?12,00,000*","?84,000*",0,?0,1000,,,
Gujarat,"NHL Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?7,93,000*","?84,000*",0,?0,2220,,,
Gujarat,"Dr MK Shah Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?16,50,000*","?84,000*",0,?0,350,,,
Gujarat,"Parul IMS&R, Vadodara",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?10,00,000*","?1,00,800*",0,?0,750,,,
Gujarat,"Adani Institute, Bhuj",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?12,00,000*","?84,000*",0,?0,750,,,
Gujarat,"CU Shah, Surendra Nagar",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?14,00,000*","?84,000*",0,?0,590,,,
Gujarat,"Zydus Med Coll & Hosp, Dahod",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?27,00,000*","?84,000*",0,?0,Info Not Available,,,
Gujarat,"Shantabaa Medical Coll, Amreli",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?12,00,000","?84,000*",0,?0,Info Not Available,,,
Gujarat,"Dr ND Desai FMS & Res, Nadiad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?25,00,000*","?84,000*",0,?0,Info Not Available,,,
Gujarat,"Nootan Med Coll & RC, Mehsana",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?11,00,000*","?84,000*",0,?0,Info Not Available,,,
Gujarat,"Govt Med Coll, Bhavnagar",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?30,000*","?1,00,800",1*,"?40,00,000*",720,,,
Gujarat,"GR Doshi & KM Mehta, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?30,000*","?1,00,800",1*,"?40,00,000*",400,,,
Gujarat,"Medical College, Baroda",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?30,000*","?1,00,800",1*,"?40,00,000*",1250,,,
Gujarat,"Govt Med Coll, Surat",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?30,000*","?1,00,800",1*,"?40,00,000*",1150,,,
Gujarat,"MP Shah, Jamnagar",ANAESTHESIOLOGY,GUJ Govt-AllGujStud.,"?30,000*","?1,00,800",1*,"?40,00,000*",1250,,,
Gujarat,"Adani Institute, Bhuj",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?15,00,000*","?84,000*",0,?0,750,,,
Gujarat,"Surat Municipal, Surat",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?32,80,000*","?84,000*",0,?0,750,,,
Gujarat,"Pramukhswami Med Coll, Karmsad",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?17,00,000*","?84,000*",0,?0,1000,,,
Gujarat,"NHL Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?17,82,000*","?84,000*",0,?0,2220,,,
Gujarat,"Dr MK Shah Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?18,00,000*","?84,000*",0,?0,350,,,
Gujarat,"Parul IMS&R, Vadodara",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?15,00,000*","?1,00,800*",0,?0,750,,,
Gujarat,"GCS Med Coll, Ahmedabad",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?23,00,000*","?84,000*",0,?0,750,,,
Gujarat,"GMERS, Sola",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?16,88,000*","?84,000*",0,?0,900,,,
Gujarat,"GMERS, Gandhinagar",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?16,88,000*","?84,000*",0,?0,980,,,
Gujarat,"GMERS, Gotri, Vadodara",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?16,88,000*","?84,000*",0,?0,730,,,
Gujarat,"AMCET, Ahmedabad",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?18,00,000*","?1,00,800*",0,?0,1050,,,
Gujarat,"Zydus Med Coll & Hosp, Dahod",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?45,00,000*","?84,000*",0,?0,Info Not Available,,,
Gujarat,"Shantabaa Medical Coll, Amreli",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?23,50,000","?84,000*",0,?0,Info Not Available,,,
Gujarat,"Dr ND Desai FMS & Res, Nadiad",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?25,00,000*","?84,000*",0,?0,Info Not Available,,,
Gujarat,"Nootan Med Coll & RC, Mehsana",ANAESTHESIOLOGY,GUJ Mgmt Quota,"?12,00,000*","?84,000*",0,?0,Info Not Available,,,
Gujarat,"Govt Med Coll, Surat",ANAESTHESIOLOGY,GUJ Govt-Inservice,"?30,000*","?1,00,800",1*,"?40,00,000*",1150,,,
Gujarat,"PDU Med Coll, Rajkot",ANAESTHESIOLOGY,GUJ Govt-Inservice,"?30,000*","?1,00,800",1*,"?40,00,000*",750,,,
Gujarat,"MP Shah, Jamnagar",ANAESTHESIOLOGY,GUJ Govt-Inservice,"?30,000*","?1,00,800",1*,"?40,00,000*",1250,,,
Gujarat,"Govt Med Coll, Bhavnagar",ANAESTHESIOLOGY,GUJ Govt-Inservice,"?30,000*","?1,00,800",1*,"?40,00,000*",720,,,
Gujarat,"BJMC, Ahmedabad",ANAESTHESIOLOGY,GUJ Govt-Inservice,"?30,000*","?1,00,800",1*,"?40,00,000*",1557,,,
