State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Haryana,"ESIC Med Coll, Faridabad",ANAESTHESIOLOGY,HAR Govt-Inst. Pref,"?2,50,000*","?1,15,853*",2*,"?10,00,000*",625,,,
Haryana,"Pt BD Sharma, Rohtak",ANAESTHESIOLOGY,HAR Govt-Inst. Pref,"?1,25,000*","?1,00,980*",0*,?0*,2080,,,
Haryana,"ESIC Med Coll, Faridabad",ANAESTHESIOLOGY,HAR Govt-All,"?2,50,000*","?1,15,853*",2*,"?10,00,000*",625,,,
Haryana,"Pt BD Sharma, Rohtak",ANAESTHESIOLOGY,HAR Govt-All,"?1,25,000*","?1,00,980*",0*,?0*,2080,,,
Haryana,"Adesh Med Coll, Shahabad",ANAESTHESIOLOGY,HAR Priv-Govt Quota,"?14,02,000*","?44,000",0,?0,775,,,
Haryana,"Al Falah SchooloffMS,Faridabad",ANAESTHESIOLOGY,HAR Priv-Govt Quota,"?17,90,000*","?55,000",0,?0,Info Not Available,,,
Haryana,"SGGST Med Coll, Gurgaon",ANAESTHESIOLOGY,HAR Priv-Govt Quota,"?20,00,000*","?56,100",Info Not Available,Info not available,720,,,
Haryana,"Maharaja Agrasen, Agroha",ANAESTHESIOLOGY,HAR Priv-Govt Quota,"?1,00,000*","?95,594",0*,?0*,550,,,
Haryana,"NC Med Coll, Panipat",ANAESTHESIOLOGY,HAR Priv-Govt Quota,"?14,02,000*","?40,000",0,?0,680,,,
Haryana,"World College of MS&RC, Jhajjar",ANAESTHESIOLOGY,HAR Priv-Govt Quota,"?14,02,000*","?56,100",0,?0,Info Not Available,,,
Haryana,"Adesh Med Coll, Shahabad",ANAESTHESIOLOGY,HAR Priv-Mgmt,"?14,02,000*","?44,000",0,?0,775,,,
Haryana,"Al Falah SchooloffMS,Faridabad",ANAESTHESIOLOGY,HAR Priv-Mgmt,"?17,90,000*","?55,000",0,?0,Info Not Available,,,
Haryana,"SGGST Med Coll, Gurgaon",ANAESTHESIOLOGY,HAR Priv-Mgmt,"?20,00,000*","?56,100",Info Not Available,Info not available,720,,,
Haryana,"NC Med Coll, Panipat",ANAESTHESIOLOGY,HAR Priv-Mgmt,"?14,02,000*","?40,000",0,?0,680,,,
Haryana,"World College of MS&RC, Jhajjar",ANAESTHESIOLOGY,HAR Priv-Mgmt,"?14,02,000*","?56,100",0,?0,Info Not Available,,,
Haryana,"Adesh Med Coll, Shahabad",ANAESTHESIOLOGY,Haryana Priv IP,"?14,02,000*","?44,000",0,?0,775,,,
Haryana,"Maharaja Agrasen, Agroha",ANAESTHESIOLOGY,Haryana Priv IP,"?1,00,000*","?95,594",0*,?0*,550,,,
Haryana,"NC Med Coll, Panipat",ANAESTHESIOLOGY,Haryana Priv IP,"?14,02,000*","?40,000",0,?0,680,,,
Haryana,"World College of MS&RC, Jhajjar",ANAESTHESIOLOGY,Haryana Priv IP,"?14,02,000*","?56,100",0,?0,Info Not Available,,,
Haryana,"Al Falah SchooloffMS,Faridabad",ANAESTHESIOLOGY,Haryana Priv NRI,"?50,10,000*","?55,000",0,?0,Info Not Available,,,
Haryana,"SGGST Med Coll, Gurgaon",ANAESTHESIOLOGY,Haryana Priv NRI,"?29,23,000*","?56,100",Info Not Available,Info not available,720,,,
Haryana,"NC Med Coll, Panipat",ANAESTHESIOLOGY,Haryana Priv NRI,"?14,02,000*","?40,000",0,?0,680,,,
Haryana,"Al Falah SchooloffMS,Faridabad",ANAESTHESIOLOGY,HAR Priv-Minority,"?17,90,000*","?55,000",0,?0,Info Not Available,,,
Haryana,"BPS Govt Med Coll, Sonepat",ANATOMY,HAR Govt-Inst. Pref,"?1,25,000*","?1,00,980*",0*,?0*,506,,,
Haryana,"ESIC Med Coll, Faridabad",ANATOMY,HAR Govt-Inst. Pref,"?2,50,000*","?1,15,853*",2*,"?10,00,000*",625,,,
Haryana,"Kalpana Chawala Govt MC,Karnal",ANATOMY,HAR Govt-Inst. Pref,"?1,25,000*","?1,00,980*",0*,?0*,500,,,
Haryana,"Pt BD Sharma, Rohtak",ANATOMY,HAR Govt-Inst. Pref,"?1,25,000*","?1,00,980*",0*,?0*,2080,,,
Haryana,"SHKM, Nalhar",ANATOMY,HAR Govt-Inst. Pref,"?1,25,000*","?1,00,980*",0*,?0*,500,,,
Haryana,"BPS Govt Med Coll, Sonepat",ANATOMY,HAR Govt-All,"?1,25,000*","?1,00,980*",0*,?0*,506,,,
Haryana,"ESIC Med Coll, Faridabad",ANATOMY,HAR Govt-All,"?2,50,000*","?1,15,853*",2*,"?10,00,000*",625,,,
Haryana,"Kalpana Chawala Govt MC,Karnal",ANATOMY,HAR Govt-All,"?1,25,000*","?1,00,980*",0*,?0*,500,,,
Haryana,"Pt BD Sharma, Rohtak",ANATOMY,HAR Govt-All,"?1,25,000*","?1,00,980*",0*,?0*,2080,,,
Haryana,"SHKM, Nalhar",ANATOMY,HAR Govt-All,"?1,25,000*","?1,00,980*",0*,?0*,500,,,
Haryana,"Al Falah SchooloffMS,Faridabad",ANATOMY,HAR Priv-Govt Quota,"?7,20,000*","?55,000",0,?0,Info Not Available,,,
Haryana,"SGGST Med Coll, Gurgaon",ANATOMY,HAR Priv-Govt Quota,"?10,00,000*","?56,100",Info Not Available,Info not available,720,,,
Haryana,"Maharaja Agrasen, Agroha",ANATOMY,HAR Priv-Govt Quota,"?1,00,000*","?95,594",0*,?0*,550,,,
Haryana,"Al Falah SchooloffMS,Faridabad",ANATOMY,HAR Priv-Mgmt,"?7,20,000*","?55,000",0,?0,Info Not Available,,,
Haryana,"SGGST Med Coll, Gurgaon",ANATOMY,HAR Priv-Mgmt,"?10,00,000*","?56,100",Info Not Available,Info not available,720,,,
Haryana,"Maharaja Agrasen, Agroha",ANATOMY,Haryana Priv IP,"?1,00,000*","?95,594",0*,?0*,550,,,
Haryana,"Al Falah SchooloffMS,Faridabad",ANATOMY,Haryana Priv NRI,"?20,78,000*","?55,000",0,?0,Info Not Available,,,
Haryana,"SGGST Med Coll, Gurgaon",ANATOMY,Haryana Priv NRI,"?14,17,000*","?56,100",Info Not Available,Info not available,720,,,
Haryana,"BPS Govt Med Coll, Sonepat",BIOCHEMISTRY,HAR Govt-Inst. Pref,"?1,25,000*","?1,00,980*",0*,?0*,506,,,
Haryana,"ESIC Med Coll, Faridabad",BIOCHEMISTRY,HAR Govt-Inst. Pref,"?2,50,000*","?1,15,853*",2*,"?10,00,000*",625,,,
Haryana,"Kalpana Chawala Govt MC,Karnal",BIOCHEMISTRY,HAR Govt-Inst. Pref,"?1,25,000*","?1,00,980*",0*,?0*,500,,,
Haryana,"Pt BD Sharma, Rohtak",BIOCHEMISTRY,HAR Govt-Inst. Pref,"?1,25,000*","?1,00,980*",0*,?0*,2080,,,
Haryana,"SHKM, Nalhar",BIOCHEMISTRY,HAR Govt-Inst. Pref,"?1,25,000*","?1,00,980*",0*,?0*,500,,,
Haryana,"BPS Govt Med Coll, Sonepat",BIOCHEMISTRY,HAR Govt-All,"?1,25,000*","?1,00,980*",0*,?0*,506,,,
Haryana,"ESIC Med Coll, Faridabad",BIOCHEMISTRY,HAR Govt-All,"?2,50,000*","?1,15,853*",2*,"?10,00,000*",625,,,
Haryana,"Kalpana Chawala Govt MC,Karnal",BIOCHEMISTRY,HAR Govt-All,"?1,25,000*","?1,00,980*",0*,?0*,500,,,
Haryana,"Pt BD Sharma, Rohtak",BIOCHEMISTRY,HAR Govt-All,"?1,25,000*","?1,00,980*",0*,?0*,2080,,,
Haryana,"SHKM, Nalhar",BIOCHEMISTRY,HAR Govt-All,"?1,25,000*","?1,00,980*",0*,?0*,500,,,
Haryana,"Al Falah SchooloffMS,Faridabad",BIOCHEMISTRY,HAR Priv-Govt Quota,"?7,20,000*","?55,000",0,?0,Info Not Available,,,
Haryana,"SGGST Med Coll, Gurgaon",BIOCHEMISTRY,HAR Priv-Govt Quota,"?10,00,000*","?56,100",Info Not Available,Info not available,720,,,
Haryana,"Maharaja Agrasen, Agroha",BIOCHEMISTRY,HAR Priv-Govt Quota,"?1,00,000*","?95,594",0*,?0*,550,,,
Haryana,"Al Falah SchooloffMS,Faridabad",BIOCHEMISTRY,HAR Priv-Mgmt,"?7,20,000*","?55,000",0,?0,Info Not Available,,,
Haryana,"SGGST Med Coll, Gurgaon",BIOCHEMISTRY,HAR Priv-Mgmt,"?10,00,000*","?56,100",Info Not Available,Info not available,720,,,
