State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
Himachal Pradesh,"IGMC, Shimla",ANAESTHESIOLOGY,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031
Himachal Pradesh,"RPG, Tanda",ANAESTHESIOLOGY,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802
Himachal Pradesh,"MMU, Solan",ANAESTHESIOLOGY,HP Priv All,"₹19,31,600*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"MMU, Solan",ANAESTHESIOLOGY,HP Priv NRI,"₹33,40,000*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"MMU, Solan",ANAESTHESIOLOGY,HP Private-StateQuota,"₹19,31,600*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"IGMC, Shimla",ANATOMY,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031
Himachal Pradesh,"RPG, Tanda",ANATOMY,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802
Himachal Pradesh,"MMU, Solan",ANATOMY,HP Priv All,"₹3,00,000*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"MMU, Solan",ANATOMY,HP Private-StateQuota,"₹3,00,000*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"RPG, Tanda",BIOCHEMISTRY,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802
Himachal Pradesh,"MMU, Solan",BIOCHEMISTRY,HP Priv All,"₹3,00,000*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"MMU, Solan",BIOCHEMISTRY,HP Private-StateQuota,"₹3,00,000*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"RPG, Tanda",DERMATOLOGY,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802
Himachal Pradesh,"IGMC, Shimla",DERMATOLOGY,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031
Himachal Pradesh,"MMU, Solan",DERMATOLOGY,HP Priv All,"₹31,87,800*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"MMU, Solan",DERMATOLOGY,HP Priv NRI,"₹58,45,000*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"MMU, Solan",DERMATOLOGY,HP Private-StateQuota,"₹31,87,800*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"IGMC, Shimla",FORENSIC MEDICINE,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031
Himachal Pradesh,"RPG, Tanda",FORENSIC MEDICINE,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802
Himachal Pradesh,"MMU, Solan",FORENSIC MEDICINE,HP Priv All,"₹3,50,000*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"MMU, Solan",FORENSIC MEDICINE,HP Private-StateQuota,"₹3,50,000*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"RPG, Tanda",GENERAL MEDICINE,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802
Himachal Pradesh,"IGMC, Shimla",GENERAL MEDICINE,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031
Himachal Pradesh,"MMU, Solan",GENERAL MEDICINE,HP Priv All,"₹28,99,600*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"MMU, Solan",GENERAL MEDICINE,HP Priv NRI,"₹58,45,000*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"MMU, Solan",GENERAL MEDICINE,HP Private-StateQuota,"₹28,99,600*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"IGMC, Shimla",MICROBIOLOGY,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031
Himachal Pradesh,"LalBahShastri Govt Med, Mandi",MICROBIOLOGY,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",500
Himachal Pradesh,"RPG, Tanda",MICROBIOLOGY,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802
Himachal Pradesh,"MMU, Solan",MICROBIOLOGY,HP Priv All,"₹3,00,000*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"MMU, Solan",MICROBIOLOGY,HP Private-StateQuota,"₹3,00,000*","₹40,000",1,"₹10,00,000",720
Himachal Pradesh,"IGMC, Shimla",PAEDIATRICS,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031
Himachal Pradesh,"RPG, Tanda",PAEDIATRICS,HP Govt Quota,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802
Himachal Pradesh,"MMU, Solan",PAEDIATRICS,HP Priv All,"₹27,67,800*","₹40,000",1,"₹10,00,000",720
