State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Jammu and Kashmir,"Govt Med Coll, Srinagar",DDVL,JK Govt Quota,"?28,188*","?59,500",0*,?0*,2150,,,
Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",DIHBT,JK Govt Quota,"?11,000*","?82,000",0*,?0*,Info Not Available,,,
Jammu and Kashmir,"Govt Med Coll, Srinagar",DO,JK Govt Quota,"?28,188*","?59,500",0*,?0*,2150,,,
Jammu and Kashmir,"Gove Med Coll, Jammu",ANAESTHESIOLOGY,JK Govt Quota,"?25,000*","?59,500",0*,?0*,1700,,,
Jammu and Kashmir,"Govt Med Coll, Srinagar",ANAESTHESIOLOGY,JK Govt Quota,"?35,750*","?59,500",0*,?0*,2150,,,
Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",ANAESTHESIOLOGY,JK Govt Quota,"?11,000*","?82,000",0*,?0*,Info Not Available,,,
Jammu and Kashmir,"ASCOMS, Jammu",ANAESTHESIOLOGY,JK Priv-Govt Quota,"?12,15,000*","?45,560",0,?0,507,,,
Jammu and Kashmir,"ASCOMS, Jammu",ANAESTHESIOLOGY,JK Priv-Mgmt Quota,"?12,15,000*","?45,560",0,?0,507,,,
Jammu and Kashmir,"ASCOMS, Jammu",ANAESTHESIOLOGY,JK Priv-Hindu Min.,"?12,15,000*","?45,560",0,?0,507,,,
Jammu and Kashmir,"ASCOMS, Jammu",ANAESTHESIOLOGY,JK Priv-NRI,"?21,97,500*","?45,560",0,?0,507,,,
Jammu and Kashmir,"Gove Med Coll, Jammu",ANATOMY,JK Govt Quota,"?25,000*","?59,500",0*,?0*,1700,,,
Jammu and Kashmir,"Govt Med Coll, Srinagar",ANATOMY,JK Govt Quota,"?35,750*","?59,500",0*,?0*,2150,,,
Jammu and Kashmir,"ASCOMS, Jammu",ANATOMY,JK Priv-Govt Quota,"?12,15,000*","?45,560",0,?0,507,,,
Jammu and Kashmir,"ASCOMS, Jammu",ANATOMY,JK Priv-Mgmt Quota,"?12,15,000*","?45,560",0,?0,507,,,
