State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Jharkhand,"MGM Med Coll, Jamshedpur",DCH,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"MGM Med Coll, Jamshedpur",DGO,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"MGM Med Coll, Jamshedpur",DMRD,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"MGM Med Coll, Jamshedpur",ANAESTHESIOLOGY,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"Rajendra IMS, Ranchi",ANAESTHESIOLOGY,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"Rajendra IMS, Ranchi",ANATOMY,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"MGM Med Coll, Jamshedpur",ANATOMY,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"Rajendra IMS, Ranchi",BIOCHEMISTRY,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"Rajendra IMS, Ranchi",DERMATOLOGY,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"MGM Med Coll, Jamshedpur",DERMATOLOGY,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"Rajendra IMS, Ranchi",FORENSIC MEDICINE,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"Rajendra IMS, Ranchi",GENERAL MEDICINE,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL MEDICINE,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"Shaheed Nirmal Mahto, Dhanbad",GENERAL MEDICINE,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",560,,,
Jharkhand,"Rajendra IMS, Ranchi",MICROBIOLOGY,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"MGM Med Coll, Jamshedpur",PAEDIATRICS,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"Rajendra IMS, Ranchi",PAEDIATRICS,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"Rajendra IMS, Ranchi",PATHOLOGY,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"MGM Med Coll, Jamshedpur",PATHOLOGY,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"Rajendra IMS, Ranchi",PHARMACOLOGY,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"MGM Med Coll, Jamshedpur",PHARMACOLOGY,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"Rajendra IMS, Ranchi",PHYSIOLOGY,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"MGM Med Coll, Jamshedpur",PHYSIOLOGY,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"Rajendra IMS, Ranchi",RADIO DIAGNOSIS,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"Rajendra IMS, Ranchi",SPM,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"Rajendra IMS, Ranchi",ENT,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"MGM Med Coll, Jamshedpur",ENT,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL SURGERY,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"Rajendra IMS, Ranchi",GENERAL SURGERY,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"Rajendra IMS, Ranchi",OBG,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"MGM Med Coll, Jamshedpur",OBG,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"Rajendra IMS, Ranchi",OPHTHALMOLOGY,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"MGM Med Coll, Jamshedpur",OPHTHALMOLOGY,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"MGM Med Coll, Jamshedpur",ORTHOPAEDICS,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",540,,,
Jharkhand,"Rajendra IMS, Ranchi",ORTHOPAEDICS,JHKND Govt Quota,"?1,500*","?96,000*",3*,"?30,00,000*",1754,,,
Jharkhand,"Shaheed Nirmal Mahto, Dhanbad",ORTHOPAEDICS,JHKND Govt Quota,"?1,500*","?54,500",3*,"?30,00,000*",560,,,
