State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Karnataka,"Nijalingappa, Bagalkot",DCP,KAR Govt Quota-Open,"?2,07,777*","?10,000*",1*,"?50,00,000*",1140,,,
Karnataka,"Nijalingappa, Bagalkot",DCP,KAR Priv Seats-Open,"?3,59,003*","?10,000*",1*,"?50,00,000*",1140,,,
Karnataka,"Nijalingappa, Bagalkot",DCP,KAR Priv Seats-GMP,"?3,59,003*","?10,000*",1*,"?50,00,000*",1140,,,
Karnataka,"Nijalingappa, Bagalkot",DCP,KAR Govt Quota-InS,"?2,07,777*","?10,000*",1*,"?50,00,000*",1140,,,
Karnataka,"SDM College, Dharwad",DPH,KAR Govt Quota-Open,"?2,07,777*","?45,000*",1*,"?50,00,000*",670,,,
Karnataka,"SDM College, Dharwad",DPH,KAR Priv Seats-GMP,"?2,33,965*","?45,000*",1*,"?50,00,000*",670,,,
Karnataka,"Kidwai Memorial, Bangalore",DMRT,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?25,00,000*",680,,,
Karnataka,"AJIMS, Mangalore",DTBCD,KAR Priv Seats-Open,"?13,88,744*","?30,000",1*,"?50,00,000*",910,,,
Karnataka,"AJIMS, Mangalore",DTBCD,KAR Priv Seats-Min.,"?13,88,744*","?30,000",1*,"?50,00,000*",910,,,
Karnataka,"AJIMS, Mangalore",DTBCD,KAR Priv Seats-GMP,"?13,88,744*","?30,000",1*,"?50,00,000*",910,,,
Karnataka,"MRMC, Gulbarga",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?8,000*",1*,"?50,00,000*",1038,,,
Karnataka,"Al-Ameen, Bijapur",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?9,000*",1*,"?50,00,000*",1040,,,
Karnataka,"JJM Med Coll, Davangere",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?30,000*",1*,"?50,00,000*",1930,,,
Karnataka,"MS Ramaiah, Bangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?8,08,858*","?45,000",1*,"?50,00,000*",1331,,,
Karnataka,"Kempegowda IMS, Bangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?35,000*",1*,"?50,00,000*",1100,,,
Karnataka,"AIMS, Adichunchanagiri, Bellur",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?23,750",1*,"?50,00,000*",1120,,,
Karnataka,"East Point College,Bangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?20,000",1*,"?50,00,000*",Info Not Available,,,
Karnataka,"Akash IMS,Devanhalli,Bangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?20,000",1*,"?50,00,000*",760,,,
Karnataka,"Father Mullers, Mangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?35,000*",1*,"?50,00,000*",1250,,,
Karnataka,"Kanachur IMS, Mangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*",Info not available,1*,"?50,00,000*",785,,,
Karnataka,"SSIMS & RC, Davangere",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?30,000",1*,"?50,00,000*",1190,,,
Karnataka,"SMC, Shimoga",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*",Info not available,1*,"?50,00,000*",1250,,,
Karnataka,"Oxford Med Coll, Bangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?30,000*",1*,"?50,00,000*",770,,,
Karnataka,"Shridevi IMS, Tumkur",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*",Info not available*,1*,"?50,00,000*",750,,,
Karnataka,"BGS IMS, Bangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?25,000*",1*,"?50,00,000*",766,,,
Karnataka,"Basaveswara, Chitradurga",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?5,000*",1*,"?50,00,000*",500,,,
Karnataka,"Srinivasa IMS, Srinivasanagar",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?8,08,858*","?29,000*",1*,"?50,00,000*",660,,,
Karnataka,"Sapthagiri IMS&RC, Bangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?8,09,608*","?10,000*",1*,"?50,00,000*",500,,,
Karnataka,"Khaja Bandanawaz, Gulbarga",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,98,858*","?30,000*",1*,"?50,00,000*",833,,,
Karnataka,"Nijalingappa, Bagalkot",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?10,000*",1*,"?50,00,000*",1140,,,
Karnataka,"SDM College, Dharwad",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?45,000*",1*,"?50,00,000*",670,,,
Karnataka,"KVG Med Coll, Sullia",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?7,500",1*,"?50,00,000*",682,,,
Karnataka,"Navodaya Med Coll, Raichur",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?10,000*",1*,"?50,00,000*",1110,,,
Karnataka,"AJIMS, Mangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?30,000",1*,"?50,00,000*",910,,,
Karnataka,"MVJMC&RH, Bangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?7,83,858*","?10,000*",1*,"?50,00,000*",833,,,
Karnataka,"Mysore Med Coll, Mysore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",1050,,,
Karnataka,"KIMS, Hubli",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",1200,,,
Karnataka,"Gulbarga IMS, Gulbarga",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",873,,,
Karnataka,"Bangalore Med Coll, Bangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",1993,,,
Karnataka,"VIMS, Bellary",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",1295,,,
Karnataka,"Hassan IMS, Hassan",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",Info Not Available,,,
Karnataka,"Belagavi IMS, Belagavi",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",1000,,,
Karnataka,"Raichur IMS, Raichur",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",500,,,
Karnataka,Kodagu Inst of Med Sciences,ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",600,,,
Karnataka,Karwar Inst of Med Sciences,ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",650,,,
Karnataka,"Chamrajanagar IMS, Karnataka",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",750,,,
Karnataka,"Gadag IMS, Gadag",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",Info Not Available,,,
Karnataka,"Kidwai Memorial, Bangalore",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",680,,,
Karnataka,"Shimoga IMS, Shimoga",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",950,,,
Karnataka,"Mandya IMS, Mandya",ANAESTHESIOLOGY,KAR Govt Quota-Open,"?1,24,150*","?56,250",3*,"?50,00,000*",Info Not Available,,,
Karnataka,"VIMS (Vydehi), Bangalore",ANAESTHESIOLOGY,KAR Priv Seats-Min.,"?13,88,744*","?29,000*",1*,"?50,00,000*",1600,,,
Karnataka,"MRMC, Gulbarga",ANAESTHESIOLOGY,KAR Priv Seats-GMP,"?13,88,744*","?8,000*",1*,"?50,00,000*",1038,,,
Karnataka,"Al-Ameen, Bijapur",ANAESTHESIOLOGY,KAR Priv Seats-GMP,"?13,88,744*","?9,000*",1*,"?50,00,000*",1040,,,
