State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Kerala,"MES Med Coll, Malappuram",DCP,KER Self Fin. Seats,"?7,51,644*","?53,000",1*,"?10,00,000*",680,,,
Kerala,"Govt Med Coll, Kozhikode",ANAESTHESIOLOGY,KER Govt Quota,"?69,470*","?57,876",1*,"?50,00,000*",3025,,,
Kerala,"Medical College, Trivandrum",ANAESTHESIOLOGY,KER Govt Quota,"?69,470*","?57,876",1*,"?50,00,000*",2126,,,
Kerala,"TD Med Coll, Allepey",ANAESTHESIOLOGY,KER Govt Quota,"?69,470*","?57,876",1*,"?50,00,000*",1050,,,
Kerala,"Govt Med Coll, Kottayam",ANAESTHESIOLOGY,KER Govt Quota,"?69,470*","?57,876",1*,"?50,00,000*",Info Not Available,,,
Kerala,"RCC, Thiruvananthapuram",ANAESTHESIOLOGY,KER Govt Quota,"?3,00,000*","?57,876",1*,"?50,00,000*",432,,,
Kerala,"Academy of Med Sci, Pariyaram",ANAESTHESIOLOGY,KER Govt Quota,"?69,470*","?57,876",1*,"?50,00,000*",1752,,,
Kerala,"Govt Med Coll, Thrissur",ANAESTHESIOLOGY,KER Govt Quota,"?69,470*","?57,876",1*,"?50,00,000*",1400,,,
Kerala,"DM Wayanad IMS, Wayanad",ANAESTHESIOLOGY,KER Self Fin. Seats,"?18,49,748*","?53,000",0,?0,700,,,
Kerala,"Believers Church, Thiruvalla",ANAESTHESIOLOGY,KER Self Fin. Seats,"?18,49,748*","?53,000",0,?0,750,,,
Kerala,"Malabar Med Coll, Kozhikode",ANAESTHESIOLOGY,KER Self Fin. Seats,"?18,49,748*","?53,000",1,"?20,00,000",720,,,
Kerala,"SreeUthradomThirunal,Trivandrum",ANAESTHESIOLOGY,KER Self Fin. Seats,"?18,49,748*","?53,000",0,?0,Info Not Available,,,
Kerala,"Travancore Med Coll, Kollam",ANAESTHESIOLOGY,KER Self Fin. Seats,"?18,49,748*","?50,000",0*,?0*,750,,,
Kerala,"Azeezia IMS, Kollam",ANAESTHESIOLOGY,KER Self Fin. Seats,"?18,49,748*","?53,000",0,?0,540,,,
Kerala,"Dr Somervel Mem, Karakonam",ANAESTHESIOLOGY,KER Self Fin. Seats,"?18,49,748*","?53,000",0,?0,695,,,
Kerala,"Pushpagiri IMS, Tiruvalla",ANAESTHESIOLOGY,KER Self Fin. Seats,"?18,49,748*","?43,000",0,?0,955,,,
Kerala,"MES Med Coll, Malappuram",ANAESTHESIOLOGY,KER Self Fin. Seats,"?18,49,748*","?53,000",1*,"?10,00,000*",680,,,
Kerala,"Amala IMS, Thrissur",ANAESTHESIOLOGY,KER Self Fin. Seats,"?18,49,748*","?53,000",0,?0,640,,,
