State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Madhya Pradesh,"MGM Med Coll, Indore",ANAESTHESIOLOGY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",1300,,,
Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",ANAESTHESIOLOGY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",1100,,,
Madhya Pradesh,"Gandhi Med Coll, Bhopal",ANAESTHESIOLOGY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",1135,,,
Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",ANAESTHESIOLOGY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",1150,,,
Madhya Pradesh,"Govt Med Coll, Datia",ANAESTHESIOLOGY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",540,,,
Madhya Pradesh,Bhopal Memorial Hosp & RC,ANAESTHESIOLOGY,MP Govt Quota,"?1,27,420*","?75,444",1,"?10,00,000",350,,,
Madhya Pradesh,"Bundelkhand Med Coll, Sagar",ANAESTHESIOLOGY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",750,,,
Madhya Pradesh,"SSMC, Rewa",ANAESTHESIOLOGY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",1140,,,
Madhya Pradesh,"Govt Med Coll, Ratlam",ANAESTHESIOLOGY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",300,,,
Madhya Pradesh,"RD Gardi, Ujjain",ANAESTHESIOLOGY,MP Priv-Open,"?13,50,000","?69,115*",1,"?10,00,000",750,,,
Madhya Pradesh,"Amaltas IMS, Dewas",ANAESTHESIOLOGY,MP Priv-Open,"?18,10,000*","?69,115*",1,"?10,00,000",720,,,
Madhya Pradesh,"RKDF Medical College, Jatkhedi",ANAESTHESIOLOGY,MP Priv-Open,"?18,40,000*","?69,115*",1*,"?10,00,000*",Info Not Available,,,
Madhya Pradesh,"Peoples College, Bhopal",ANAESTHESIOLOGY,MP Priv-Open,"?18,20,000*","?75,444",1,"?10,00,000",1150,,,
Madhya Pradesh,"Chirayu Med Coll, Bhopal",ANAESTHESIOLOGY,MP Priv-Open,"?18,30,000*","?72,633",1,"?10,00,000",912,,,
Madhya Pradesh,"LNMC & RC, Bhopal",ANAESTHESIOLOGY,MP Priv-Open,"?19,60,000*","?69,115*",1,"?10,00,000",750,,,
Madhya Pradesh,"Index Med Coll, Indore",ANAESTHESIOLOGY,MP Priv-Open,"?19,12,000*","?69,115*",1,"?10,00,000",1299,,,
Madhya Pradesh,"Aurobindo Med Coll, Indore",ANAESTHESIOLOGY,MP Priv-Open,"?18,37,000*","?69,115*",1,"?10,00,000",1230,,,
Madhya Pradesh,"MGM Med Coll, Indore",ANAESTHESIOLOGY,MP Govt-NonDomicile,"?1,01,500*","?75,444",1,"?10,00,000",1300,,,
Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",ANAESTHESIOLOGY,MP Govt-NonDomicile,"?1,01,500*","?75,444",1,"?10,00,000",1100,,,
Madhya Pradesh,"Gandhi Med Coll, Bhopal",ANAESTHESIOLOGY,MP Govt-NonDomicile,"?1,01,500*","?75,444",1,"?10,00,000",1135,,,
Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",ANAESTHESIOLOGY,MP Govt-NonDomicile,"?1,01,500*","?75,444",1,"?10,00,000",1150,,,
Madhya Pradesh,"Govt Med Coll, Datia",ANAESTHESIOLOGY,MP Govt-NonDomicile,"?1,01,500*","?75,444",1,"?10,00,000",540,,,
Madhya Pradesh,Bhopal Memorial Hosp & RC,ANAESTHESIOLOGY,MP Govt-NonDomicile,"?1,27,420*","?75,444",1,"?10,00,000",350,,,
Madhya Pradesh,"Bundelkhand Med Coll, Sagar",ANAESTHESIOLOGY,MP Govt-NonDomicile,"?1,01,500*","?75,444",1,"?10,00,000",750,,,
Madhya Pradesh,"SSMC, Rewa",ANAESTHESIOLOGY,MP Govt-NonDomicile,"?1,01,500*","?75,444",1,"?10,00,000",1140,,,
Madhya Pradesh,"RD Gardi, Ujjain",ANAESTHESIOLOGY,MP Priv-NonDomicile,"?13,50,000","?69,115*",1,"?10,00,000",750,,,
Madhya Pradesh,"Amaltas IMS, Dewas",ANAESTHESIOLOGY,MP Priv-NonDomicile,"?18,10,000*","?69,115*",1,"?10,00,000",720,,,
Madhya Pradesh,"Chirayu Med Coll, Bhopal",ANAESTHESIOLOGY,MP Priv-NonDomicile,"?18,30,000*","?72,633",1,"?10,00,000",912,,,
Madhya Pradesh,"Index Med Coll, Indore",ANAESTHESIOLOGY,MP Priv-NonDomicile,"?19,12,000*","?69,115*",1,"?10,00,000",1299,,,
Madhya Pradesh,"RKDF Medical College, Jatkhedi",ANAESTHESIOLOGY,MP Priv-NonDomicile,"?18,40,000*","?69,115*",1*,"?10,00,000*",Info Not Available,,,
Madhya Pradesh,"Peoples College, Bhopal",ANAESTHESIOLOGY,MP Priv-NonDomicile,"?18,20,000*","?75,444",1,"?10,00,000",1150,,,
Madhya Pradesh,"LNMC & RC, Bhopal",ANAESTHESIOLOGY,MP Priv-NonDomicile,"?19,60,000*","?69,115*",1,"?10,00,000",750,,,
Madhya Pradesh,"Aurobindo Med Coll, Indore",ANAESTHESIOLOGY,MP Priv-NonDomicile,"?18,37,000*","?69,115*",1,"?10,00,000",1230,,,
Madhya Pradesh,"Index Med Coll, Indore",ANAESTHESIOLOGY,MP Priv-NRINonDomicil,"?66,92,000*","?69,115*",1,"?10,00,000",1299,,,
Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",ANATOMY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",1100,,,
Madhya Pradesh,"SSMC, Rewa",ANATOMY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",1140,,,
Madhya Pradesh,"Gandhi Med Coll, Bhopal",ANATOMY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",1135,,,
Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",ANATOMY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",1150,,,
Madhya Pradesh,"MGM Med Coll, Indore",ANATOMY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",1300,,,
Madhya Pradesh,"Govt Med Coll, Ratlam",ANATOMY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",300,,,
Madhya Pradesh,"Bundelkhand Med Coll, Sagar",ANATOMY,MP Govt Quota,"?1,01,500*","?75,444",1,"?10,00,000",750,,,
Madhya Pradesh,"RD Gardi, Ujjain",ANATOMY,MP Priv-Open,?0*,"?69,115*",1,"?10,00,000",750,,,
Madhya Pradesh,"RKDF Medical College, Jatkhedi",ANATOMY,MP Priv-Open,"?11,00,000*","?69,115*",1*,"?10,00,000*",Info Not Available,,,
Madhya Pradesh,"Chirayu Med Coll, Bhopal",ANATOMY,MP Priv-Open,"?9,10,000*","?72,633",1,"?10,00,000",912,,,
Madhya Pradesh,"LNMC & RC, Bhopal",ANATOMY,MP Priv-Open,"?1,00,000*","?69,115*",1,"?10,00,000",750,,,
Madhya Pradesh,"Aurobindo Med Coll, Indore",ANATOMY,MP Priv-Open,"?97,800*","?69,115*",1,"?10,00,000",1230,,,
Madhya Pradesh,"Peoples College, Bhopal",ANATOMY,MP Priv-Open,"?4,51,000*","?75,444",1,"?10,00,000",1150,,,
Madhya Pradesh,"Index Med Coll, Indore",ANATOMY,MP Priv-Open,"?99,800*","?69,115*",1,"?10,00,000",1299,,,
Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",ANATOMY,MP Govt-NonDomicile,"?1,01,500*","?75,444",1,"?10,00,000",1100,,,
Madhya Pradesh,"SSMC, Rewa",ANATOMY,MP Govt-NonDomicile,"?1,01,500*","?75,444",1,"?10,00,000",1140,,,
Madhya Pradesh,"Gandhi Med Coll, Bhopal",ANATOMY,MP Govt-NonDomicile,"?1,01,500*","?75,444",1,"?10,00,000",1135,,,
