State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DA,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1462,,,
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DCH,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1462,,,
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DDVL,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1462,,,
Maharashtra,"Seth GS, Mumbai",DDIAB,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",2250,,,
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DGO,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1462,,,
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DO,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1462,,,
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DORTHO,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1462,,,
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DLO,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1462,,,
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DPM (Psychiatry),MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1462,,,
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DPH,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1462,,,
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DMRD,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1462,,,
Maharashtra,"Govt Med Coll, Aurangabad",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1177,,,
Maharashtra,"HBT & RN Cooper, Mumbai",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",940,,,
Maharashtra,"Grant Med Coll, Mumbai",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",2844,,,
Maharashtra,"MGIMS, Wardha",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,43,300*","?89,698",1,"?50,00,000",1000,,,
Maharashtra,"Govt Med Coll, Nagpur",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1866,,,
Maharashtra,"Indira Gandhi MedColl, Nagpur",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",822,,,
Maharashtra,"VMMC, Solapur",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",763,,,
Maharashtra,"Govt Med Coll, Miraj",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",725,,,
Maharashtra,"SRTT, Ambajogai",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",518,,,
Maharashtra,"BJMC, Pune",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1296,,,
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1462,,,
Maharashtra,"Topiwala, Mumbai",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,43,300*","?92,522",1,"?50,00,000",1300,,,
Maharashtra,"Tata Memorial, Mumbai",ANAESTHESIOLOGY,MAHA-Govt Quota,"?1,05,500*","?1,00,800",1*,"?25,00,000*",614,,,
