State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Manipur,"JNIMS, Imphal",ANAESTHESIOLOGY,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",ANAESTHESIOLOGY,JNIMS-Open,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",ANAESTHESIOLOGY,JNIMS-Product,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",ANAESTHESIOLOGY,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",ANATOMY,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",ANATOMY,JNIMS-Open,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",ANATOMY,JNIMS-Product,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",ANATOMY,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",BIOCHEMISTRY,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",BIOCHEMISTRY,JNIMS-Open,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",BIOCHEMISTRY,JNIMS-Product,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",BIOCHEMISTRY,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",DERMATOLOGY,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",DERMATOLOGY,JNIMS-Open,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",DERMATOLOGY,JNIMS-Product,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",DERMATOLOGY,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",FORENSIC MEDICINE,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",FORENSIC MEDICINE,JNIMS-Open,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",FORENSIC MEDICINE,JNIMS-Product,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",FORENSIC MEDICINE,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",GENERAL MEDICINE,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",GENERAL MEDICINE,JNIMS-Open,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",GENERAL MEDICINE,JNIMS-Product,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",GENERAL MEDICINE,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",MICROBIOLOGY,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",MICROBIOLOGY,JNIMS-Open,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",MICROBIOLOGY,JNIMS-Product,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",MICROBIOLOGY,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PAEDIATRICS,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PAEDIATRICS,JNIMS-Open,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",PAEDIATRICS,JNIMS-Product,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",PAEDIATRICS,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PATHOLOGY,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PATHOLOGY,JNIMS-Open,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PATHOLOGY,JNIMS-Product,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PATHOLOGY,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PHARMACOLOGY,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PHARMACOLOGY,JNIMS-Open,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PHARMACOLOGY,JNIMS-Product,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PHARMACOLOGY,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PHYSIOLOGY,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PHYSIOLOGY,JNIMS-Open,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PHYSIOLOGY,JNIMS-Product,"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PHYSIOLOGY,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PSYCHIATRY,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",PSYCHIATRY,JNIMS-Open,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",PSYCHIATRY,JNIMS-Product,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",PSYCHIATRY,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",RADIO DIAGNOSIS,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",RADIO DIAGNOSIS,JNIMS-Open,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",RADIO DIAGNOSIS,JNIMS-Product,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",RADIO DIAGNOSIS,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",SPM,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",SPM,JNIMS-Open,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",SPM,JNIMS-Product,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",SPM,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",TBRD,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",TBRD,JNIMS-Open,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",TBRD,JNIMS-Product,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",TBRD,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",ENT,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",ENT,JNIMS-Open,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",ENT,JNIMS-Product,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",ENT,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",GENERAL SURGERY,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",GENERAL SURGERY,JNIMS-Open,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",GENERAL SURGERY,JNIMS-Product,"?1,00,000","?50,000",1*,"?20,00,000*",643,,,
Manipur,"JNIMS, Imphal",GENERAL SURGERY,JNIMS-Spons (JNIMS),"?1,00,000","?50,000",0*,?0*,643,,,
Manipur,"JNIMS, Imphal",OBG,JNIMS-Spons (Common),"?1,00,000","?50,000",0*,?0*,643,,,
