State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Manipur,"RIMS, Imphal",DCP,RIMS Spons-Aru.Pra,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Spons-Manip.,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Spons-Megha.,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Spons-Mizor.,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Spons-Nagal.,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Spons-Sikkim,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Spons-Tripura,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Grad-Aru.Pra,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Grad-Manip.,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Grad-Megha.,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Grad-Mizor.,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Grad-Nagal.,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Grad-Sikkim,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Grad-Tripura,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Grad-AIQGrad,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,NonRIMS-NEGrad,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",DCP,RIMS Open-BenfStates,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,RIMS Spons-Aru.Pra,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,RIMS Spons-Manip.,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,RIMS Spons-Megha.,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,RIMS Spons-Mizor.,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,RIMS Spons-Nagal.,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,RIMS Spons-Sikkim,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,RIMS Spons-Tripura,"?5,000*","?1,06,380",0*,?0*,1074,,,
Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,RIMS Grad-Aru.Pra,"?5,000*","?1,06,380",1*,"?20,00,000*",1074,,,
Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,RIMS Grad-Manip.,"?5,000*","?1,06,380",1*,"?20,00,000*",1074,,,
