State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Meghalaya,"NEIGRIHMS, Shillong",ANATOMY,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",ANATOMY,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",BIOCHEMISTRY,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",BIOCHEMISTRY,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",DERMATOLOGY,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",DERMATOLOGY,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",FORENSIC MEDICINE,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",FORENSIC MEDICINE,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",GENERAL MEDICINE,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",GENERAL MEDICINE,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",MICROBIOLOGY,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",MICROBIOLOGY,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",PATHOLOGY,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",PATHOLOGY,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",PHARMACOLOGY,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",PHARMACOLOGY,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",RADIO DIAGNOSIS,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",RADIO DIAGNOSIS,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",ENT,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",ENT,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",OBG,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",OBG,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",OPHTHALMOLOGY,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",OPHTHALMOLOGY,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",ORTHOPAEDICS,NEIGRIHMS-NEOpen,"?16,300*","?96,000*",0,?0,594,,,
Meghalaya,"NEIGRIHMS, Shillong",ORTHOPAEDICS,NEIGRIHMS Pass out,"?16,300*","?96,000*",0,?0,594,,,
