State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Odisha,"Hi-Tech, Bhubaneswar",ANAESTHESIOLOGY,Odisha-Govt Quota,"?7,15,000*","?30,000*",0,?0,767,,,
Odisha,"SCB, Cuttack",ANAESTHESIOLOGY,Odisha-Govt Quota,"?38,500*","?70,686",2*,"?53,30,000*",2106,,,
Odisha,"VIMSAR, Burla",ANAESTHESIOLOGY,Odisha-Govt Quota,"?38,500*","?70,686",2*,"?53,30,000*",1071,,,
Odisha,"Acharya Harihar Cancer,Cuttack",ANAESTHESIOLOGY,Odisha-Govt Quota,"?38,500*","?70,686",2*,"?53,30,000*",Info Not Available,,,
Odisha,"MKCG, Berhampur",ANAESTHESIOLOGY,Odisha-Govt Quota,"?38,500*","?70,686",2*,"?53,30,000*",1140,,,
Odisha,"PGIMER&CapitalHosp,Bhubaneswar",ANAESTHESIOLOGY,Odisha-Govt Quota,"?38,500*","?70,686",2*,"?53,30,000*",760,,,
Odisha,"Hi-Tech, Bhubaneswar",ANAESTHESIOLOGY,Odisha-Mgmt Quota,"?25,00,000*","?30,000*",0,?0,767,,,
Odisha,"Hi-Tech, Bhubaneswar",ANAESTHESIOLOGY,Odisha-Govt Quota-InS,"?7,15,000*","?30,000*",0,?0,767,,,
Odisha,"SCB, Cuttack",ANAESTHESIOLOGY,Odisha-Govt Quota-InS,"?38,500*","?70,686",2*,"?53,30,000*",2106,,,
Odisha,"VIMSAR, Burla",ANAESTHESIOLOGY,Odisha-Govt Quota-InS,"?38,500*","?70,686",2*,"?53,30,000*",1071,,,
Odisha,"Acharya Harihar Cancer,Cuttack",ANAESTHESIOLOGY,Odisha-Govt Quota-InS,"?38,500*","?70,686",2*,"?53,30,000*",Info Not Available,,,
Odisha,"MKCG, Berhampur",ANAESTHESIOLOGY,Odisha-Govt Quota-InS,"?38,500*","?70,686",2*,"?53,30,000*",1140,,,
Odisha,"PGIMER&CapitalHosp,Bhubaneswar",ANAESTHESIOLOGY,Odisha-Govt Quota-InS,"?38,500*","?70,686",2*,"?53,30,000*",760,,,
