State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",ANAESTHESIOLOGY,PY-Govt Quota,"?7,95,000*","?7,000*",2*,Info not available*,1120,,,
Pondicherry,"SMVMCH, Pondicherry",ANAESTHESIOLOGY,PY-Govt Quota,"?7,95,000",?0*,0,?0,900,,,
Pondicherry,"PIMS, Pondicherry",ANAESTHESIOLOGY,PY-Govt Quota,"?7,95,000","?43,000",0,?0,740,,,
Pondicherry,"IGMC & RI, Pondicherry",ANAESTHESIOLOGY,PY-Govt Quota,"?1,10,000*","?43,000",0,?0,750,,,
Pondicherry,"PIMS, Pondicherry",ANAESTHESIOLOGY,PY Mgmt-Chris.Min,"?23,90,000","?43,000",0,?0,740,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",ANAESTHESIOLOGY,PY Mgmt-TeluguMin,"?33,00,000*","?7,000*",2*,Info not available*,1120,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",ANAESTHESIOLOGY,PY Mgmt-Open,"?33,00,000*","?7,000*",2*,Info not available*,1120,,,
Pondicherry,"SMVMCH, Pondicherry",ANAESTHESIOLOGY,PY Mgmt-Open,"?23,90,000*",?0*,0,?0,900,,,
Pondicherry,"PIMS, Pondicherry",ANAESTHESIOLOGY,PY Mgmt-Open,"?23,90,000","?43,000",0,?0,740,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",ANATOMY,PY-Govt Quota,"?1,00,000*","?7,000*",0,?0,1120,,,
Pondicherry,"SMVMCH, Pondicherry",ANATOMY,PY-Govt Quota,"?1,00,000*",?0*,0,?0,900,,,
Pondicherry,"PIMS, Pondicherry",ANATOMY,PY-Govt Quota,"?6,55,000","?43,000",0,?0,740,,,
Pondicherry,"IGMC & RI, Pondicherry",ANATOMY,PY-Govt Quota,"?1,10,000*","?43,000",0,?0,750,,,
Pondicherry,"PIMS, Pondicherry",ANATOMY,PY Mgmt-Chris.Min,"?6,55,000","?43,000",0,?0,740,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",ANATOMY,PY Mgmt-TeluguMin,"?1,00,000*","?7,000*",0,?0,1120,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",ANATOMY,PY Mgmt-Open,"?1,00,000*","?7,000*",0,?0,1120,,,
Pondicherry,"SMVMCH, Pondicherry",ANATOMY,PY Mgmt-Open,"?1,00,000*",?0*,0,?0,900,,,
Pondicherry,"PIMS, Pondicherry",ANATOMY,PY Mgmt-Open,"?6,55,000","?43,000",0,?0,740,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",BIOCHEMISTRY,PY-Govt Quota,"?1,00,000*","?7,000*",0,?0,1120,,,
Pondicherry,"SMVMCH, Pondicherry",BIOCHEMISTRY,PY-Govt Quota,"?1,00,000*",?0*,0,?0,900,,,
Pondicherry,"PIMS, Pondicherry",BIOCHEMISTRY,PY-Govt Quota,"?6,55,000","?43,000",0,?0,740,,,
Pondicherry,"PIMS, Pondicherry",BIOCHEMISTRY,PY Mgmt-Chris.Min,"?6,55,000","?43,000",0,?0,740,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",BIOCHEMISTRY,PY Mgmt-TeluguMin,"?1,00,000*","?7,000*",0,?0,1120,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",BIOCHEMISTRY,PY Mgmt-Open,"?1,00,000*","?7,000*",0,?0,1120,,,
Pondicherry,"SMVMCH, Pondicherry",BIOCHEMISTRY,PY Mgmt-Open,"?1,00,000*",?0*,0,?0,900,,,
Pondicherry,"PIMS, Pondicherry",BIOCHEMISTRY,PY Mgmt-Open,"?6,55,000","?43,000",0,?0,740,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",DERMATOLOGY,PY-Govt Quota,"?7,95,000*","?7,000*",2*,Info not available*,1120,,,
Pondicherry,"SMVMCH, Pondicherry",DERMATOLOGY,PY-Govt Quota,"?7,95,000",?0*,0,?0,900,,,
Pondicherry,"PIMS, Pondicherry",DERMATOLOGY,PY-Govt Quota,"?7,95,000","?43,000",0,?0,740,,,
Pondicherry,"IGMC & RI, Pondicherry",DERMATOLOGY,PY-Govt Quota,"?1,10,000*","?43,000",0,?0,750,,,
Pondicherry,"PIMS, Pondicherry",DERMATOLOGY,PY Mgmt-Chris.Min,"?23,90,000","?43,000",0,?0,740,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",DERMATOLOGY,PY Mgmt-TeluguMin,"?39,00,000*","?7,000*",2*,Info not available*,1120,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",DERMATOLOGY,PY Mgmt-Open,"?39,00,000*","?7,000*",2*,Info not available*,1120,,,
Pondicherry,"SMVMCH, Pondicherry",DERMATOLOGY,PY Mgmt-Open,"?23,90,000*",?0*,0,?0,900,,,
Pondicherry,"PIMS, Pondicherry",DERMATOLOGY,PY Mgmt-Open,"?23,90,000","?43,000",0,?0,740,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",EMERGENCY MEDICINE,PY-Govt Quota,"?7,95,000*","?7,000*",2*,Info not available*,1120,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",EMERGENCY MEDICINE,PY Mgmt-TeluguMin,"?33,00,000*","?7,000*",2*,Info not available*,1120,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",EMERGENCY MEDICINE,PY Mgmt-Open,"?33,00,000*","?7,000*",2*,Info not available*,1120,,,
Pondicherry,"SMVMCH, Pondicherry",FORENSIC MEDICINE,PY-Govt Quota,"?6,55,000",?0*,0,?0,900,,,
Pondicherry,"IGMC & RI, Pondicherry",FORENSIC MEDICINE,PY-Govt Quota,"?1,10,000*","?43,000",0,?0,750,,,
Pondicherry,"SMVMCH, Pondicherry",FORENSIC MEDICINE,PY Mgmt-Open,"?13,05,000*",?0*,0,?0,900,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL MEDICINE,PY-Govt Quota,"?7,95,000*","?7,000*",2*,Info not available*,1120,,,
Pondicherry,"SMVMCH, Pondicherry",GENERAL MEDICINE,PY-Govt Quota,"?7,95,000",?0*,0,?0,900,,,
Pondicherry,"PIMS, Pondicherry",GENERAL MEDICINE,PY-Govt Quota,"?7,95,000","?43,000",0,?0,740,,,
Pondicherry,"IGMC & RI, Pondicherry",GENERAL MEDICINE,PY-Govt Quota,"?1,10,000*","?43,000",0,?0,750,,,
Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL MEDICINE,PY Mgmt-TeluguMin,"?39,00,000*","?7,000*",2*,Info not available*,1120,,,
