State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Punjab,"Govt Med Coll, Amritsar",DA,PB - Govt Quota,"?1,25,000*","?67,968*",1*,"?10,00,000*",951,,,
Punjab,"Govt Med Coll, Patiala",DA,PB - Govt Quota,"?1,25,000*","?67,968*",1*,"?10,00,000*",1130,,,
Punjab,"Govt Med Coll, Amritsar",DCH,PB - Govt Quota,"?1,25,000*","?67,968*",1*,"?10,00,000*",951,,,
Punjab,"NSNIS, Patiala",DSM,PB - Govt Quota,"?45,450*","?67,968*",0,?0,Info Not Available,,,
Punjab,"Govt Med Coll, Amritsar",ANAESTHESIOLOGY,PB - Govt Quota,"?1,25,000*","?67,968*",1*,"?10,00,000*",951,,,
Punjab,"Govt Med Coll, Patiala",ANAESTHESIOLOGY,PB - Govt Quota,"?1,25,000*","?67,968*",1*,"?10,00,000*",1130,,,
Punjab,"Guru Govind Singh, Faridkot",ANAESTHESIOLOGY,PB - Govt Quota,"?1,25,000*","?67,968*",1*,"?10,00,000*",1000,,,
Punjab,"DMC, Ludhiana",ANAESTHESIOLOGY,PB Priv-DMC Govt,"?6,50,000*","?50,000",0,?0,1326,,,
Punjab,"CMC, Ludhiana",ANAESTHESIOLOGY,PB Priv-CMC Open,"?6,50,000*","?46,000",0,?0,775,,,
Punjab,"DMC, Ludhiana",ANAESTHESIOLOGY,PB Priv-DMC Mgmt,"?6,50,000*","?50,000",0,?0,1326,,,
Punjab,"SDRD, Amritsar",ANAESTHESIOLOGY,PB Priv-SGRDGener.,"?14,00,000*","?65,000",1*,"?15,00,000*",800,,,
Punjab,"Adesh IMS, Bhatinda",ANAESTHESIOLOGY,PB Priv-AdeshAllIndia,"?14,90,000*","?56,100*",1*,"?25,00,000*",750,,,
Punjab,"SDRD, Amritsar",ANAESTHESIOLOGY,PB Priv-SGRDSikhMin.,"?14,00,000*","?65,000",1*,"?15,00,000*",800,,,
Punjab,"CMC, Ludhiana",ANAESTHESIOLOGY,PB Priv-CMC Min.Serv.,"?6,50,000*","?46,000",3*,Info not available*,775,,,
Punjab,"Adesh IMS, Bhatinda",ANAESTHESIOLOGY,PB Priv-AdeshGenMerit,"?14,90,000*","?56,100*",1*,"?25,00,000*",750,,,
Punjab,"DMC, Ludhiana",ANAESTHESIOLOGY,PB Priv-DMC NRI,"?54,28,000*","?50,000",0,?0,1326,,,
Punjab,"CMC, Ludhiana",ANAESTHESIOLOGY,PB Priv-CMC NRI,"?1,04,38,000*","?46,000",0,?0,775,,,
Punjab,"SDRD, Amritsar",ANAESTHESIOLOGY,PB Priv-SGRDGenNRI,"?41,00,000*","?65,000",1*,"?15,00,000*",800,,,
Punjab,"SDRD, Amritsar",ANAESTHESIOLOGY,PB Priv-SGRDSikhMinNRI,"?41,00,000*","?65,000",1*,"?15,00,000*",800,,,
Punjab,"Govt Med Coll, Patiala",ANATOMY,PB - Govt Quota,"?1,00,000*","?67,968*",1*,"?10,00,000*",1130,,,
Punjab,"Govt Med Coll, Amritsar",ANATOMY,PB - Govt Quota,"?1,00,000*","?67,968*",1*,"?10,00,000*",951,,,
Punjab,"Guru Govind Singh, Faridkot",ANATOMY,PB - Govt Quota,"?1,00,000*","?67,968*",1*,"?10,00,000*",1000,,,
Punjab,"DMC, Ludhiana",ANATOMY,PB Priv-DMC Govt,"?2,60,000*","?50,000",0,?0,1326,,,
Punjab,"CMC, Ludhiana",ANATOMY,PB Priv-CMC Open,?0*,"?46,000",0,?0,775,,,
Punjab,"DMC, Ludhiana",ANATOMY,PB Priv-DMC Mgmt,"?2,60,000*","?50,000",0,?0,1326,,,
Punjab,"SDRD, Amritsar",ANATOMY,PB Priv-SGRDGener.,"?25,000*",Info not available,0,?0,800,,,
Punjab,"Adesh IMS, Bhatinda",ANATOMY,PB Priv-AdeshAllIndia,"?5,00,000*","?56,100*",1*,"?25,00,000*",750,,,
Punjab,"SDRD, Amritsar",ANATOMY,PB Priv-SGRDSikhMin.,"?25,000*","?65,000",0,?0,800,,,
Punjab,"CMC, Ludhiana",ANATOMY,PB Priv-CMC Min.Serv.,?0*,"?46,000",3*,Info not available*,775,,,
Punjab,"Adesh IMS, Bhatinda",ANATOMY,PB Priv-AdeshGenMerit,"?5,00,000*","?56,100*",1*,"?25,00,000*",750,,,
Punjab,"DMC, Ludhiana",ANATOMY,PB Priv-DMC NRI,"?8,35,000*","?50,000",0,?0,1326,,,
