State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Rajasthan,"SNMC, Jodhpur",ANAESTHESIOLOGY,RAJ Govt - Govt Quota,"?12,812*","?82,800*",2*,"?25,00,000*",3101,,,
Rajasthan,"JLNMC, Ajmer",ANAESTHESIOLOGY,RAJ Govt - Govt Quota,"?10,982*","?82,800*",2*,"?25,00,000*",1428,,,
Rajasthan,"SP Med Coll, Bikaner",ANAESTHESIOLOGY,RAJ Govt - Govt Quota,"?12,812*","?82,800*",2*,"?25,00,000*",Info Not Available,,,
Rajasthan,"SMS, Jaipur",ANAESTHESIOLOGY,RAJ Govt - Govt Quota,"?11,647*","?82,800*",2*,"?25,00,000*",5702,,,
Rajasthan,"Govt Med Coll, Kota",ANAESTHESIOLOGY,RAJ Govt - Govt Quota,"?12,812*","?82,800*",2*,"?25,00,000*",2581,,,
Rajasthan,"Jhalawar Med Coll, Jhalawar",ANAESTHESIOLOGY,RAJ Govt - Govt Quota,"?88,265*","?82,800*",2*,"?25,00,000*",Info Not Available,,,
Rajasthan,"RNT, Udaipur",ANAESTHESIOLOGY,RAJ Govt - Govt Quota,"?12,812*","?82,800*",2*,"?25,00,000*",2206,,,
Rajasthan,"Govt Med Coll, Bhilwara",ANAESTHESIOLOGY,RAJ Govt - Govt Quota,"?12,812*","?82,800*",2*,"?25,00,000*",Info Not Available,,,
Rajasthan,"Govt Med Coll, Pali",ANAESTHESIOLOGY,RAJ Govt - Govt Quota,"?12,812*","?82,800*",2*,"?25,00,000*",Info Not Available,,,
Rajasthan,"MGMC&H, Sitapur, Jaipur",ANAESTHESIOLOGY,RAJ Priv-All India,"?20,00,000*","?55,000",0,?0,1400,,,
Rajasthan,Jaipur National Univ IMS,ANAESTHESIOLOGY,RAJ Priv-All India,"?25,00,000*",Info not available*,0,?0,810,,,
Rajasthan,"American Intl IMS, Bedwas",ANAESTHESIOLOGY,RAJ Priv-All India,"?25,00,000*","?20,000",0,?0,700,,,
Rajasthan,"Ananta IMS & RC, Rajsamand",ANAESTHESIOLOGY,RAJ Priv-All India,"?20,00,000*","?25,000",0,?0,775,,,
Rajasthan,"National IMS&R, Jaipur",ANAESTHESIOLOGY,RAJ Priv-All India,"?20,00,000*","?55,200*",0,?0,1130,,,
Rajasthan,"Geetanjali, Udaipur",ANAESTHESIOLOGY,RAJ Priv-All India,"?22,00,000*",Info not available*,0,?0,1310,,,
Rajasthan,"PMCH(Pacific), Udaipur",ANAESTHESIOLOGY,RAJ Priv-All India,"?30,00,000*",?0*,0,?0,Info Not Available,,,
Rajasthan,"PIMS(Pacific), Umarda, Udaipur",ANAESTHESIOLOGY,RAJ Priv-All India,"?30,00,000*",Info not available*,0,?0,750,,,
Rajasthan,"MGMC&H, Sitapur, Jaipur",ANAESTHESIOLOGY,RAJ Priv-Govt Quota,"?20,00,000*","?55,000",0,?0,1400,,,
Rajasthan,Jaipur National Univ IMS,ANAESTHESIOLOGY,RAJ Priv-Govt Quota,"?25,00,000*",Info not available*,0,?0,810,,,
