State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
Sikkim,"SMIMS, Gangtok",ANAESTHESIOLOGY,Sikkim Gen Quota,"?25,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",ANAESTHESIOLOGY,Sikkim Mgmt Quota,"?44,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",ANAESTHESIOLOGY,Sikkim Govt Quota,"?9,20,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",BIOCHEMISTRY,Sikkim Gen Quota,"?5,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",BIOCHEMISTRY,Sikkim Govt Quota,"?2,56,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",GENERAL MEDICINE,Sikkim Gen Quota,"?29,60,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",GENERAL MEDICINE,Sikkim Mgmt Quota,"?53,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",GENERAL MEDICINE,Sikkim Govt Quota,"?10,35,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",MICROBIOLOGY,Sikkim Gen Quota,"?5,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",MICROBIOLOGY,Sikkim Govt Quota,"?2,56,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",PAEDIATRICS,Sikkim Gen Quota,"?29,60,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",PAEDIATRICS,Sikkim Govt Quota,"?10,35,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",PHARMACOLOGY,Sikkim Gen Quota,"?5,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",PHARMACOLOGY,Sikkim Govt Quota,"?2,56,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",PHYSIOLOGY,Sikkim Gen Quota,"?5,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",PHYSIOLOGY,Sikkim Govt Quota,"?2,56,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",PSYCHIATRY,Sikkim Gen Quota,"?23,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",PSYCHIATRY,Sikkim Govt Quota,"?8,70,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",RADIO DIAGNOSIS,Sikkim Gen Quota,"?35,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",RADIO DIAGNOSIS,Sikkim Mgmt Quota,"?66,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",RADIO DIAGNOSIS,Sikkim Govt Quota,"?11,70,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",SPM,Sikkim Gen Quota,"?5,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",SPM,Sikkim Govt Quota,"?2,56,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",ENT,Sikkim Gen Quota,"?27,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",ENT,Sikkim Govt Quota,"?9,70,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",OBG,Sikkim Gen Quota,"?29,60,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",OBG,Sikkim Mgmt Quota,"?53,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",OBG,Sikkim Govt Quota,"?10,35,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",ORTHOPAEDICS,Sikkim Gen Quota,"?29,60,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",ORTHOPAEDICS,Sikkim Mgmt Quota,"?53,00,000*","?34,000",0*,?0*,500,,,
Sikkim,"SMIMS, Gangtok",ORTHOPAEDICS,Sikkim Govt Quota,"?10,35,000*","?34,000",0*,?0*,500,,,
